TIMESTAMP,MOB32060_OPEN_PRICE_USD,MOB32060_HIGH_PRICE_USD,MOB32060_LOW_PRICE_USD,MOB32060_CLOSE_PRICE_USD,MOB32060_VOLUME_USD,MOB32060_DIVIDENDS_USD,MOB32060_STOCK_SPLITS_USD
2024-07-02 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,677493,0.0,0.0
2024-07-03 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,799223,0.0,0.0
2024-07-04 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,1206510,0.0,0.0
2024-07-05 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,897611,0.0,0.0
2024-07-06 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,716950,0.0,0.0
2024-07-07 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,639887,0.0,0.0
2024-07-08 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,540236,0.0,0.0
2024-07-09 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,617243,0.0,0.0
2024-07-10 00:00:00+00:00,,,,0.0,746096,0.0,0.0
2024-07-11 00:00:00+00:00,,,,0.0,14529,0.0,0.0
2024-07-12 00:00:00+00:00,,,,0.0,12074,0.0,0.0
2024-07-13 00:00:00+00:00,,,,0.0,561,0.0,0.0
2024-07-14 00:00:00+00:00,,,,0.0,123,0.0,0.0
2024-07-15 00:00:00+00:00,,,,0.0,479,0.0,0.0
2024-07-16 00:00:00+00:00,,,,0.0,265,0.0,0.0
2024-07-17 00:00:00+00:00,,,,0.0,80,0.0,0.0
2024-07-18 00:00:00+00:00,,,,0.0,95,0.0,0.0
2024-07-19 00:00:00+00:00,,,,0.0,178,0.0,0.0
2024-07-20 00:00:00+00:00,,,,0.0,48,0.0,0.0
2024-07-21 00:00:00+00:00,,,,0.0,54,0.0,0.0
2024-07-22 00:00:00+00:00,,,,0.0,481,0.0,0.0
2024-07-23 00:00:00+00:00,,,,0.0,4,0.0,0.0
2024-07-24 00:00:00+00:00,,,,0.0,28,0.0,0.0
2024-07-25 00:00:00+00:00,,,,0.0,233,0.0,0.0
2024-07-26 00:00:00+00:00,,,,0.0,133,0.0,0.0
2024-07-27 00:00:00+00:00,,,,0.0,4,0.0,0.0
2024-07-28 00:00:00+00:00,,,,0.0,52,0.0,0.0
2024-07-29 00:00:00+00:00,,,,0.0,159,0.0,0.0
2024-07-30 00:00:00+00:00,,,,0.0,8,0.0,0.0
2024-08-02 00:00:00+00:00,,,,0.0,1332,0.0,0.0
2024-08-03 00:00:00+00:00,,,,0.0,205,0.0,0.0
2024-08-04 00:00:00+00:00,,,,0.0,59,0.0,0.0
2024-08-05 00:00:00+00:00,,,,0.0,803,0.0,0.0
2024-08-06 00:00:00+00:00,,,,0.0,27,0.0,0.0
2024-08-07 00:00:00+00:00,,,,0.0,294,0.0,0.0
2024-08-08 00:00:00+00:00,,,,0.0,5,0.0,0.0
2024-08-10 00:00:00+00:00,,,,0.0,7,0.0,0.0
2024-08-11 00:00:00+00:00,,,,0.0,10,0.0,0.0
2024-08-12 00:00:00+00:00,,,,0.0,5,0.0,0.0
2024-08-14 00:00:00+00:00,,,,0.0,84,0.0,0.0
