TIMESTAMP,BABYCATS_OPEN_PRICE_USD,BABYCATS_HIGH_PRICE_USD,BABYCATS_LOW_PRICE_USD,BABYCATS_CLOSE_PRICE_USD,BABYCATS_VOLUME_USD,BABYCATS_DIVIDENDS_USD,BABYCATS_STOCK_SPLITS_USD
2022-02-25 00:00:00+00:00,,,,0.0,1845022,0.0,0.0
2022-02-26 00:00:00+00:00,,,,0.0,1782763,0.0,0.0
2022-02-27 00:00:00+00:00,,,,0.0,759543,0.0,0.0
2022-02-28 00:00:00+00:00,,,,0.0,574084,0.0,0.0
2022-03-01 00:00:00+00:00,,,,0.0,748694,0.0,0.0
2022-03-02 00:00:00+00:00,,,,0.0,719743,0.0,0.0
2022-03-03 00:00:00+00:00,,,,0.0,377085,0.0,0.0
2022-03-04 00:00:00+00:00,,,,0.0,275724,0.0,0.0
2022-03-05 00:00:00+00:00,,,,0.0,190389,0.0,0.0
2022-03-06 00:00:00+00:00,,,,0.0,431171,0.0,0.0
2022-03-07 00:00:00+00:00,,,,0.0,546047,0.0,0.0
2022-03-08 00:00:00+00:00,,,,0.0,274683,0.0,0.0
2022-03-09 00:00:00+00:00,,,,0.0,192514,0.0,0.0
2022-03-10 00:00:00+00:00,,,,0.0,129309,0.0,0.0
2022-03-11 00:00:00+00:00,,,,0.0,133584,0.0,0.0
2022-03-12 00:00:00+00:00,,,,0.0,140957,0.0,0.0
2022-03-13 00:00:00+00:00,,,,0.0,109699,0.0,0.0
2022-03-14 00:00:00+00:00,,,,0.0,101474,0.0,0.0
2022-03-15 00:00:00+00:00,,,,0.0,73121,0.0,0.0
2022-03-16 00:00:00+00:00,,,,0.0,89513,0.0,0.0
2022-03-17 00:00:00+00:00,,,,0.0,206394,0.0,0.0
2022-03-18 00:00:00+00:00,,,,0.0,186968,0.0,0.0
2022-03-19 00:00:00+00:00,,,,0.0,40347,0.0,0.0
2022-03-20 00:00:00+00:00,,,,0.0,34546,0.0,0.0
2022-03-21 00:00:00+00:00,,,,0.0,39960,0.0,0.0
2022-03-22 00:00:00+00:00,,,,0.0,35053,0.0,0.0
2022-03-23 00:00:00+00:00,,,,0.0,33282,0.0,0.0
2022-03-24 00:00:00+00:00,,,,0.0,24372,0.0,0.0
2022-03-25 00:00:00+00:00,,,,0.0,33980,0.0,0.0
