TIMESTAMP,CGO30748_OPEN_PRICE_USD,CGO30748_HIGH_PRICE_USD,CGO30748_LOW_PRICE_USD,CGO30748_CLOSE_PRICE_USD,CGO30748_VOLUME_USD,CGO30748_DIVIDENDS_USD,CGO30748_STOCK_SPLITS_USD
2024-04-23 00:00:00+00:00,1.8999999156221747e-05,1.9999999494757503e-05,1.8999999156221747e-05,1.8999999156221747e-05,94,0.0,0.0
2024-04-24 00:00:00+00:00,1.8999999156221747e-05,1.9999999494757503e-05,1.8000000636675395e-05,1.8000000636675395e-05,137,0.0,0.0
2024-04-25 00:00:00+00:00,1.8000000636675395e-05,1.8999999156221747e-05,1.700000029813964e-05,1.8999999156221747e-05,671,0.0,0.0
2024-04-26 00:00:00+00:00,1.8999999156221747e-05,1.8999999156221747e-05,1.8999999156221747e-05,1.8999999156221747e-05,438,0.0,0.0
2024-04-27 00:00:00+00:00,1.8999999156221747e-05,1.8999999156221747e-05,1.8000000636675395e-05,1.8000000636675395e-05,193,0.0,0.0
2024-04-28 00:00:00+00:00,1.8000000636675395e-05,1.8999999156221747e-05,1.8000000636675395e-05,1.8000000636675395e-05,114,0.0,0.0
2024-04-29 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,1.700000029813964e-05,1.8000000636675395e-05,70,0.0,0.0
2024-04-30 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,1.5999999959603883e-05,1.5999999959603883e-05,452,0.0,0.0
2024-05-01 00:00:00+00:00,1.5999999959603883e-05,1.700000029813964e-05,1.4999999621068127e-05,1.5999999959603883e-05,48,0.0,0.0
2024-05-02 00:00:00+00:00,1.5999999959603883e-05,1.700000029813964e-05,1.5999999959603883e-05,1.700000029813964e-05,120,0.0,0.0
2024-05-03 00:00:00+00:00,1.700000029813964e-05,1.9999999494757503e-05,1.5999999959603883e-05,1.9999999494757503e-05,1855,0.0,0.0
2024-05-04 00:00:00+00:00,1.9999999494757503e-05,1.9999999494757503e-05,1.9999999494757503e-05,1.9999999494757503e-05,1531,0.0,0.0
2024-05-05 00:00:00+00:00,1.9999999494757503e-05,2.5999999706982635e-05,1.8999999156221747e-05,2.499999936844688e-05,3371,0.0,0.0
2024-05-06 00:00:00+00:00,2.499999936844688e-05,3.5000000934815034e-05,2.4000000848900527e-05,3.199999991920777e-05,5673,0.0,0.0
2024-05-07 00:00:00+00:00,3.199999991920777e-05,3.400000059627928e-05,3.099999958067201e-05,3.400000059627928e-05,6332,0.0,0.0
2024-05-08 00:00:00+00:00,3.5000000934815034e-05,4.099999932805076e-05,3.5000000934815034e-05,3.9999998989515007e-05,2860,0.0,0.0
2024-05-09 00:00:00+00:00,3.9999998989515007e-05,4.199999966658652e-05,3.7999998312443495e-05,4.199999966658652e-05,1564,0.0,0.0
