Lag,BTC,ETH,LTC,XRP,ANT,ARK,BAT,BTS,DASH,DCR,DGB,DOGE,ETC,FIRO,GAS,GNO,KMD,LSK,LUNC,MIOTA,PIVX,QTUM,RLC,SC,STEEM,SYS,WAVES,XEM,XLM,ZEC,ZEN
1,0.3255375640741176,0.9578639038256055,0.43166070238646237,0.7169094155092333,0.24334710984543062,0.6088930129228685,0.23591978197084934,0.3904484049683291,0.7146202913907176,0.5641030850162222,0.8175060673385783,0.057289016452079934,0.4150665237639435,0.33203263905847546,0.045712307036681485,0.8517295771754648,0.8080817944112098,0.6131573135995037,0.9220394593656458,0.22917785582716382,0.6060558738982506,0.7355374206101843,0.5954639588007671,0.7906167056422423,0.0024298740610054197,0.5275887245933151,0.6207742078675685,0.6765782346173499,0.6522091988981389,0.7315131601808883,0.3714630341175891
2,0.6105842600692115,0.9257508685736007,0.4538115640580299,0.8006491151149179,0.008513093921786863,0.510824926289495,0.15943400730944568,0.7121219906929059,0.43039204229592,0.36478532002973163,0.27478115559950084,0.14168318730946747,0.6122214444367136,0.5956987298063059,0.02759455640272518,0.5803570181929169,0.42748113946404764,0.8891331553365123,0.9305158739003936,0.08330099448655286,0.8300172247828578,0.9493748946432002,0.8592461775140016,0.9568768384434344,0.008307546344754281,0.23703324230081477,0.7655020635884533,0.43129205066189125,0.8894656730026314,0.29439398982777437,0.5899377795303522
3,0.34005296847222966,0.9622770718913974,0.6385091643596135,0.31139531574038365,0.022414372983324965,0.6505772866245745,0.26790749082621623,0.1403333514537564,0.5899685539652779,0.10688933776636098,0.2189478266803047,0.19627391222387458,0.31375953852462507,0.5171079474420395,0.060065402554377575,0.25500787945290343,0.4451456501980712,0.5846835939537236,0.4485719450863399,0.15722632203574516,0.7788219947500474,0.8981975945441298,0.7358283249599362,0.8162984828026731,0.028623287764204558,0.3221053621370969,0.8994954761750782,0.4360352062443955,0.8083690807651328,0.3230017858532277,0.6984963510441045
4,0.49982860062205325,0.9946213482848638,0.42086511504497726,0.33245320834910963,0.03801915055498433,0.7235383351939962,0.3090559086794765,0.06499756937804975,0.25168882772489626,0.24403579225323774,0.4175370863019948,0.09745133585062486,0.06612397532906387,0.6100370140212839,0.07697318426427689,0.12545192887654413,0.5807712787394577,0.3696837328918918,0.5992356221898304,0.3054554411223773,0.8677523823317855,0.9727070153006956,0.7681755480469139,0.8936106611360096,0.022001988132114406,0.4303662477690351,0.8420640371712211,0.5204064646100073,0.2872891431421257,0.5893400510552684,0.6989804939576931
5,0.30762994404480565,0.9968731241771303,0.2937012713165265,0.2332848566413012,0.08433254989381948,0.8166183404178297,0.4184328735781181,0.08811848732351653,0.3449096436789768,0.3143634994353341,0.5317245802295919,0.03561203086902928,0.09470251646986337,0.5328398825592873,0.1273937088698961,0.11398017731002033,0.5770073103713198,0.4531898069011353,0.4437325188591106,0.433372004443892,0.4542016081226602,0.9886961183327463,0.8143329188652506,0.8778583509191261,0.032381112260228925,0.3711116476774688,0.5755151712708796,0.38973272569827905,0.3751476030235471,0.6987113460980579,0.081092824381686
6,0.39774143212928476,0.8752974773043677,0.39832124696388943,0.10913306547353194,0.0543890930618534,0.921977065163151,0.540126289216277,0.1436296622304101,0.16625248321004502,0.4045228411131557,0.6253131767459206,0.06717223841096678,0.1295020809320879,0.4876951088352389,0.1724041261262436,0.13114065884374365,0.27727946387781677,0.6309046639578384,0.5686364647171971,0.5648654149837222,0.5723220360088606,0.9941177220056832,0.8040398523404431,0.9498256787744609,0.03205301259674239,0.3125085131539683,0.493428506567928,0.4304740446902211,0.25924308965643317,0.48950714319189936,0.1372935130005433
7,0.4820524805835854,0.9133761869130389,0.4386489815560445,0.06823111291555027,0.0761962164752717,0.7133371981122837,0.6699664849810341,0.1083315476280539,0.18302357240342845,0.4563537534226131,0.4914444320353677,0.1154992453235481,0.1738482256885338,0.6368174875089561,0.23565826794917133,0.13104765418629968,0.3709872978702487,0.2875287681753423,0.348512839255015,0.65720398373948,0.6543954508146178,0.29253400270107666,0.7413485363388131,0.9042733377695532,0.004926440690839461,0.34770238029914247,0.5886110235070164,0.1060974148718214,0.3313962690082918,0.585054359990598,0.14878078860106977
8,0.6246013555880048,0.942156809265411,0.49862980381110367,0.05412399097943873,0.07159003651589252,0.7662786294665828,0.7532826473242925,0.05738285468876392,0.19541352634945802,0.5388041487154238,0.48717449573134985,0.11627302530743754,0.2099646712051763,0.5068038584019381,0.2540096117290457,0.18184412369012076,0.3126775112116171,0.3316457095391574,0.3094634278708324,0.6839228058128046,0.5232892450730955,0.3281454969540586,0.4555601093739564,0.9319163315997783,0.0065286950895133596,0.18999171168776774,0.5271699591517465,0.09178189651747208,0.284529475429807,0.6282113416435906,0.11918067681758042
9,0.710211645560278,0.9248817684433172,0.568003502460767,0.001354455498225688,0.06759784438379274,0.8042595264447946,0.7894713858710747,0.0780113411397015,0.26546044187427936,0.5769238808860642,0.17994863126803926,0.15779663448871234,0.27945821815282695,0.39485068055187855,0.27241992343863153,0.13908063589640007,0.3723203895507931,0.39139135350906273,0.2891367335278765,0.6569933048866534,0.5910301901761597,0.14109287896156397,0.14280326333271218,0.6632545831042569,0.01106082822118414,0.27587785209099874,0.6082040456540838,0.012549308747509863,0.32603892543458135,0.7208506675985045,0.13783637163551793
10,0.7864822836766506,0.739776352688586,0.648731070518799,0.0021418132338828196,0.06839956138119126,0.8813228348804065,0.5761558075290043,0.054199313378081114,0.34374424547358917,0.547125279669817,0.24627677984536808,0.22938551310535746,0.11104853922347914,0.3999077526920981,0.35818027552044684,0.18923116120905656,0.43311826195322434,0.39137944700233984,0.3478930790972666,0.7377636137483418,0.7367176828359915,0.19379040993315813,0.10626122412188013,0.7328363941935039,0.018026134060143584,0.1576819609834354,0.6807733511083857,0.017778501823112258,0.41351911504076266,0.783286603082482,0.19293385841148342
