Lag,BTC,ETH,LTC,XRP,ANT,ARK,BAT,BTS,DASH,DCR,DGB,DOGE,ETC,FIRO,GAS,GNO,KMD,LSK,LUNC,MIOTA,PIVX,QTUM,RLC,SC,STEEM,SYS,WAVES,XEM,XLM,ZEC,ZEN
1,7.849000568706357e-07,7.819891308743407e-06,9.309118478238078e-06,0.004032319930773357,0.05517162650557004,0.7287407698542386,0.00018541697014206603,0.21677650586982386,0.000371982077609683,0.08042205836161448,0.00743396557216462,0.0030819263330681998,4.487980345829727e-07,0.044228449720852006,0.05922762688152608,0.0038545047418175626,0.4654420238329443,0.9793340395823762,0.833427614990476,4.160725697628735e-07,0.8438656184011805,0.0009268558182782764,0.0019957116231663985,0.057598155801258676,0.757331526272031,0.12417372009080638,0.1755068220665668,0.07903703713662741,0.00038088677955836224,2.0471976212276547e-05,0.0031248443784398262
2,1.7310424616682603e-06,1.6580525373329744e-05,2.3561278358397977e-05,0.012229882948387961,0.0640848689850091,0.8954260868178278,4.4495028051598133e-05,0.34376207538396764,0.0002158554917136921,0.019579528659170453,0.01920920796713918,0.006666966355115785,1.0484536635468169e-06,0.16487401644588354,0.11461955103572857,0.009657327542946374,0.32407941880671304,0.0532848622535336,0.5211657808322323,3.577879955015901e-08,0.6640194871141856,0.002639393746913684,0.0031304712378353037,0.15585596820913594,0.045420514353190035,0.11547787235986731,0.17235505402664267,0.08613779153100252,0.000971572764954813,1.36983348206252e-05,0.010174393309435162
3,3.3723266862961303e-06,2.656452361046939e-05,6.361926323537006e-06,0.009034408423170989,0.0954783683924333,0.6063973670342198,0.0001552595412695109,0.4291160089830638,0.0006920996121250077,0.023640698969459202,0.02401835453981967,0.017452797703898983,1.3885574391432998e-06,0.09570714647461796,0.20510248353630903,0.012674599565858796,0.46351051245068364,0.11509848709703467,0.6597584676999211,1.3744411543067064e-07,0.85414259233149,0.0013124133877191852,0.000703230224808659,0.28058251701345194,0.05268798901162991,0.1803458680717898,0.29458918285429636,0.1696732692155217,0.002973398909822226,3.260465657390157e-05,0.018091539940981966
4,1.0707149571443748e-06,8.790210180958462e-06,7.070495671662765e-07,0.02352195944927571,0.11678925239245477,0.6085648849038632,0.0003597116410446112,0.6517503707376173,0.0012896211294263918,0.0007086170599678752,0.0315681646273833,0.003826471506677678,3.9376225673278554e-09,0.0883546534181914,0.11090342299145088,0.02879888715782701,0.44351185089480516,0.17248091368007318,0.7490992175079327,5.61830914373582e-07,0.9456845833838806,0.0046192684837960294,0.0017286199948043496,0.18457256463019076,0.11281151429603219,0.15854098057675176,0.039531649415903154,0.24055358045296993,0.00010922499277916912,0.0001074731515302003,0.014129642656203338
5,2.145209370936431e-06,8.870279198755303e-06,1.8634067626826747e-06,0.04030231727683691,0.16597091130678213,0.4055609326270189,0.0007384893879289899,0.7721514692619775,0.0021707040782688513,0.0013160706353648611,0.05375267427594606,0.0024381546904895545,1.0875479595339872e-08,0.14120122282842326,0.2240412127466716,0.05140058265685102,0.5757249816968002,0.19247480923608748,0.6592046175089923,1.7260768753268545e-06,0.5275461817495689,0.006830485224394301,0.0027628689922714884,0.2752860379759647,0.2229009910855625,0.23490318450652795,0.019849129970879387,0.36359045188442857,0.00023157594832077665,0.00026622429989039194,0.019843612295626707
6,3.680425137148081e-06,2.278794251168117e-05,3.594052666829834e-06,0.05482589338084314,0.27243266299186314,0.4707676644534089,0.0016108303709286543,0.8488453688068862,0.0017966625353798933,0.0029057768024930565,0.08322723711465119,0.004436654731210522,1.3452143294006838e-08,0.11533515213909518,0.23264889334669211,0.07988402005345063,0.6031453724496063,0.25014224287088593,0.6867332900799776,4.0086474928805026e-06,0.30517006442980527,0.011970429656196118,0.005209052886298857,0.33272282171320555,0.2515287510959941,0.17013990669003232,0.03681044791536525,0.4953977047916792,0.0004140478283124903,0.0004051363236783245,0.0020986535146762207
7,6.102986488092035e-06,9.522396865874795e-06,3.9030484966637455e-06,0.04084103468770692,0.29422536003215083,0.5582181606763648,0.0032756364434873846,0.6907797325096635,0.00018093192730961642,0.007363770477702811,0.058411420721943726,0.007549472876620946,2.8529102443718543e-08,0.1363381373628635,0.20764593614644883,0.09102328782259571,0.6738103824497508,0.026870675882350325,0.7463613485062085,9.778242741757044e-06,0.3349624450388693,0.012367475543463844,0.01080317658767254,0.31572649426957716,0.2744753539685619,0.20329765821088389,0.051685760694522166,0.38411419104599287,0.0007869097661979567,0.0005359468940750611,0.002534794299098631
8,1.4095902673377504e-05,6.290465664516443e-06,5.4373717085119875e-06,0.06122287074262876,0.27784611023177724,0.5994425427206722,0.004492391644851089,0.76374846882458,0.0001611683725313631,0.007028283437296444,0.08356608454340327,0.0012415026213535988,6.705295517609477e-08,0.0499173873985198,0.2928540464494546,0.140247969166779,0.7074146586088506,0.027006078480006628,0.8791307609088921,8.577526677226287e-06,0.47926414963996844,0.022006282028978273,0.009083628653065518,0.26001132632200713,0.3692505052121998,0.2533073315688878,0.058439370498979404,0.3755080269963181,0.0013784862508792544,0.0008359749125743127,0.003949990519861197
9,7.774324969981458e-06,8.82118617886347e-06,5.302106588532344e-06,0.076301244242775,0.4793447283988769,0.6696487092119008,0.007941943228936117,0.7790702167092273,0.00032600555213937744,0.012446442848524164,0.07342710749017752,0.002258097033326979,1.755900783841088e-07,0.034647387688212974,0.3243708347993207,0.07225017547567898,0.7701215418338562,0.04528545896300345,0.7508338950398643,1.868417106048648e-05,0.45323970192897867,0.03135062767218805,0.009435342876130855,0.3677899967614997,0.3977961367245041,0.30606798882673397,0.08910501453105266,0.07507606878246365,0.002612056419876384,0.0013217616127907052,0.003228213069420646
10,1.4989567752056384e-05,5.028878860484932e-06,3.157700347810121e-06,0.021249304481470953,0.5355950929897061,0.6330956033621835,0.005219179431370282,0.656820106285973,0.0004533025912301182,0.01977250622752026,0.07707815246755903,0.0037560467169960887,3.0979826009291324e-07,0.039628275547585246,0.24333651347500154,0.09087972868629587,0.800838118909699,0.059455035417075384,0.488553514682323,2.4032268750259402e-05,0.47175641857492867,0.012883046201069585,0.012400873181258744,0.08228071879844769,0.3934776683272363,0.2611151399917926,0.11269891730238965,0.031549174136056,0.002720582214351541,0.002163009380695471,0.003920730259570541
