,params_Conv_input_activation,params_Dense_activation_l1,params_Dense_activation_l2,params_Dense_activation_l3,params_Dense_dim_l1,params_Dense_dim_l2,params_Dense_dim_l3,params_Dense_n_layers,params_MSR_Block_Conv1d_out_channels,params_MSR_Block_Conv2d_out_channels,params_MSR_Block_activation,params_MSR_Block_cross_channel_fusion,params_MSR_Block_scales,params_MSR_Conv1d_activation,params_RNN_activation,params_RNN_dim_l1,params_RNN_dim_l2,params_RNN_dim_l3,params_RNN_n_layers,params_TRAIN_batch_size,params_TRAIN_learning_rate,params_TRAIN_momentum,params_TRAIN_n_epochs,params_TRAIN_optimizer,params_TRAIN_weight_decay,user_attrs_mean_train_mae,user_attrs_mean_train_mse,user_attrs_mean_val_mae,user_attrs_mean_val_mse,user_attrs_median_train_mae,user_attrs_median_train_mse,user_attrs_median_val_mae,user_attrs_median_val_mse,Mean_Train_MSE,Median_Train_MSE,Mean_Train_MAE,Median_Train_MAE,Mean_Val_MSE,Median_Val_MSE,Mean_Val_MAE,Median_Val_MAE
0,gelu,relu,elu,tanh,256,112,144,2,56,100,tanh,True,"[1, 3, 5, 7, 14]",relu,selu,16,32,240,2,160,0.0052879068377197185,0.8999579880394691,92,SGD,0.0,0.01599466470918477,0.0016244694024127558,0.037298616090098435,0.00398374326717292,0.01580000621058778,0.001567170045747387,0.039258823848570185,0.004143146547417501,0.0016244694024127558,0.001567170045747387,0.01599466470918477,0.01580000621058778,0.00398374326717292,0.004143146547417501,0.037298616090098435,0.039258823848570185
1,tanh,sigmoid,elu,sigmoid,176,16,144,2,56,92,gelu,False,"[7, 9, 11, 13, 15]",tanh,tanh,384,304,464,1,216,7.611558408036564e-05,0.8513253741348126,98,SGD,0.0,0.016001570519208367,0.0016245173634052469,0.037308184284745284,0.003984709601908237,0.015794705903676494,0.0015671666738140328,0.039265011950525494,0.004143138100641845,0.0016245173634052469,0.0015671666738140328,0.016001570519208367,0.015794705903676494,0.003984709601908237,0.004143138100641845,0.037308184284745284,0.039265011950525494
2,leaky_relu,sigmoid,selu,selu,160,112,192,1,24,96,relu,True,"[1, 4, 7, 11, 14]",linear,linear,448,352,80,2,240,0.00430480564257668,0.8448833125616687,184,SGD,0.0,0.016054443832763332,0.0016267403567508624,0.03731126719143988,0.003984807422202192,0.015804422272024866,0.0015714828887064048,0.03927973736200455,0.004144092774199104,0.0016267403567508624,0.0015714828887064048,0.016054443832763332,0.015804422272024866,0.003984807422202192,0.004144092774199104,0.03731126719143988,0.03927973736200455
3,elu,selu,relu,leaky_relu,32,112,176,1,12,104,linear,True,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",selu,elu,288,144,80,1,72,0.00024053370398602987,0.9433438409492345,58,Adamax,0.001,0.016525168255795523,0.0016381480996864306,0.037387037546257114,0.003989914092663928,0.01595095554572473,0.001580038989132716,0.039354627591156155,0.004143055633252804,0.0016381480996864306,0.001580038989132716,0.016525168255795523,0.01595095554572473,0.003989914092663928,0.004143055633252804,0.037387037546257114,0.039354627591156155
4,sigmoid,relu,selu,sigmoid,80,224,32,2,24,124,gelu,False,"[2, 5, 7, 14]",gelu,linear,400,128,432,1,256,0.004614895542501106,0.8541116504367993,154,Adam,1e-05,0.016708117475254525,0.0016422028919649296,0.037409507748658706,0.003991168735582575,0.01616922285977684,0.0015944664251045532,0.03966910522913989,0.004173357112627552,0.0016422028919649296,0.0015944664251045532,0.016708117475254525,0.01616922285977684,0.003991168735582575,0.004173357112627552,0.037409507748658706,0.03966910522913989
5,selu,gelu,relu,gelu,32,256,144,3,16,92,leaky_relu,False,"[1, 3, 5, 7, 10, 12, 15]",tanh,elu,192,400,144,3,64,0.004950286784826791,0.9734498585563145,126,Adagrad,0.0,0.016205351875295874,0.0016512739921731377,0.03764677715916086,0.004006521804232999,0.015925068662873253,0.0015916642612788376,0.039273795136963864,0.004143296163382511,0.0016512739921731377,0.0015916642612788376,0.016205351875295874,0.015925068662873253,0.004006521804232999,0.004143296163382511,0.03764677715916086,0.039273795136963864
6,sigmoid,selu,leaky_relu,selu,208,208,192,3,24,32,relu,True,"[1, 3, 5, 7, 10, 12, 15]",leaky_relu,relu,384,224,128,1,208,0.009940623559091425,0.9768288620968737,182,Adamax,1e-05,0.01713417555767498,0.001664699569522413,0.03763955159995711,0.004011581900337295,0.016108551753253555,0.0015960488174774502,0.03947536311074312,0.004144443826120652,0.001664699569522413,0.0015960488174774502,0.01713417555767498,0.016108551753253555,0.004011581900337295,0.004144443826120652,0.03763955159995711,0.03947536311074312
7,elu,gelu,elu,leaky_relu,128,240,96,3,8,104,relu,True,"[7, 11, 13, 15]",gelu,tanh,384,160,416,3,56,0.00018259330704126686,0.8959626284604492,100,NAdam,1e-06,0.01651086221496257,0.001646591620379525,0.038842967714396034,0.004099819752723117,0.016349957400035163,0.0015969498956789614,0.03929429545784707,0.004144382349669512,0.001646591620379525,0.0015969498956789614,0.01651086221496257,0.016349957400035163,0.004099819752723117,0.004144382349669512,0.038842967714396034,0.03929429545784707
8,gelu,elu,leaky_relu,elu,80,48,176,2,64,72,selu,True,"[5, 7, 9, 11, 13, 15]",gelu,selu,432,368,464,3,224,0.0003753629439862707,0.9887355501582119,96,NAdam,1e-06,0.039915947815572735,0.008560969880050652,0.052953444427560344,0.007529526990316109,0.021358530268667634,0.001782201756010283,0.03997208866327538,0.004282685697659052,0.008560969880050652,0.001782201756010283,0.039915947815572735,0.021358530268667634,0.007529526990316109,0.004282685697659052,0.052953444427560344,0.03997208866327538
9,leaky_relu,tanh,relu,relu,208,192,208,2,40,36,sigmoid,False,"[3, 6, 9, 12, 15]",leaky_relu,selu,240,176,320,1,120,0.0014480029851479826,0.9843220164953363,34,RMSprop,1e-06,2.0059240648239727,12.255600180102087,1.2417911675839703,4.924008178806125,0.9872042184870791,1.2091972489547822,0.9419273727587647,0.9103488479324757,12.255600180102087,1.2091972489547822,2.0059240648239727,0.9872042184870791,4.924008178806125,0.9103488479324757,1.2417911675839703,0.9419273727587647
