,nMSE,nRMSE,nMAE,nMAPE,MSE,RMSE,MAE,MAPE,R2
0,0.026488977289882535,0.16275434645465703,0.14312913796300258,0.6901296103459946,892751.186343035,944.8551139423626,830.9228065242431,1.9704898201038032,0.497895942336275
1,0.02317822788865253,0.15224397488456654,0.13714336405834135,1.0531693482973645,781169.9030686214,883.8381656551279,796.1729730144217,2.2286993969407813,0.694613353748762
2,0.006366672199492111,0.07979142936112944,0.06867562087659032,0.09241073235040888,214574.3584897247,463.22171634080877,398.6899355283364,0.25514357994395004,0.6564918143075813
3,0.10932322327848425,0.33064062557175916,0.2575889224134217,0.5993575238063199,3684492.6596919284,1919.5032325296897,1495.408412815314,0.8637593712654072,0.6945156430368873
4,0.008992878705076235,0.09483078985791606,0.0835958644579956,0.249937875522624,303084.6680689917,550.5312598472422,485.3079277500146,0.34879395510664735,0.9645544269516874
5,0.002171553013280746,0.04659992503514084,0.03767630797727679,0.06566366022056631,90268.20260605995,300.44667181724606,242.9128741319386,1.0307351365439141,0.9660820301185581
6,0.005512359349549141,0.07424526482914005,0.06585768590961584,2.2989630095468256,411272.1182507835,641.3050118709376,568.8559898181842,0.4546449758862727,0.8996949144352364
7,0.0034010309250893157,0.05831835838815523,0.050803087854871004,0.13435824601897972,484316.22462585365,695.9283185974355,606.2466127495228,1.262968660460554,0.8125580496743521
8,0.00432807554903429,0.06578811100065338,0.05658213612296842,0.09813684139409906,616329.9381169826,785.0668367196405,675.2095179999233,0.8435932111153972,0.7269860967063854
9,0.002844203767319051,0.05333107693755163,0.04564205074697234,0.10185608134872695,405022.4876127807,636.4137707598577,544.6585952784787,0.5390086542766468,0.9141442753727165
10,0.0005224205922607877,0.022856521875840773,0.017784886673469155,0.027596321789954185,74394.13171481894,272.75287663894386,212.23173141021,0.22356884339907385,0.9375440942507611
11,0.0009919114802797175,0.03149462621273219,0.027753856216899304,0.07685920160785698,158682.81006786856,398.3501099132126,351.0361272536434,0.5558456154834761,0.918110433014111
Mean,0.01617679450320006,0.09774125420077019,0.08268607677261869,0.45736987102081,676363.2240547874,707.6844237193753,600.6377920228525,0.8814376017104936,0.8069325894961095
