TIMESTAMP,DNA36209_OPEN_PRICE_USD,DNA36209_HIGH_PRICE_USD,DNA36209_LOW_PRICE_USD,DNA36209_CLOSE_PRICE_USD,DNA36209_VOLUME_USD,DNA36209_DIVIDENDS_USD,DNA36209_STOCK_SPLITS_USD
2025-04-06 00:00:00+00:00,,,,0.0,45031,0.0,0.0
2025-04-07 00:00:00+00:00,,,,0.0,86612,0.0,0.0
2025-04-08 00:00:00+00:00,,,,0.0,120066,0.0,0.0
2025-04-09 00:00:00+00:00,,,,0.0,5417,0.0,0.0
2025-04-11 00:00:00+00:00,,,,0.0,1658,0.0,0.0
2025-04-12 00:00:00+00:00,,,,0.0,568,0.0,0.0
2025-04-14 00:00:00+00:00,,,,0.0,630,0.0,0.0
2025-04-19 00:00:00+00:00,,,,0.0,128,0.0,0.0
2025-04-26 00:00:00+00:00,,,,0.0,50,0.0,0.0
2025-05-01 00:00:00+00:00,,,,0.0,2352,0.0,0.0
2025-05-18 00:00:00+00:00,,,,0.0,2174,0.0,0.0
2025-05-20 00:00:00+00:00,,,,0.0,366,0.0,0.0
2025-05-22 00:00:00+00:00,,,,0.0,35,0.0,0.0
2025-06-01 00:00:00+00:00,1.5196899999254249e-13,1.519693659107757e-13,1.5196899999254249e-13,1.519693659107757e-13,25,0.0,0.0
