TIMESTAMP,CORGI_OPEN_PRICE_USD,CORGI_HIGH_PRICE_USD,CORGI_LOW_PRICE_USD,CORGI_CLOSE_PRICE_USD,CORGI_VOLUME_USD,CORGI_DIVIDENDS_USD,CORGI_STOCK_SPLITS_USD
2021-05-20 00:00:00+00:00,1.1000000085914508e-05,1.700000029813964e-05,6.000000212225132e-06,9.000000318337698e-06,117027,0.0,0.0
2021-05-21 00:00:00+00:00,9.000000318337698e-06,9.999999747378752e-06,3.999999989900971e-06,4.999999873689376e-06,33929,0.0,0.0
2021-05-22 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,3.000000106112566e-06,3.999999989900971e-06,498395,0.0,0.0
2021-05-23 00:00:00+00:00,,,,0.0,477461,0.0,0.0
2021-05-24 00:00:00+00:00,,,,0.0,884910,0.0,0.0
2021-05-25 00:00:00+00:00,,,,0.0,578708,0.0,0.0
2021-05-26 00:00:00+00:00,,,,0.0,417868,0.0,0.0
2021-05-27 00:00:00+00:00,,,,0.0,247514,0.0,0.0
2021-05-28 00:00:00+00:00,,,,0.0,116264,0.0,0.0
2021-05-29 00:00:00+00:00,,,,0.0,125239,0.0,0.0
2021-05-30 00:00:00+00:00,,,,0.0,130183,0.0,0.0
2021-05-31 00:00:00+00:00,,,,0.0,83318,0.0,0.0
2021-06-01 00:00:00+00:00,,,,0.0,53661,0.0,0.0
2021-06-02 00:00:00+00:00,,,,0.0,191648,0.0,0.0
2021-06-03 00:00:00+00:00,,,,0.0,229967,0.0,0.0
2021-06-04 00:00:00+00:00,,,,0.0,76825,0.0,0.0
2021-06-05 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,760954,0.0,0.0
2021-06-06 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,2172588,0.0,0.0
2021-06-07 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,1731373,0.0,0.0
2021-06-08 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,683954,0.0,0.0
2021-06-09 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,420304,0.0,0.0
2021-06-10 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,222456,0.0,0.0
2021-06-11 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,160509,0.0,0.0
2021-06-12 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,120536,0.0,0.0
