Categorie: Alle categorieën

Maand,Buy LTC: (Wereldwijd)
2009-01,0
2009-02,0
2009-03,4
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,3
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,3
2010-08,0
2010-09,0
2010-10,2
2010-11,2
2010-12,0
2011-01,0
2011-02,2
2011-03,0
2011-04,0
2011-05,2
2011-06,3
2011-07,0
2011-08,0
2011-09,2
2011-10,0
2011-11,2
2011-12,2
2012-01,2
2012-02,0
2012-03,2
2012-04,0
2012-05,2
2012-06,1
2012-07,2
2012-08,3
2012-09,2
2012-10,2
2012-11,4
2012-12,2
2013-01,3
2013-02,2
2013-03,3
2013-04,10
2013-05,3
2013-06,3
2013-07,4
2013-08,3
2013-09,3
2013-10,3
2013-11,28
2013-12,21
2014-01,9
2014-02,7
2014-03,6
2014-04,3
2014-05,3
2014-06,2
2014-07,3
2014-08,3
2014-09,3
2014-10,3
2014-11,2
2014-12,2
2015-01,3
2015-02,3
2015-03,1
2015-04,2
2015-05,2
2015-06,2
2015-07,3
2015-08,2
2015-09,2
2015-10,2
2015-11,2
2015-12,2
2016-01,3
2016-02,2
2016-03,3
2016-04,2
2016-05,2
2016-06,2
2016-07,2
2016-08,3
2016-09,2
2016-10,4
2016-11,3
2016-12,3
2017-01,3
2017-02,3
2017-03,3
2017-04,4
2017-05,11
2017-06,13
2017-07,9
2017-08,13
2017-09,13
2017-10,9
2017-11,21
2017-12,100
2018-01,48
2018-02,14
2018-03,8
2018-04,6
2018-05,6
2018-06,4
2018-07,5
2018-08,5
2018-09,5
2018-10,4
2018-11,4
2018-12,4
2019-01,3
2019-02,5
2019-03,4
2019-04,4
2019-05,4
2019-06,6
2019-07,4
2019-08,5
2019-09,4
2019-10,3
2019-11,4
2019-12,4
2020-01,4
2020-02,4
2020-03,5
2020-04,5
2020-05,5
2020-06,6
2020-07,6
2020-08,5
2020-09,5
2020-10,6
2020-11,8
2020-12,8
2021-01,14
2021-02,17
2021-03,13
2021-04,15
2021-05,17
2021-06,9
2021-07,6
2021-08,7
2021-09,7
2021-10,8
2021-11,9
2021-12,7
2022-01,11
2022-02,9
2022-03,9
2022-04,9
2022-05,8
2022-06,8
2022-07,7
2022-08,7
2022-09,6
2022-10,7
2022-11,7
2022-12,8
2023-01,8
2023-02,5
2023-03,6
2023-04,6
2023-05,7
2023-06,6
2023-07,8
2023-08,8
2023-09,8
2023-10,7
2023-11,8
2023-12,8
2024-01,9
2024-02,9
2024-03,10
2024-04,10
2024-05,10
2024-06,10
2024-07,11
2024-08,10
2024-09,11
2024-10,10
2024-11,11
2024-12,13
2025-01,12
2025-02,11
2025-03,10
2025-04,8
2025-05,9
