TIMESTAMP,HMNG_OPEN_PRICE_USD,HMNG_HIGH_PRICE_USD,HMNG_LOW_PRICE_USD,HMNG_CLOSE_PRICE_USD,HMNG_VOLUME_USD,HMNG_DIVIDENDS_USD,HMNG_STOCK_SPLITS_USD
2021-05-12 00:00:00+00:00,,,,0.0,2199413,0.0,0.0
2021-05-13 00:00:00+00:00,,,,0.0,2940035,0.0,0.0
2021-05-14 00:00:00+00:00,,,,0.0,4748051,0.0,0.0
2021-05-15 00:00:00+00:00,,,,0.0,2013072,0.0,0.0
2021-05-16 00:00:00+00:00,,,,0.0,2449742,0.0,0.0
2021-05-17 00:00:00+00:00,,,,0.0,3827060,0.0,0.0
2021-05-18 00:00:00+00:00,,,,0.0,1248315,0.0,0.0
2021-05-19 00:00:00+00:00,,,,0.0,768837,0.0,0.0
2021-05-20 00:00:00+00:00,,,,0.0,682720,0.0,0.0
2021-05-21 00:00:00+00:00,,,,0.0,386065,0.0,0.0
2021-05-22 00:00:00+00:00,,,,0.0,119910,0.0,0.0
2021-05-23 00:00:00+00:00,,,,0.0,197755,0.0,0.0
2021-05-24 00:00:00+00:00,,,,0.0,175743,0.0,0.0
2021-05-25 00:00:00+00:00,,,,0.0,113873,0.0,0.0
2021-05-26 00:00:00+00:00,,,,0.0,150709,0.0,0.0
2021-05-27 00:00:00+00:00,,,,0.0,232358,0.0,0.0
2021-05-28 00:00:00+00:00,,,,0.0,96561,0.0,0.0
2021-05-29 00:00:00+00:00,,,,0.0,113553,0.0,0.0
2021-05-30 00:00:00+00:00,,,,0.0,81299,0.0,0.0
2021-05-31 00:00:00+00:00,,,,0.0,123623,0.0,0.0
2021-06-01 00:00:00+00:00,,,,0.0,69940,0.0,0.0
2021-06-02 00:00:00+00:00,,,,0.0,477640,0.0,0.0
2021-06-03 00:00:00+00:00,,,,0.0,297750,0.0,0.0
2021-06-04 00:00:00+00:00,,,,0.0,745953,0.0,0.0
2021-06-05 00:00:00+00:00,,,,0.0,429764,0.0,0.0
2021-06-06 00:00:00+00:00,,,,0.0,394865,0.0,0.0
2021-06-07 00:00:00+00:00,,,,0.0,270089,0.0,0.0
2021-06-08 00:00:00+00:00,,,,0.0,217118,0.0,0.0
2021-06-09 00:00:00+00:00,,,,0.0,194920,0.0,0.0
2021-06-10 00:00:00+00:00,,,,0.0,115021,0.0,0.0
2021-06-11 00:00:00+00:00,,,,0.0,106580,0.0,0.0
2021-06-12 00:00:00+00:00,,,,0.0,78294,0.0,0.0
2021-06-13 00:00:00+00:00,,,,0.0,58467,0.0,0.0
2021-06-14 00:00:00+00:00,,,,0.0,43504,0.0,0.0
2021-06-15 00:00:00+00:00,,,,0.0,71313,0.0,0.0
2021-06-16 00:00:00+00:00,,,,0.0,128612,0.0,0.0
2021-06-17 00:00:00+00:00,,,,0.0,196436,0.0,0.0
2021-06-18 00:00:00+00:00,,,,0.0,141395,0.0,0.0
2021-06-19 00:00:00+00:00,,,,0.0,46525,0.0,0.0
2021-06-20 00:00:00+00:00,,,,0.0,58428,0.0,0.0
2021-06-21 00:00:00+00:00,,,,0.0,59274,0.0,0.0
2021-06-22 00:00:00+00:00,,,,0.0,53432,0.0,0.0
