TIMESTAMP,HOGE_OPEN_PRICE_USD,HOGE_HIGH_PRICE_USD,HOGE_LOW_PRICE_USD,HOGE_CLOSE_PRICE_USD,HOGE_VOLUME_USD,HOGE_DIVIDENDS_USD,HOGE_STOCK_SPLITS_USD
2021-02-14 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,51087,0.0,0.0
2021-02-15 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,162307,0.0,0.0
2021-02-16 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,120792,0.0,0.0
2021-02-17 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,86527,0.0,0.0
2021-02-18 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,51959,0.0,0.0
2021-02-19 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,43142,0.0,0.0
2021-02-20 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,15567,0.0,0.0
2021-02-21 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,17211,0.0,0.0
2021-02-22 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,16973,0.0,0.0
2021-02-23 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9599,0.0,0.0
2021-02-24 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,12413,0.0,0.0
2021-02-25 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,32578,0.0,0.0
2021-02-26 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,32299,0.0,0.0
2021-02-27 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,104368,0.0,0.0
2021-02-28 00:00:00+00:00,1.9999999949504854e-06,6.000000212225132e-06,9.999999974752427e-07,3.999999989900971e-06,473564,0.0,0.0
2021-03-01 00:00:00+00:00,3.999999989900971e-06,7.999999979801942e-06,3.999999989900971e-06,3.999999989900971e-06,420126,0.0,0.0
2021-03-02 00:00:00+00:00,3.999999989900971e-06,6.000000212225132e-06,3.999999989900971e-06,6.000000212225132e-06,203609,0.0,0.0
2021-03-03 00:00:00+00:00,6.000000212225132e-06,7.000000096013537e-06,4.999999873689376e-06,4.999999873689376e-06,110362,0.0,0.0
2021-03-04 00:00:00+00:00,4.999999873689376e-06,1.2000000424450263e-05,4.999999873689376e-06,1.1000000085914508e-05,832313,0.0,0.0
