TIMESTAMP,JUNGLE31298_OPEN_PRICE_USD,JUNGLE31298_HIGH_PRICE_USD,JUNGLE31298_LOW_PRICE_USD,JUNGLE31298_CLOSE_PRICE_USD,JUNGLE31298_VOLUME_USD,JUNGLE31298_DIVIDENDS_USD,JUNGLE31298_STOCK_SPLITS_USD
2024-05-17 00:00:00+00:00,5.6000000768108293e-05,9.000000136438757e-05,4.400000034365803e-05,6.299999949987978e-05,2716812,0.0,0.0
2024-05-18 00:00:00+00:00,6.500000017695129e-05,8.099999831756577e-05,5.6000000768108293e-05,6.70000008540228e-05,1744813,0.0,0.0
2024-05-19 00:00:00+00:00,6.800000119255856e-05,7.899999764049426e-05,5.199999941396527e-05,6.399999983841553e-05,2103356,0.0,0.0
2024-05-20 00:00:00+00:00,6.399999983841553e-05,7.300000288523734e-05,5.2999999752501026e-05,6.399999983841553e-05,1965796,0.0,0.0
2024-05-21 00:00:00+00:00,6.399999983841553e-05,6.500000017695129e-05,5.199999941396527e-05,5.199999941396527e-05,1421441,0.0,0.0
2024-05-22 00:00:00+00:00,5.199999941396527e-05,6.600000051548705e-05,3.899999865097925e-05,6.399999983841553e-05,1170765,0.0,0.0
2024-05-23 00:00:00+00:00,6.399999983841553e-05,7.699999696342275e-05,6.199999916134402e-05,7.300000288523734e-05,1218736,0.0,0.0
2024-05-24 00:00:00+00:00,7.300000288523734e-05,0.00012799999967683107,6.900000153109431e-05,9.7999996796716e-05,2107643,0.0,0.0
2024-05-25 00:00:00+00:00,9.7999996796716e-05,0.00015700000221841037,8.800000068731606e-05,0.00014699999883305281,3807794,0.0,0.0
2024-05-26 00:00:00+00:00,0.00016500000492669642,0.00017299999308306724,0.00012700000661425292,0.00014200000441633165,4439080,0.0,0.0
2024-05-27 00:00:00+00:00,0.00013600000238511711,0.0002010000025620684,0.0001289999927394092,0.00016500000492669642,6628351,0.0,0.0
2024-05-28 00:00:00+00:00,0.00016500000492669642,0.0002300000051036477,4.999999873689376e-06,6.000000212225132e-06,9004316,0.0,0.0
2024-05-29 00:00:00+00:00,6.000000212225132e-06,7.000000096013537e-06,3.999999989900971e-06,3.999999989900971e-06,324680,0.0,0.0
2024-05-30 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,61127,0.0,0.0
2024-05-31 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,60427,0.0,0.0
2024-06-01 00:00:00+00:00,1.9999999949504854e-06,1.2000000424450263e-05,1.9999999949504854e-06,1.1000000085914508e-05,303417,0.0,0.0
2024-06-02 00:00:00+00:00,1.2000000424450263e-05,2.099999983329326e-05,1.2000000424450263e-05,2.099999983329326e-05,421006,0.0,0.0
2024-06-03 00:00:00+00:00,2.099999983329326e-05,2.4000000848900527e-05,1.1000000085914508e-05,1.2000000424450263e-05,490935,0.0,0.0
2024-06-04 00:00:00+00:00,1.2000000424450263e-05,2.099999983329326e-05,9.999999747378752e-06,1.8999999156221747e-05,421366,0.0,0.0
2024-06-05 00:00:00+00:00,1.9999999494757503e-05,4.199999966658652e-05,1.8999999156221747e-05,3.9999998989515007e-05,391723,0.0,0.0
2024-06-06 00:00:00+00:00,3.9999998989515007e-05,3.9999998989515007e-05,2.8000000384054147e-05,2.8000000384054147e-05,389776,0.0,0.0
2024-06-07 00:00:00+00:00,2.700000004551839e-05,3.400000059627928e-05,2.5999999706982635e-05,3.099999958067201e-05,387125,0.0,0.0
2024-06-08 00:00:00+00:00,3.099999958067201e-05,4.70000013592653e-05,2.5999999706982635e-05,2.8000000384054147e-05,376626,0.0,0.0
2024-06-09 00:00:00+00:00,2.8000000384054147e-05,2.9999999242136255e-05,1.2000000424450263e-05,1.5999999959603883e-05,376907,0.0,0.0
2024-06-10 00:00:00+00:00,1.5999999959603883e-05,0.00010800000018207356,1.5999999959603883e-05,0.00010099999781232327,2253749,0.0,0.0
2024-06-11 00:00:00+00:00,0.00010099999781232327,0.00010199999815085903,7.79999973019585e-05,8.099999831756577e-05,1973451,0.0,0.0
2024-06-12 00:00:00+00:00,8.099999831756577e-05,8.299999899463728e-05,7.100000220816582e-05,8.099999831756577e-05,2148638,0.0,0.0
