TIMESTAMP,BTC_CLOSE_PRICE_USD,BTC_HIGH_PRICE_USD,BTC_LOW_PRICE_USD,BTC_OPEN_PRICE_USD,BTC_VOLUME_FROM_USD,BTC_VOLUME_TO_USD
2010-07-17,0.04951,0.04951,0.04951,0.04951,20.0,0.9902
2010-07-18,0.08584,0.08585,0.04951,0.04951,75.01,5.092
2010-07-19,0.0808,0.09307,0.07723,0.08584,574.0,49.66
2010-07-20,0.07474,0.08181,0.07426,0.0808,262.0,20.59
2010-07-21,0.07921,0.07921,0.06634,0.07474,575.0,42.26
2010-07-22,0.05842,0.08181,0.0505,0.07921,2160.0,129.78
2010-07-23,0.06262,0.06767,0.0505,0.05842,2402.5,141.07
2010-07-24,0.05454,0.06262,0.05049,0.06262,496.32,26.73
2010-07-25,0.0505,0.05941,0.0505,0.05454,1551.48,85.06
2010-07-26,0.056,0.056,0.05,0.0505,877.0,46.91
2010-07-27,0.06,0.0605,0.053,0.056,3373.69,196.92
2010-07-28,0.0589,0.062,0.054,0.06,4390.29,255.76
2010-07-29,0.0699,0.0699,0.0571,0.0589,8058.49,528.32
2010-07-30,0.0627,0.0699,0.0582,0.0699,3020.85,198.53
2010-07-31,0.06785,0.06889,0.056,0.0627,4022.25,243.9
2010-08-01,0.0611,0.06785,0.06,0.06785,2601.0,162.65
2010-08-02,0.0611,0.0633,0.06,0.0611,3599.0,221.2
2010-08-03,0.06,0.065,0.059,0.0611,9821.46,606.05
2010-08-04,0.057,0.06231,0.057,0.06,3494.0,210.77
2010-08-05,0.061,0.061,0.057,0.057,5034.07,303.61
2010-08-06,0.0623,0.0624,0.0607,0.061,1395.0,85.91
2010-08-07,0.059,0.0623,0.059,0.0623,2619.0,157.34
2010-08-08,0.0609,0.061,0.059,0.059,2201.0,132.6
2010-08-09,0.071,0.0735,0.0593,0.0609,13631.09,886.93
2010-08-10,0.07,0.071,0.06651,0.071,1310.39,88.87
2010-08-11,0.067,0.07541,0.06,0.07,14061.18,1015.64
2010-08-12,0.07,0.07,0.06141,0.067,2062.31,134.49
2010-08-13,0.0645,0.07,0.0645,0.07,3591.77,233.8
2010-08-14,0.067,0.0695,0.0645,0.0645,4404.2,295.31
2010-08-15,0.06529,0.067,0.065,0.067,4462.87,294.95
2010-08-16,0.0655,0.0679,0.062,0.06529,10731.47,696.8
2010-08-17,0.07,0.0769,0.06243,0.0655,13185.74,915.0
2010-08-18,0.068,0.0733,0.067,0.07,2953.98,203.83
2010-08-19,0.0667,0.068,0.0667,0.068,741.12,50.04
2010-08-20,0.0655,0.0667,0.065,0.0667,4199.75,276.41
2010-08-21,0.0664,0.0669,0.0644,0.0655,10443.86,688.51
2010-08-22,0.066,0.0664,0.0612,0.0664,18648.97,1183.64
2010-08-23,0.06491,0.06689,0.063,0.066,4297.49,281.88
2010-08-24,0.065,0.0665,0.06491,0.06491,6711.76,444.66
2010-08-25,0.0648,0.0665,0.0641,0.065,4228.88,278.86
2010-08-26,0.064,0.0658,0.064,0.0648,3870.01,251.56
2010-08-27,0.065,0.065,0.063,0.064,9009.97,583.71
2010-08-28,0.0646,0.065,0.0641,0.065,6174.01,399.45
2010-08-29,0.064,0.0648,0.064,0.0646,3173.4,204.88
2010-08-30,0.06497,0.069,0.03211,0.064,34193.14,2135.0
2010-08-31,0.06,0.06497,0.06,0.06497,14886.91,933.23
2010-09-01,0.0629,0.0629,0.05961,0.06,7164.72,436.73
2010-09-02,0.0634,0.0634,0.0601,0.0629,8150.73,498.98
2010-09-03,0.06085,0.0634,0.06085,0.0634,892.0,54.61
2010-09-04,0.06238,0.06238,0.06085,0.06085,3301.0,202.27
2010-09-05,0.06165,0.064,0.0605,0.06238,8459.24,527.97
2010-09-06,0.0616,0.0627,0.0616,0.06165,910.0,56.13
2010-09-07,0.06101,0.06201,0.0603,0.0616,3457.19,212.35
2010-09-08,0.062,0.062,0.06099,0.06101,2345.41,143.36
2010-09-09,0.06111,0.0624,0.06109,0.062,1733.5,107.68
2010-09-10,0.0618,0.0618,0.06014,0.06111,4939.79,301.8
2010-09-11,0.06366,0.065,0.0618,0.0618,7749.14,491.19
2010-09-12,0.0615,0.06366,0.0615,0.06366,793.88,48.99
2010-09-13,0.06219,0.064,0.0607,0.0615,10076.34,632.2
2010-09-14,0.06199,0.175,0.061,0.06219,14014.81,876.76
2010-09-15,0.0604,0.0625,0.0604,0.06199,3651.85,223.27
2010-09-16,0.0619,0.0619,0.0604,0.0604,730.0,45.17
2010-09-17,0.0601,0.0619,0.059,0.0619,7262.0,438.94
2010-09-18,0.061,0.061,0.05761,0.0601,7092.61,427.76
2010-09-19,0.0627,0.0627,0.06,0.061,12852.17,797.36
2010-09-20,0.0621,0.0634,0.062,0.0627,14307.94,891.19
2010-09-21,0.06265,0.0633,0.0621,0.0621,5735.95,359.82
2010-09-22,0.0622,0.06265,0.06147,0.06265,11560.4,717.33
2010-09-23,0.06231,0.063,0.0615,0.0622,15505.33,970.09
2010-09-24,0.0622,0.0624,0.06209,0.06231,684.38,42.66
2010-09-25,0.06202,0.0624,0.0617,0.0622,2152.5,133.05
2010-09-26,0.0622,0.06228,0.06186,0.06202,12058.13,748.2
2010-09-27,0.06221,0.06228,0.0619,0.0622,10752.25,668.53
2010-09-28,0.0619,0.06271,0.0617,0.06221,7086.15,439.05
2010-09-29,0.06191,0.062,0.0615,0.0619,23475.64,1450.79
2010-09-30,0.0619,0.06191,0.06155,0.06191,7917.03,488.15
2010-10-01,0.06197,0.062,0.06189,0.0619,1717.45,106.46
2010-10-02,0.0614,0.06197,0.06125,0.06197,13059.74,802.52
2010-10-03,0.06111,0.0614,0.061,0.0614,7172.63,439.88
2010-10-04,0.0613,0.062,0.06081,0.06111,33995.37,2079.89
2010-10-05,0.0614,0.06301,0.0609,0.0613,27526.61,1699.2
2010-10-06,0.06281,0.0635,0.0612,0.0614,33433.3,2091.28
2010-10-07,0.067,0.067,0.0628,0.06281,43692.98,2812.79
2010-10-08,0.08685,0.088,0.01,0.067,139287.29,10784.23
2010-10-09,0.0938,0.12,0.068,0.08685,187846.95,16104.87
2010-10-10,0.0965,0.1301,0.07999,0.0938,50684.19,4889.35
2010-10-11,0.095,0.103,0.091,0.0965,14092.91,1395.23
2010-10-12,0.0949,0.099,0.082,0.095,25660.75,2396.82
2010-10-13,0.105,0.105,0.092,0.0949,47557.27,4558.52
2010-10-14,0.102,0.105,0.065,0.105,37217.28,3701.65
2010-10-15,0.105,0.119,0.092,0.102,24643.33,2554.91
2010-10-16,0.101,0.105,0.1,0.105,6284.71,633.63
2010-10-17,0.102,0.1045,0.1,0.101,18222.19,1857.8
2010-10-18,0.1024,0.103,0.097,0.102,25665.09,2591.64
2010-10-19,0.097,0.1024,0.097,0.1024,6235.1,623.34
2010-10-20,0.099,0.103,0.094,0.097,31855.0,3221.08
2010-10-21,0.107,0.109,0.097,0.099,44867.0,4616.85
2010-10-22,0.109,0.109,0.1015,0.107,34603.91,3665.43
2010-10-23,0.1055,0.109,0.1045,0.109,4423.47,481.52
2010-10-24,0.115,0.19,0.1055,0.1055,13800.23,1560.61
2010-10-25,0.132,0.19,0.09009,0.115,30299.64,4450.0
2010-10-26,0.1503,0.18,0.132,0.132,19219.13,2995.09
2010-10-27,0.1877,0.19,0.1503,0.1503,65605.87,11594.02
2010-10-28,0.1731,0.191,0.1731,0.1877,21525.04,4009.67
2010-10-29,0.19,0.19,0.173,0.1731,28686.85,5380.49
2010-10-30,0.1989,0.199,0.1875,0.19,26708.94,5112.03
2010-10-31,0.1925,0.1989,0.171,0.1989,40337.76,7829.46
2010-11-01,0.1955,0.1955,0.172,0.1925,21258.61,4049.75
2010-11-02,0.1938,0.1955,0.1905,0.1955,5853.39,1121.34
2010-11-03,0.1931,0.275,0.125,0.1938,61472.63,11769.61
2010-11-04,0.23,0.236,0.1931,0.1931,29698.43,6229.16
2010-11-05,0.2639,0.2639,0.2101,0.23,36622.07,8757.15
2010-11-06,0.39,0.5,0.2402,0.2639,32756.13,9396.96
2010-11-07,0.34,0.47,0.286,0.39,77218.72,27937.74
2010-11-08,0.243,0.37,0.2261,0.34,118203.83,38339.26
2010-11-09,0.223,0.323,0.199,0.243,47983.39,12808.3
2010-11-10,0.24,0.24,0.14,0.223,30387.03,6110.13
2010-11-11,0.2231,0.24,0.21,0.24,5031.88,1111.55
2010-11-12,0.2682,0.29,0.223,0.2231,40720.39,10494.46
2010-11-13,0.276,0.3,0.2682,0.2682,21915.57,6351.58
2010-11-14,0.279,0.299,0.2702,0.276,16844.33,4793.81
2010-11-15,0.2682,0.2828,0.2682,0.279,8507.74,2337.5
2010-11-16,0.2251,0.275,0.223,0.2682,33931.01,8609.67
2010-11-17,0.24,0.29,0.2116,0.2251,32871.6,8662.61
2010-11-18,0.2678,0.283,0.2221,0.24,37446.67,10253.27
2010-11-19,0.28,0.28,0.2678,0.2678,2157.56,583.45
2010-11-20,0.283,0.29,0.2682,0.28,14652.69,4119.07
2010-11-21,0.2767,0.283,0.2763,0.283,765.0,212.67
2010-11-22,0.2879,0.2879,0.269,0.2767,28205.85,7818.64
2010-11-23,0.2829,0.2879,0.276,0.2879,4856.92,1361.82
2010-11-24,0.283,0.283,0.2761,0.2829,2514.91,710.24
2010-11-25,0.28,0.283,0.278,0.283,1679.6,469.99
2010-11-26,0.2844,0.289,0.2761,0.28,33531.88,9510.98
2010-11-27,0.283,0.2844,0.2826,0.2844,1825.39,515.9
2010-11-28,0.27,0.2846,0.27,0.283,20802.13,5746.3
2010-11-29,0.2299,0.279,0.2151,0.27,35055.4,8802.06
2010-11-30,0.2082,0.2299,0.204,0.2299,21476.25,4570.58
2010-12-01,0.2275,0.2299,0.2082,0.2082,8157.89,1752.72
2010-12-02,0.255,0.2553,0.218,0.2275,20312.23,4800.55
2010-12-03,0.251,0.2552,0.243,0.255,2570.34,633.78
2010-12-04,0.206,0.2589,0.205,0.251,28560.72,6673.4
2010-12-05,0.19,0.235,0.19,0.206,5740.18,1178.03
2010-12-06,0.204,0.225,0.1841,0.19,4319.26,863.02
