TIMESTAMP,FOXE_OPEN_PRICE_USD,FOXE_HIGH_PRICE_USD,FOXE_LOW_PRICE_USD,FOXE_CLOSE_PRICE_USD,FOXE_VOLUME_USD,FOXE_DIVIDENDS_USD,FOXE_STOCK_SPLITS_USD
2023-05-06 00:00:00+00:00,,,,0.0,17404474,0.0,0.0
2023-05-07 00:00:00+00:00,,,,0.0,2808769,0.0,0.0
2023-05-08 00:00:00+00:00,,,,0.0,367128,0.0,0.0
2023-05-09 00:00:00+00:00,,,,0.0,368708,0.0,0.0
2023-05-10 00:00:00+00:00,,,,0.0,110493,0.0,0.0
2023-05-11 00:00:00+00:00,,,,0.0,108227,0.0,0.0
2023-05-12 00:00:00+00:00,,,,0.0,39823,0.0,0.0
2023-05-13 00:00:00+00:00,,,,0.0,14894,0.0,0.0
2023-05-14 00:00:00+00:00,,,,0.0,10477,0.0,0.0
2023-05-15 00:00:00+00:00,,,,0.0,4263,0.0,0.0
2023-05-16 00:00:00+00:00,,,,0.0,5992,0.0,0.0
2023-05-17 00:00:00+00:00,,,,0.0,6209,0.0,0.0
2023-05-18 00:00:00+00:00,,,,0.0,5851,0.0,0.0
2023-05-19 00:00:00+00:00,,,,0.0,6511,0.0,0.0
2023-05-20 00:00:00+00:00,,,,0.0,8775,0.0,0.0
2023-05-21 00:00:00+00:00,,,,0.0,1445,0.0,0.0
2023-05-22 00:00:00+00:00,,,,0.0,18256,0.0,0.0
2023-05-23 00:00:00+00:00,,,,0.0,1500,0.0,0.0
2023-05-24 00:00:00+00:00,,,,0.0,3064,0.0,0.0
2023-05-25 00:00:00+00:00,,,,0.0,61979,0.0,0.0
2023-05-26 00:00:00+00:00,,,,0.0,129653,0.0,0.0
2023-05-27 00:00:00+00:00,,,,0.0,5567,0.0,0.0
2023-05-28 00:00:00+00:00,,,,0.0,6301,0.0,0.0
2023-05-29 00:00:00+00:00,,,,0.0,2038,0.0,0.0
2023-05-30 00:00:00+00:00,,,,0.0,45006,0.0,0.0
2023-05-31 00:00:00+00:00,,,,0.0,340,0.0,0.0
2023-06-01 00:00:00+00:00,,,,0.0,1250,0.0,0.0
2023-06-02 00:00:00+00:00,,,,0.0,250,0.0,0.0
2023-06-03 00:00:00+00:00,,,,0.0,2944,0.0,0.0
2023-06-04 00:00:00+00:00,,,,0.0,165,0.0,0.0
2023-06-05 00:00:00+00:00,,,,0.0,1358,0.0,0.0
2023-06-06 00:00:00+00:00,,,,0.0,1268,0.0,0.0
2023-06-07 00:00:00+00:00,,,,0.0,10,0.0,0.0
2023-06-08 00:00:00+00:00,,,,0.0,1222,0.0,0.0
2023-06-09 00:00:00+00:00,,,,0.0,239,0.0,0.0
2023-06-10 00:00:00+00:00,,,,0.0,28,0.0,0.0
2023-06-11 00:00:00+00:00,,,,0.0,65,0.0,0.0
2023-06-12 00:00:00+00:00,,,,0.0,315,0.0,0.0
2023-06-14 00:00:00+00:00,,,,0.0,1,0.0,0.0
2023-06-15 00:00:00+00:00,,,,0.0,3061,0.0,0.0
2023-06-16 00:00:00+00:00,,,,0.0,51,0.0,0.0
2023-06-17 00:00:00+00:00,,,,0.0,3242,0.0,0.0
2023-06-18 00:00:00+00:00,,,,0.0,492,0.0,0.0
2023-06-19 00:00:00+00:00,,,,0.0,4500,0.0,0.0
2023-06-22 00:00:00+00:00,,,,0.0,20,0.0,0.0
2023-06-23 00:00:00+00:00,,,,0.0,39,0.0,0.0
2023-06-24 00:00:00+00:00,,,,0.0,290,0.0,0.0
2023-06-26 00:00:00+00:00,,,,0.0,730,0.0,0.0
2023-06-27 00:00:00+00:00,,,,0.0,65,0.0,0.0
2023-06-28 00:00:00+00:00,,,,0.0,53,0.0,0.0
2023-06-30 00:00:00+00:00,,,,0.0,65,0.0,0.0
2023-07-02 00:00:00+00:00,,,,0.0,192,0.0,0.0
