TIMESTAMP,ROKO_OPEN_PRICE_USD,ROKO_HIGH_PRICE_USD,ROKO_LOW_PRICE_USD,ROKO_CLOSE_PRICE_USD,ROKO_VOLUME_USD,ROKO_DIVIDENDS_USD,ROKO_STOCK_SPLITS_USD
2023-03-14 00:00:00+00:00,1.9999999494757503e-05,4.5000000682193786e-05,1.4999999621068127e-05,1.700000029813964e-05,1895052,0.0,0.0
2023-03-15 00:00:00+00:00,1.700000029813964e-05,2.099999983329326e-05,1.2000000424450263e-05,1.5999999959603883e-05,796599,0.0,0.0
2023-03-16 00:00:00+00:00,1.5999999959603883e-05,1.8999999156221747e-05,9.999999747378752e-06,1.4999999621068127e-05,615396,0.0,0.0
2023-03-17 00:00:00+00:00,1.4999999621068127e-05,2.2000000171829015e-05,1.4000000192027073e-05,1.8000000636675395e-05,246686,0.0,0.0
2023-03-18 00:00:00+00:00,1.8000000636675395e-05,1.8999999156221747e-05,1.2000000424450263e-05,1.2999999853491317e-05,268484,0.0,0.0
2023-03-19 00:00:00+00:00,1.2999999853491317e-05,1.4999999621068127e-05,1.1000000085914508e-05,1.4000000192027073e-05,289035,0.0,0.0
2023-03-20 00:00:00+00:00,1.4000000192027073e-05,1.8000000636675395e-05,1.2999999853491317e-05,1.4000000192027073e-05,369004,0.0,0.0
2023-03-21 00:00:00+00:00,1.4000000192027073e-05,1.700000029813964e-05,1.1000000085914508e-05,1.1000000085914508e-05,591946,0.0,0.0
2023-03-22 00:00:00+00:00,1.1000000085914508e-05,1.2000000424450263e-05,9.000000318337698e-06,9.000000318337698e-06,352717,0.0,0.0
2023-03-23 00:00:00+00:00,9.000000318337698e-06,1.1000000085914508e-05,7.000000096013537e-06,9.999999747378752e-06,280851,0.0,0.0
2023-03-24 00:00:00+00:00,9.999999747378752e-06,1.2000000424450263e-05,7.999999979801942e-06,9.000000318337698e-06,178654,0.0,0.0
2023-03-25 00:00:00+00:00,9.000000318337698e-06,1.1000000085914508e-05,7.999999979801942e-06,9.000000318337698e-06,112275,0.0,0.0
2023-03-26 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,7.000000096013537e-06,7.999999979801942e-06,200349,0.0,0.0
2023-03-27 00:00:00+00:00,7.999999979801942e-06,9.000000318337698e-06,7.000000096013537e-06,9.000000318337698e-06,90233,0.0,0.0
2023-03-28 00:00:00+00:00,9.000000318337698e-06,1.2999999853491317e-05,4.999999873689376e-06,9.000000318337698e-06,336258,0.0,0.0
2023-03-29 00:00:00+00:00,9.000000318337698e-06,1.1000000085914508e-05,7.000000096013537e-06,9.000000318337698e-06,119829,0.0,0.0
2023-03-30 00:00:00+00:00,9.000000318337698e-06,1.5999999959603883e-05,7.999999979801942e-06,1.1000000085914508e-05,197656,0.0,0.0
2023-03-31 00:00:00+00:00,1.1000000085914508e-05,1.5999999959603883e-05,9.999999747378752e-06,1.2999999853491317e-05,193968,0.0,0.0
2023-04-01 00:00:00+00:00,1.2999999853491317e-05,1.9999999494757503e-05,1.2999999853491317e-05,1.8000000636675395e-05,197162,0.0,0.0
2023-04-02 00:00:00+00:00,1.5999999959603883e-05,2.499999936844688e-05,1.4999999621068127e-05,1.9999999494757503e-05,553562,0.0,0.0
2023-04-03 00:00:00+00:00,1.9999999494757503e-05,2.499999936844688e-05,1.5999999959603883e-05,2.099999983329326e-05,521956,0.0,0.0
