TIMESTAMP,EVMOS_OPEN_PRICE_USD,EVMOS_HIGH_PRICE_USD,EVMOS_LOW_PRICE_USD,EVMOS_CLOSE_PRICE_USD,EVMOS_VOLUME_USD,EVMOS_DIVIDENDS_USD,EVMOS_STOCK_SPLITS_USD
2022-05-04 00:00:00+00:00,3.779582977294922,4.563198089599609,3.615051031112671,4.163867950439453,343648,0.0,0.0
2022-05-05 00:00:00+00:00,4.163871765136719,4.489426136016846,3.571392059326172,3.8188350200653076,438130,0.0,0.0
2022-05-06 00:00:00+00:00,3.818842887878418,4.349400997161865,3.499907970428467,3.6709649562835693,216220,0.0,0.0
2022-05-07 00:00:00+00:00,3.670923948287964,4.247428894042969,3.5889389514923096,3.6836090087890625,126169,0.0,0.0
2022-05-08 00:00:00+00:00,3.683600902557373,3.6992149353027344,3.2594261169433594,3.389655113220215,72074,0.0,0.0
2022-05-09 00:00:00+00:00,3.389709949493408,3.431631088256836,2.9011669158935547,2.9455010890960693,90218,0.0,0.0
2022-05-10 00:00:00+00:00,2.945607900619507,3.1829380989074707,2.7505850791931152,2.774930953979492,96968,0.0,0.0
2022-05-11 00:00:00+00:00,2.774928092956543,2.831449031829834,1.6647469997406006,2.1389639377593994,255330,0.0,0.0
2022-05-12 00:00:00+00:00,2.138979911804199,2.252906084060669,1.2897109985351562,1.3165249824523926,512795,0.0,0.0
2022-05-13 00:00:00+00:00,1.3164160251617432,1.666882038116455,1.2992960214614868,1.66635000705719,299582,0.0,0.0
2022-05-14 00:00:00+00:00,1.6663559675216675,1.6666159629821777,1.3282649517059326,1.3975830078125,115479,0.0,0.0
2022-05-15 00:00:00+00:00,1.3975830078125,1.8399089574813843,1.3436349630355835,1.8172760009765625,136424,0.0,0.0
2022-05-16 00:00:00+00:00,1.817304015159607,2.1071510314941406,1.6199239492416382,1.7483320236206055,318103,0.0,0.0
2022-05-17 00:00:00+00:00,1.7483210563659668,1.870255947113037,1.6716500520706177,1.8251969814300537,64487,0.0,0.0
