TIMESTAMP,PEEPO_OPEN_PRICE_USD,PEEPO_HIGH_PRICE_USD,PEEPO_LOW_PRICE_USD,PEEPO_CLOSE_PRICE_USD,PEEPO_VOLUME_USD,PEEPO_DIVIDENDS_USD,PEEPO_STOCK_SPLITS_USD
2023-04-25 00:00:00+00:00,,,,0.0,1678294,0.0,0.0
2023-04-26 00:00:00+00:00,,,,0.0,5063004,0.0,0.0
2023-04-27 00:00:00+00:00,,,,0.0,1791255,0.0,0.0
2023-04-28 00:00:00+00:00,,,,0.0,1134021,0.0,0.0
2023-04-29 00:00:00+00:00,,,,0.0,864463,0.0,0.0
2023-04-30 00:00:00+00:00,,,,0.0,971178,0.0,0.0
2023-05-01 00:00:00+00:00,,,,0.0,588918,0.0,0.0
2023-05-02 00:00:00+00:00,,,,0.0,507740,0.0,0.0
2023-05-03 00:00:00+00:00,,,,0.0,872097,0.0,0.0
2023-05-04 00:00:00+00:00,,,,0.0,11705602,0.0,0.0
2023-05-05 00:00:00+00:00,,,,0.0,15753307,0.0,0.0
2023-05-06 00:00:00+00:00,,,,0.0,9492377,0.0,0.0
2023-05-07 00:00:00+00:00,,,,0.0,3871988,0.0,0.0
2023-05-08 00:00:00+00:00,,,,0.0,4780041,0.0,0.0
2023-05-09 00:00:00+00:00,,,,0.0,2491776,0.0,0.0
2023-05-10 00:00:00+00:00,,,,0.0,5252609,0.0,0.0
2023-05-11 00:00:00+00:00,,,,0.0,2359240,0.0,0.0
2023-05-12 00:00:00+00:00,,,,0.0,4195423,0.0,0.0
2023-05-13 00:00:00+00:00,,,,0.0,2631254,0.0,0.0
2023-05-14 00:00:00+00:00,,,,0.0,2211625,0.0,0.0
2023-05-15 00:00:00+00:00,,,,0.0,2347130,0.0,0.0
2023-05-16 00:00:00+00:00,,,,0.0,3052934,0.0,0.0
2023-05-17 00:00:00+00:00,,,,0.0,2622528,0.0,0.0
2023-05-18 00:00:00+00:00,,,,0.0,2202815,0.0,0.0
2023-05-19 00:00:00+00:00,,,,0.0,1637028,0.0,0.0
2023-05-20 00:00:00+00:00,,,,0.0,1588928,0.0,0.0
2023-05-21 00:00:00+00:00,,,,0.0,1081307,0.0,0.0
2023-05-22 00:00:00+00:00,,,,0.0,1066546,0.0,0.0
2023-05-23 00:00:00+00:00,,,,0.0,653474,0.0,0.0
2023-05-24 00:00:00+00:00,,,,0.0,832256,0.0,0.0
2023-05-25 00:00:00+00:00,,,,0.0,664120,0.0,0.0
2023-05-26 00:00:00+00:00,,,,0.0,638184,0.0,0.0
2023-05-27 00:00:00+00:00,,,,0.0,655747,0.0,0.0
2023-05-28 00:00:00+00:00,,,,0.0,518198,0.0,0.0
2023-05-29 00:00:00+00:00,,,,0.0,564255,0.0,0.0
2023-05-30 00:00:00+00:00,,,,0.0,496869,0.0,0.0
2023-05-31 00:00:00+00:00,,,,0.0,432416,0.0,0.0
2023-06-01 00:00:00+00:00,,,,0.0,475786,0.0,0.0
2023-06-02 00:00:00+00:00,,,,0.0,330242,0.0,0.0
2023-06-03 00:00:00+00:00,,,,0.0,332545,0.0,0.0
2023-06-04 00:00:00+00:00,,,,0.0,307108,0.0,0.0
2023-06-05 00:00:00+00:00,,,,0.0,321558,0.0,0.0
2023-06-06 00:00:00+00:00,,,,0.0,323733,0.0,0.0
2023-06-07 00:00:00+00:00,,,,0.0,229023,0.0,0.0
2023-06-08 00:00:00+00:00,,,,0.0,320821,0.0,0.0
2023-06-09 00:00:00+00:00,,,,0.0,480020,0.0,0.0
2023-06-10 00:00:00+00:00,,,,0.0,186112,0.0,0.0
