TIMESTAMP,XMR_GOOGLE_TRENDS_FULL_NAME_PER_BIC
2017-06-01,0.798
2017-06-02,0.761
2017-06-03,0.646
2017-06-04,0.691
2017-06-05,0.653
2017-06-06,0.921
2017-06-07,0.916
2017-06-08,0.824
2017-06-09,0.689
2017-06-10,0.779
2017-06-11,0.951
2017-06-12,0.989
2017-06-13,0.988
2017-06-14,0.803
2017-06-15,0.725
2017-06-16,0.777
2017-06-17,0.768
2017-06-18,0.81
2017-06-19,0.815
2017-06-20,0.753
2017-06-21,0.751
2017-06-22,0.788
2017-06-23,0.788
2017-06-24,0.786
2017-06-25,0.686
2017-06-26,0.741
2017-06-27,0.66
2017-06-28,0.745
2017-06-29,0.628
2017-06-30,0.732
2017-07-01,0.297
2017-07-02,0.441
2017-07-03,0.366
2017-07-04,0.401
2017-07-05,0.331
2017-07-06,0.463
2017-07-07,0.452
2017-07-08,0.377
2017-07-09,0.441
2017-07-10,0.452
2017-07-11,0.441
2017-07-12,0.355
2017-07-13,0.452
2017-07-14,0.366
2017-07-15,0.296
2017-07-16,0.296
2017-07-17,0.377
2017-07-18,0.487
2017-07-19,0.331
2017-07-20,0.452
2017-07-21,0.476
2017-07-22,0.377
2017-07-23,0.32
2017-07-24,0.452
2017-07-25,0.377
2017-07-26,0.476
2017-07-27,0.452
2017-07-28,0.377
2017-07-29,0.296
2017-07-30,0.355
2017-07-31,0.331
2017-08-01,0.385
2017-08-02,0.572
2017-08-03,0.543
2017-08-04,0.543
2017-08-05,0.398
2017-08-06,0.627
2017-08-07,0.585
2017-08-08,0.559
2017-08-09,0.585
2017-08-10,0.427
2017-08-11,0.398
2017-08-12,0.543
2017-08-13,0.572
2017-08-14,0.517
2017-08-15,0.44
2017-08-16,0.469
2017-08-17,0.427
2017-08-18,0.385
2017-08-19,0.469
2017-08-20,0.517
2017-08-21,1.626
2017-08-22,1.426
2017-08-23,1.372
2017-08-24,0.957
2017-08-25,1.199
2017-08-26,2.714
2017-08-27,1.799
2017-08-28,1.799
2017-08-29,1.571
2017-08-30,1.372
2017-08-31,1.185
2017-09-01,0.963
2017-09-02,1.091
2017-09-03,0.772
2017-09-04,0.96
2017-09-05,0.956
2017-09-06,0.774
2017-09-07,0.84
2017-09-08,0.854
2017-09-09,0.761
2017-09-10,0.693
2017-09-11,0.721
2017-09-12,0.711
2017-09-13,0.77
2017-09-14,0.803
2017-09-15,0.744
2017-09-16,0.708
2017-09-17,1.157
2017-09-18,1.316
2017-09-19,1.043
2017-09-20,0.774
2017-09-21,0.709
2017-09-22,0.693
2017-09-23,0.667
2017-09-24,0.619
2017-09-25,0.7
2017-09-26,0.822
2017-09-27,0.719
2017-09-28,0.776
2017-09-29,0.761
2017-09-30,0.713
2017-10-01,0.403
2017-10-02,0.459
2017-10-03,0.437
2017-10-04,0.431
2017-10-05,0.361
2017-10-06,0.403
2017-10-07,0.403
2017-10-08,0.423
2017-10-09,0.382
2017-10-10,0.431
2017-10-11,0.417
2017-10-12,0.437
2017-10-13,0.459
2017-10-14,0.451
2017-10-15,0.445
2017-10-16,0.51
