TIMESTAMP,VOPO_OPEN_PRICE_USD,VOPO_HIGH_PRICE_USD,VOPO_LOW_PRICE_USD,VOPO_CLOSE_PRICE_USD,VOPO_VOLUME_USD,VOPO_DIVIDENDS_USD,VOPO_STOCK_SPLITS_USD
2024-05-10 00:00:00+00:00,,,,0.0,47999,0.0,0.0
2024-05-11 00:00:00+00:00,,,,0.0,5306,0.0,0.0
2024-05-12 00:00:00+00:00,,,,0.0,28826,0.0,0.0
2024-05-13 00:00:00+00:00,,,,0.0,9443,0.0,0.0
2024-05-14 00:00:00+00:00,,,,0.0,6929,0.0,0.0
2024-05-15 00:00:00+00:00,,,,0.0,25447,0.0,0.0
2024-05-16 00:00:00+00:00,,,,0.0,78088,0.0,0.0
2024-05-17 00:00:00+00:00,,,,0.0,58403,0.0,0.0
2024-05-18 00:00:00+00:00,,,,0.0,16154,0.0,0.0
2024-05-19 00:00:00+00:00,,,,0.0,10478,0.0,0.0
2024-05-20 00:00:00+00:00,,,,0.0,18777,0.0,0.0
2024-05-21 00:00:00+00:00,,,,0.0,19976,0.0,0.0
2024-05-22 00:00:00+00:00,,,,0.0,15350,0.0,0.0
2024-05-23 00:00:00+00:00,,,,0.0,7620,0.0,0.0
2024-05-24 00:00:00+00:00,,,,0.0,31345,0.0,0.0
2024-05-25 00:00:00+00:00,,,,0.0,21176,0.0,0.0
2024-05-26 00:00:00+00:00,,,,0.0,65751,0.0,0.0
2024-05-27 00:00:00+00:00,,,,0.0,164321,0.0,0.0
2024-05-28 00:00:00+00:00,,,,0.0,653224,0.0,0.0
2024-05-29 00:00:00+00:00,,,,0.0,175079,0.0,0.0
2024-05-30 00:00:00+00:00,,,,0.0,88153,0.0,0.0
2024-05-31 00:00:00+00:00,,,,0.0,44793,0.0,0.0
2024-06-01 00:00:00+00:00,,,,0.0,65115,0.0,0.0
2024-06-02 00:00:00+00:00,,,,0.0,124777,0.0,0.0
2024-06-03 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,449947,0.0,0.0
