TIMESTAMP,COCORO36264_OPEN_PRICE_USD,COCORO36264_HIGH_PRICE_USD,COCORO36264_LOW_PRICE_USD,COCORO36264_CLOSE_PRICE_USD,COCORO36264_VOLUME_USD,COCORO36264_DIVIDENDS_USD,COCORO36264_STOCK_SPLITS_USD
2025-04-07 00:00:00+00:00,1.4999999621068127e-05,2.2000000171829015e-05,1.4000000192027073e-05,1.700000029813964e-05,180,0.0,0.0
2025-04-08 00:00:00+00:00,1.700000029813964e-05,1.700000029813964e-05,1.1000000085914508e-05,1.2999999853491317e-05,1556,0.0,0.0
2025-04-09 00:00:00+00:00,1.2999999853491317e-05,1.700000029813964e-05,9.999999747378752e-06,1.4000000192027073e-05,3559,0.0,0.0
2025-04-10 00:00:00+00:00,1.4000000192027073e-05,1.4999999621068127e-05,9.999999747378752e-06,1.2000000424450263e-05,502,0.0,0.0
2025-04-11 00:00:00+00:00,1.2000000424450263e-05,1.2999999853491317e-05,7.999999979801942e-06,9.000000318337698e-06,892,0.0,0.0
2025-04-12 00:00:00+00:00,9.000000318337698e-06,1.2000000424450263e-05,7.999999979801942e-06,9.999999747378752e-06,12,0.0,0.0
2025-04-13 00:00:00+00:00,9.999999747378752e-06,1.1000000085914508e-05,9.000000318337698e-06,9.000000318337698e-06,1598,0.0,0.0
2025-04-14 00:00:00+00:00,9.000000318337698e-06,1.700000029813964e-05,9.000000318337698e-06,1.5999999959603883e-05,302,0.0,0.0
2025-04-15 00:00:00+00:00,1.5999999959603883e-05,2.700000004551839e-05,1.4999999621068127e-05,2.4000000848900527e-05,1274084,0.0,0.0
2025-04-16 00:00:00+00:00,2.4000000848900527e-05,2.8000000384054147e-05,1.8999999156221747e-05,2.2000000171829015e-05,921461,0.0,0.0
2025-04-17 00:00:00+00:00,2.2000000171829015e-05,2.499999936844688e-05,1.8999999156221747e-05,2.099999983329326e-05,707109,0.0,0.0
2025-04-18 00:00:00+00:00,2.099999983329326e-05,2.300000051036477e-05,1.700000029813964e-05,1.8000000636675395e-05,438547,0.0,0.0
2025-04-19 00:00:00+00:00,1.8000000636675395e-05,2.2000000171829015e-05,1.700000029813964e-05,1.8999999156221747e-05,390204,0.0,0.0
2025-04-20 00:00:00+00:00,1.8999999156221747e-05,2.2000000171829015e-05,1.700000029813964e-05,1.9999999494757503e-05,265303,0.0,0.0
2025-04-21 00:00:00+00:00,1.9999999494757503e-05,2.4000000848900527e-05,1.8000000636675395e-05,1.8999999156221747e-05,389174,0.0,0.0
2025-04-22 00:00:00+00:00,1.8999999156221747e-05,1.9999999494757503e-05,1.5999999959603883e-05,1.8000000636675395e-05,473343,0.0,0.0
2025-04-23 00:00:00+00:00,1.8999999156221747e-05,2.5999999706982635e-05,1.700000029813964e-05,2.4000000848900527e-05,557721,0.0,0.0
2025-04-24 00:00:00+00:00,2.4000000848900527e-05,3.400000059627928e-05,1.8999999156221747e-05,2.9000000722589903e-05,920295,0.0,0.0
2025-04-25 00:00:00+00:00,2.9000000722589903e-05,3.600000127335079e-05,2.5999999706982635e-05,2.700000004551839e-05,754810,0.0,0.0
2025-04-26 00:00:00+00:00,2.700000004551839e-05,3.099999958067201e-05,2.499999936844688e-05,3.099999958067201e-05,513606,0.0,0.0
2025-04-27 00:00:00+00:00,3.099999958067201e-05,3.099999958067201e-05,2.4000000848900527e-05,2.700000004551839e-05,439938,0.0,0.0
2025-04-28 00:00:00+00:00,2.700000004551839e-05,3.300000025774352e-05,2.099999983329326e-05,3.099999958067201e-05,728697,0.0,0.0
2025-04-29 00:00:00+00:00,3.099999958067201e-05,3.199999991920777e-05,2.499999936844688e-05,2.700000004551839e-05,425215,0.0,0.0
2025-04-30 00:00:00+00:00,2.700000004551839e-05,2.8000000384054147e-05,2.2000000171829015e-05,2.499999936844688e-05,659518,0.0,0.0
2025-05-01 00:00:00+00:00,2.499999936844688e-05,2.5999999706982635e-05,1.9999999494757503e-05,2.099999983329326e-05,472260,0.0,0.0
2025-05-02 00:00:00+00:00,2.099999983329326e-05,3.5000000934815034e-05,1.9999999494757503e-05,2.9999999242136255e-05,816016,0.0,0.0
2025-05-03 00:00:00+00:00,2.9999999242136255e-05,4.5000000682193786e-05,2.5999999706982635e-05,3.899999865097925e-05,1903895,0.0,0.0
2025-05-04 00:00:00+00:00,3.899999865097925e-05,4.5000000682193786e-05,3.300000025774352e-05,3.600000127335079e-05,1004580,0.0,0.0
2025-05-05 00:00:00+00:00,3.600000127335079e-05,4.3000000005122274e-05,3.400000059627928e-05,3.7999998312443495e-05,511414,0.0,0.0
2025-05-06 00:00:00+00:00,3.7999998312443495e-05,4.099999932805076e-05,3.300000025774352e-05,3.400000059627928e-05,357432,0.0,0.0
2025-05-07 00:00:00+00:00,3.400000059627928e-05,3.9999998989515007e-05,3.300000025774352e-05,3.7999998312443495e-05,440828,0.0,0.0
2025-05-08 00:00:00+00:00,3.7999998312443495e-05,4.199999966658652e-05,3.400000059627928e-05,3.7999998312443495e-05,678357,0.0,0.0
2025-05-09 00:00:00+00:00,3.7999998312443495e-05,4.3000000005122274e-05,3.199999991920777e-05,3.5000000934815034e-05,871629,0.0,0.0
2025-05-10 00:00:00+00:00,3.5000000934815034e-05,3.600000127335079e-05,2.499999936844688e-05,3.099999958067201e-05,1504399,0.0,0.0
2025-05-11 00:00:00+00:00,3.099999958067201e-05,3.300000025774352e-05,1.9999999494757503e-05,2.300000051036477e-05,2174905,0.0,0.0
2025-05-12 00:00:00+00:00,2.300000051036477e-05,2.499999936844688e-05,1.8999999156221747e-05,2.4000000848900527e-05,1342580,0.0,0.0
2025-05-13 00:00:00+00:00,2.4000000848900527e-05,4.5000000682193786e-05,1.700000029813964e-05,3.300000025774352e-05,2395831,0.0,0.0
2025-05-14 00:00:00+00:00,3.300000025774352e-05,3.9999998989515007e-05,2.700000004551839e-05,2.9999999242136255e-05,1251793,0.0,0.0
2025-05-15 00:00:00+00:00,2.9999999242136255e-05,3.199999991920777e-05,2.499999936844688e-05,2.700000004551839e-05,683368,0.0,0.0
2025-05-16 00:00:00+00:00,2.700000004551839e-05,4.400000034365803e-05,2.499999936844688e-05,3.600000127335079e-05,1773850,0.0,0.0
2025-05-17 00:00:00+00:00,3.600000127335079e-05,3.7999998312443495e-05,2.9000000722589903e-05,3.199999991920777e-05,627332,0.0,0.0
