,ETH,Lag
WYZ,3.860360292208492e-12,30
TAJ,1.1276683296455697e-07,23
XRP,3.099288315468588e-07,10
SC,6.182056826270037e-07,28
INF,1.4229130658103018e-06,1
ZET,3.341052076369761e-06,28
XWC,7.1654399105742165e-06,20
COOL,1.0717662252111949e-05,22
KOBO,1.2714527337867482e-05,13
UNIT,1.3657411599230608e-05,15
IMS,2.209837850784072e-05,22
EUC,2.435135185380469e-05,4
SWING,2.5515317997545948e-05,28
PXI,4.954721373571603e-05,26
PPC,5.890288450169666e-05,22
BTC,6.972613272905626e-05,28
XMS,7.272793516333294e-05,25
ACES,8.066379766990296e-05,28
XEM,8.632990876661167e-05,4
BCN,0.0001123738766427,7
GRS,0.0001386866252251,28
VIDZ,0.0001416240933824,25
CETI,0.0002592236331248,19
ZEN,0.0002876289341705,27
CJ,0.0003038074314669,13
XHI,0.0003246685885882,24
SKULL,0.0004059576689068,7
QBC,0.0004517527745507,1
VLT,0.0005052802067955,30
ETC,0.0005598038033432,29
ZCL,0.0005772746328717,30
MOTO,0.0005796304693557,15
EVIL,0.0006805826042568,23
ARK,0.0007978381194256,1
RBT,0.0008435366400054,26
OPAL,0.0008461485029915,29
NMC,0.0011382917268582,4
ENT,0.0011553829926876,25
WBB,0.0011597582566212,29
FIRO,0.0012270224637942,14
XTO,0.0014867059764274,8
GAS,0.001550002204042,4
VEC2,0.001589725758945,24
FOREX,0.0016940715435756,17
PIVX,0.0025539860733779,1
SPR,0.0027704693268195,6
CAB,0.0027906668869925,30
HBD,0.0029712876194918,29
LTCR,0.0031520124191886,26
GBYTE,0.0033093352460719,22
USDT,0.0035348395894175,1
IRL,0.0036624504113739,27
DEM,0.0048721443655184,26
IBANK,0.0053503162907764,6
TRST,0.0062527121548957,26
DCR,0.00703230161139,21
ZUR,0.0074071520832189,30
MST,0.007619397246496,2
TAB,0.0080643342236853,2
MONA,0.0087909617710335,7
CKC,0.0092341126910599,30
WAVES,0.0093573678231688,28
POST,0.0111110774296918,10
DOGE,0.0116323398243918,26
2GIVE,0.0122888352908463,27
LSK,0.0123630910916853,10
QTUM,0.0124004084282469,27
OZO,0.0126234054928719,1
ACOIN,0.0130549356373213,2
XPY,0.0149766879005728,3
GNO,0.0150671920124713,19
XDN,0.0172046454466771,24
FRN,0.0184812946127919,29
BTB,0.0185822294946606,13
SILK,0.0208050933645852,3
ICON,0.021636185889686,18
BLK,0.0216940030619917,24
PXC,0.023091777189932,25
SYS,0.0237563812251325,16
IOTA,0.0255477055919207,6
KURT,0.0259581202546388,29
NXS,0.0260736145033365,24
KMD,0.0274410428953428,7
IFC,0.0285791672653727,30
PLU,0.0290633276028069,18
NEWB,0.0298800465955793,22
START,0.0319583698947837,30
C2,0.0322863034997848,28
CYT,0.0324488517576248,1
CARBON,0.0324856334576399,26
PZM,0.0331006532213479,4
AV,0.0374750301245695,28
RRT,0.0380294729796926,3
BS,0.03861821971984,16
BTS,0.0403741497351306,21
AGRS,0.0465292241862955,29
LAMB,0.0466259928908175,6
DGB,0.0469476724541144,30
NETKO,0.0474697605808628,30
QTZ,0.0509043728328087,1
BERN,0.0589059295925474,15
SXC,0.0590310698769341,30
BLAZR,0.0607917356835543,3
ADZ,0.0641332120449653,18
AMBER,0.0652379811918778,2
XPM,0.0660585843145919,15
ARGUS,0.0687204389477362,9
XMR,0.072378625158019,30
LTC,0.0734657591932542,28
BTCS,0.0801410709751992,1
KIN,0.0806817013689678,10
CREVA,0.0831858279425655,10
WGR,0.0835892000163752,2
EQB,0.0864633522741822,4
SNRG,0.0867298251502102,10
NOBL,0.0888546779887303,26
ADC,0.0909781306310695,4
BCDN,0.0930384164051664,6
RBIES,0.0977976436300129,6
ZOOM,0.1023409013411737,1
EFL,0.1050548229723221,6
NXT,0.1109825288079043,1
LMC,0.1157537557246369,21
MAY,0.1204758900832151,8
XBY,0.1230449515557233,1
ZYD,0.1232809331978977,1
HVCO,0.1249321055680321,5
SKR,0.1256163502192237,5
42,0.1327220419824177,1
CSC,0.1339420472979891,27
AMS,0.1358848241338276,29
JLP,0.1362020982506798,28
MAID,0.1437223461902035,10
GLC,0.1438633172021088,24
CF,0.1453999733309568,2
ZER,0.1466336769065342,23
VAL,0.1482717240889889,2
XST,0.1513600404863204,30
XLM,0.1515142110052056,9
HUSH,0.1539267341807448,3
NAV,0.156217668277879,1
LUNC,0.1627682833749111,30
DCY,0.1709270911842194,2
XPX,0.1716168487055464,1
BLU,0.1753198971594353,1
ZEC,0.1785205914176726,1
STEEM,0.1815408776324076,29
CLAM,0.1816247476380402,2
WINGS,0.1885330149893706,1
PIE,0.1903155307343709,1
AE,0.1907301287782137,5
DASH,0.1962279274437722,21
BOLI,0.1974066808909655,1
RLC,0.200527464060747,16
PUT,0.2043173883529472,2
TECH,0.2275969434229293,9
MNTC,0.2338399211120777,1
BAT,0.2460543684649226,30
FRC,0.253152229167517,11
RBY,0.255070493809722,1
ZENI,0.2555862308593444,5
SWT,0.2588186844104345,21
LUN,0.263420785134304,3
FTC,0.2728361469857192,1
SANDG,0.2902556226333594,1
NVC,0.2954083947814678,16
XCP,0.3133816907046549,29
MCN,0.3195166057361389,1
SIB,0.3223110283072399,5
BRIT,0.3466452276157151,3
VTC,0.3472590060023547,29
LOG,0.3551072645466413,29
LDOGE,0.3564438573821408,12
POT,0.3646775067215443,1
VERI,0.3681914445448125,3
LOOK,0.3727924997890386,1
CLUB,0.3762100219879043,30
ILC,0.3827795273333023,1
DCT,0.3920545757448594,16
BSTY,0.3988306552835234,7
AXIOM,0.4055387392650192,3
PKB,0.4083278611877757,1
XBC,0.4196360194722442,1
SLS,0.4211501825124366,30
XPTX,0.4232136841782389,11
XQN,0.4291845932923281,5
OK,0.4392734581753825,25
ANT,0.4521368003194457,1
EDRC,0.4550952564392583,18
BTA,0.4680008576932273,2
DGC,0.4702534974285507,29
PHR,0.4722246044670491,1
NEVA,0.4758155504596508,2
ALIAS,0.4778162405367087,6
LBC,0.4837789299252465,2
ICOB,0.4906079570004628,4
WC,0.5028307929746656,7
CNT,0.534373219437303,1
HNC,0.5470812468489465,4
BITS,0.5586289776575812,1
HMQ,0.5661944989336221,1
HBN,0.5974104308400768,2
CRW,0.6084525291821978,1
RDD,0.6244507348687456,1
BIS,0.6293738895144116,2
SWIFT,0.6307866879720601,6
LANA,0.6408506648136219,2
IXC,0.6474473218048997,15
SONG,0.6640805056453558,2
CANN,0.6652925253058586,4
SIGNA,0.6782909046683301,1
PAK,0.6920264139083211,22
TES,0.7390628781343556,3
PASC,0.7392894316645109,20
CLOAK,0.7410328663363788,1
PTOY,0.7846546697561325,4
GCC,0.8702839688827715,2
