,ETH
EVIL,0.003996198387574286
SKULL,0.0047827651317574
XRP,0.005418507782785007
XEM,0.007241635049278658
BCN,0.009684903624740481
TAJ,0.009854730692045375
KOBO,0.010485532255102032
GAS,0.01087670069887717
SWING,0.01136538069908325
ZCL,0.01459939000355483
ACES,0.01855817926067067
PPC,0.02216990084304828
VIDZ,0.025663623762486494
UNIT,0.028222703014244354
PXI,0.029499377376151666
TRST,0.030359110351148848
EUC,0.03109634388514273
OPAL,0.031393655703446974
ZET,0.04207269597456978
ARK,0.04317686730866135
IMS,0.04564550961216153
PIVX,0.04591040386751392
FIRO,0.04868717600868316
ZEN,0.04956051449688583
INF,0.05133576446209756
RBT,0.05170235066185294
USDT,0.05203990108908699
GBYTE,0.05616274643847336
QBC,0.05688040736222156
XMS,0.05916043519490221
IBANK,0.05990865217870336
ETC,0.06153681239815764
XWC,0.06568816159900344
NMC,0.07176095975094905
BTC,0.0744805939312923
HBD,0.07670572602572973
XTO,0.07691451228504546
SPR,0.07743849447640268
MONA,0.08532802255774304
DOGE,0.08644436283758966
CETI,0.08876198335619036
CJ,0.08881460498513964
SC,0.10172279274586721
BTB,0.10296612229012878
POST,0.10361436260590068
KMD,0.10950164681847367
LSK,0.11012241580395957
FOREX,0.12570018651432954
NEWB,0.13207962650125263
COOL,0.13741780300108328
VEC2,0.13744784634194893
KURT,0.13876682673225726
BTS,0.13971892488516316
MOTO,0.14050416734797358
XHI,0.14139699377311865
ENT,0.1426139895078981
SYS,0.14512526257056144
IOTA,0.14720556930080914
VLT,0.14823626188137495
DCR,0.15485900644858613
DEM,0.15814978543123057
BS,0.1610346285125014
OZO,0.1699206684345126
2GIVE,0.17059081453562944
IRL,0.17181720659877608
LTCR,0.17684098442656318
BLK,0.17708680264769563
PZM,0.178222304974421
NXS,0.17982896055057035
AV,0.18145272576645313
ICON,0.181535450441552
NETKO,0.1824444291346982
PXC,0.18360357959945484
XDN,0.1905037805369635
XPY,0.1949700840350146
PLU,0.19788304893687045
IFC,0.20509803927783649
GNO,0.21242051466219974
TAB,0.21990587021072777
CAB,0.22659096000945964
LAMB,0.2282959753303514
CREVA,0.23353029872713746
ACOIN,0.24362339683747472
WYZ,0.24468132795535258
START,0.24885617558776982
FRN,0.2546460841121046
C2,0.2565587426018731
CYT,0.25666300380319046
KIN,0.2709752388717813
WAVES,0.27245474986061136
BCDN,0.2735108850996515
CARBON,0.2775191505789012
XMR,0.2834970420617522
GRS,0.28798220346952574
ZUR,0.2891387185105955
ADZ,0.29196223343769423
AGRS,0.30584678847686747
WGR,0.30850852394737716
QTUM,0.3131516619059873
SNRG,0.315226596396954
BTCS,0.3161881107006812
MAID,0.32727121376912316
MST,0.3319680423841221
EFL,0.3321980301831295
CSC,0.3359719463288301
XPM,0.34232769276086905
ZOOM,0.34599663993814256
ARGUS,0.34824523596792745
LTC,0.35047673472926166
BERN,0.3527002536236994
SXC,0.356456215526596
QTZ,0.35974377224308307
WBB,0.36399860648947885
ZER,0.3772189576093798
JLP,0.38116935259323803
AE,0.3920437892832778
SILK,0.39541398648706233
TECH,0.40218634266401837
SKR,0.4025947091699155
LUNC,0.40632196014801847
RRT,0.4155930107114498
MAY,0.4245433753836917
XLM,0.4298645456193103
ZYD,0.4309621761443118
DCY,0.44065787267434625
AMBER,0.44188586291756576
DGB,0.44447222793927893
ADC,0.44983772767823876
AMS,0.4672981600961255
RLC,0.4728853953394958
HVCO,0.48199590939301334
RBIES,0.48561357207515127
GLC,0.4877198188578692
PUT,0.4962562238059443
LMC,0.502317017237442
STEEM,0.5095337449110422
VAL,0.5180100607035488
DASH,0.5215196456372156
XCP,0.5252753826603784
BLAZR,0.5336349684654493
42,0.5368016053862554
EQB,0.5412998064848495
CF,0.558729772899135
XBY,0.5635011435374753
NAV,0.574044259884681
BAT,0.5748637222011137
NVC,0.5895989904227825
BOLI,0.5912598743892657
LUN,0.5929872192988973
WINGS,0.595583713061825
DCT,0.5975972728047574
FRC,0.607461197947575
MCN,0.6091864271222431
ZENI,0.6117220942811543
XPX,0.6126790108978784
ANT,0.6199210791664895
NOBL,0.6323110570312706
SWT,0.6371730328931896
XPTX,0.6414317558250209
BLU,0.6445801321724002
ZEC,0.6451619651458025
CKC,0.6481967417476854
PIE,0.6530191858585778
VTC,0.6599551862331071
CLAM,0.6731988321962735
HUSH,0.676423914286138
SLS,0.7080201587598876
XQN,0.7151915203569613
VERI,0.717188318608743
CLUB,0.7339660723516359
LOG,0.7358190301213534
BSTY,0.750721461083414
RBY,0.7546288425111219
LDOGE,0.7559742922221044
PKB,0.7628539855137828
ICOB,0.7662467661738074
BITS,0.767721423798557
LBC,0.7701141584316371
LOOK,0.7799190412827335
EDRC,0.7818445039778922
POT,0.7822734316710169
AXIOM,0.7843163484153969
XBC,0.7866008605887126
NXT,0.8017772253841516
ALIAS,0.8060238310174551
SIB,0.8092444609102272
OK,0.8123488811585151
IXC,0.8328226721764497
WC,0.8348095258963927
FTC,0.8448138668501031
XST,0.8527497966941355
SANDG,0.853225253053829
ILC,0.8558289931062683
HBN,0.8614306369900843
CRW,0.8636346343864599
BRIT,0.8645081127620019
NEVA,0.8702507333585249
SWIFT,0.8711032934877941
PAK,0.8767017581755441
MNTC,0.8809034545682234
PASC,0.8902210905678156
DGC,0.8936421749032366
SIGNA,0.8936789817555881
PHR,0.8941542317511203
BIS,0.8963812167616017
TES,0.8971457260681154
BTA,0.901552470589148
CANN,0.9074199459847372
RDD,0.9143424272350755
LANA,0.9361299952535707
HMQ,0.938109937910765
HNC,0.9465473979689694
PTOY,0.9495319704614658
SONG,0.962986549764271
CNT,0.9632138496708663
CLOAK,0.978247935392229
GCC,0.9826945848154194
