TIMESTAMP,ADOGE_OPEN_PRICE_USD,ADOGE_HIGH_PRICE_USD,ADOGE_LOW_PRICE_USD,ADOGE_CLOSE_PRICE_USD,ADOGE_VOLUME_USD,ADOGE_DIVIDENDS_USD,ADOGE_STOCK_SPLITS_USD
2021-12-30 00:00:00+00:00,,,,0.0,2607,0.0,0.0
2021-12-31 00:00:00+00:00,,,,0.0,2627,0.0,0.0
2022-01-01 00:00:00+00:00,,,,0.0,3507,0.0,0.0
2022-01-02 00:00:00+00:00,,,,0.0,2756,0.0,0.0
2022-01-03 00:00:00+00:00,,,,0.0,6347,0.0,0.0
2022-01-04 00:00:00+00:00,,,,0.0,794,0.0,0.0
2022-01-05 00:00:00+00:00,,,,0.0,3907,0.0,0.0
2022-01-06 00:00:00+00:00,,,,0.0,1160,0.0,0.0
2022-01-07 00:00:00+00:00,,,,0.0,3492,0.0,0.0
2022-01-08 00:00:00+00:00,,,,0.0,877,0.0,0.0
2022-01-10 00:00:00+00:00,,,,0.0,92,0.0,0.0
2022-01-11 00:00:00+00:00,,,,0.0,41,0.0,0.0
2022-01-12 00:00:00+00:00,,,,0.0,1117,0.0,0.0
2022-01-13 00:00:00+00:00,,,,0.0,977,0.0,0.0
2022-01-14 00:00:00+00:00,,,,0.0,1065,0.0,0.0
2022-01-15 00:00:00+00:00,,,,0.0,2857,0.0,0.0
2022-01-16 00:00:00+00:00,,,,0.0,17640,0.0,0.0
2022-01-17 00:00:00+00:00,,,,0.0,2861,0.0,0.0
2022-01-18 00:00:00+00:00,,,,0.0,507,0.0,0.0
2022-01-19 00:00:00+00:00,,,,0.0,266,0.0,0.0
2022-01-20 00:00:00+00:00,,,,0.0,2017,0.0,0.0
2022-01-21 00:00:00+00:00,,,,0.0,65,0.0,0.0
2022-01-22 00:00:00+00:00,,,,0.0,1455,0.0,0.0
2022-01-23 00:00:00+00:00,,,,0.0,388,0.0,0.0
2022-01-24 00:00:00+00:00,,,,0.0,2140,0.0,0.0
2022-01-25 00:00:00+00:00,,,,0.0,1734,0.0,0.0
2022-01-26 00:00:00+00:00,,,,0.0,2574,0.0,0.0
2022-01-27 00:00:00+00:00,,,,0.0,685,0.0,0.0
2022-01-28 00:00:00+00:00,,,,0.0,48,0.0,0.0
2022-01-29 00:00:00+00:00,,,,0.0,25,0.0,0.0
2022-01-30 00:00:00+00:00,,,,0.0,886,0.0,0.0
2022-01-31 00:00:00+00:00,,,,0.0,2567,0.0,0.0
2022-02-01 00:00:00+00:00,,,,0.0,4795,0.0,0.0
2022-02-02 00:00:00+00:00,,,,0.0,402,0.0,0.0
2022-02-03 00:00:00+00:00,,,,0.0,29,0.0,0.0
2022-02-04 00:00:00+00:00,,,,0.0,643,0.0,0.0
2022-02-05 00:00:00+00:00,,,,0.0,558,0.0,0.0
2022-02-06 00:00:00+00:00,,,,0.0,1438,0.0,0.0
2022-02-07 00:00:00+00:00,,,,0.0,4234,0.0,0.0
2022-02-08 00:00:00+00:00,,,,0.0,767,0.0,0.0
2022-02-09 00:00:00+00:00,,,,0.0,323,0.0,0.0
2022-02-10 00:00:00+00:00,,,,0.0,1154,0.0,0.0
2022-02-11 00:00:00+00:00,,,,0.0,2631,0.0,0.0
2022-02-12 00:00:00+00:00,,,,0.0,294,0.0,0.0
2022-02-13 00:00:00+00:00,,,,0.0,483,0.0,0.0
2022-02-15 00:00:00+00:00,,,,0.0,576,0.0,0.0
2022-02-16 00:00:00+00:00,,,,0.0,82,0.0,0.0
2022-02-17 00:00:00+00:00,,,,0.0,4,0.0,0.0
2022-02-18 00:00:00+00:00,,,,0.0,15,0.0,0.0
2022-02-19 00:00:00+00:00,,,,0.0,451,0.0,0.0
2022-02-21 00:00:00+00:00,,,,0.0,23,0.0,0.0
2022-02-22 00:00:00+00:00,,,,0.0,1916,0.0,0.0
2022-02-24 00:00:00+00:00,,,,0.0,2066,0.0,0.0
2022-02-25 00:00:00+00:00,,,,0.0,59,0.0,0.0
2022-02-26 00:00:00+00:00,,,,0.0,49,0.0,0.0
2022-03-02 00:00:00+00:00,,,,0.0,366,0.0,0.0
2022-03-03 00:00:00+00:00,,,,0.0,150,0.0,0.0
2022-03-04 00:00:00+00:00,,,,0.0,134,0.0,0.0
2022-03-05 00:00:00+00:00,,,,0.0,44,0.0,0.0
2022-03-06 00:00:00+00:00,,,,0.0,135,0.0,0.0
2022-03-07 00:00:00+00:00,,,,0.0,2324,0.0,0.0
2022-03-08 00:00:00+00:00,,,,0.0,6569,0.0,0.0
2022-03-13 00:00:00+00:00,,,,0.0,28,0.0,0.0
2022-03-14 00:00:00+00:00,,,,0.0,256,0.0,0.0
2022-03-15 00:00:00+00:00,,,,0.0,74,0.0,0.0
2022-03-16 00:00:00+00:00,,,,0.0,905,0.0,0.0
2022-03-17 00:00:00+00:00,,,,0.0,1405,0.0,0.0
2022-03-19 00:00:00+00:00,,,,0.0,79,0.0,0.0
2022-03-20 00:00:00+00:00,,,,0.0,300,0.0,0.0
2022-03-21 00:00:00+00:00,,,,0.0,289,0.0,0.0
2022-03-22 00:00:00+00:00,,,,0.0,40,0.0,0.0
2022-03-24 00:00:00+00:00,,,,0.0,585,0.0,0.0
2022-03-25 00:00:00+00:00,,,,0.0,287,0.0,0.0
2022-03-26 00:00:00+00:00,,,,0.0,3,0.0,0.0
2022-03-27 00:00:00+00:00,,,,0.0,92,0.0,0.0
2022-03-28 00:00:00+00:00,,,,0.0,190,0.0,0.0
2022-03-29 00:00:00+00:00,,,,0.0,205,0.0,0.0
2022-03-30 00:00:00+00:00,,,,0.0,196,0.0,0.0
