TIMESTAMP,FIFA36523_OPEN_PRICE_USD,FIFA36523_HIGH_PRICE_USD,FIFA36523_LOW_PRICE_USD,FIFA36523_CLOSE_PRICE_USD,FIFA36523_VOLUME_USD,FIFA36523_DIVIDENDS_USD,FIFA36523_STOCK_SPLITS_USD
2025-05-16 00:00:00+00:00,,,,0.0,458077,0.0,0.0
2025-05-17 00:00:00+00:00,,,,0.0,4145,0.0,0.0
2025-05-18 00:00:00+00:00,,,,0.0,5373,0.0,0.0
2025-05-19 00:00:00+00:00,,,,0.0,3144,0.0,0.0
2025-05-20 00:00:00+00:00,,,,0.0,242799,0.0,0.0
2025-05-21 00:00:00+00:00,,,,0.0,516,0.0,0.0
2025-05-25 00:00:00+00:00,,,,0.0,681,0.0,0.0
2025-05-26 00:00:00+00:00,,,,0.0,328,0.0,0.0
2025-05-27 00:00:00+00:00,,,,0.0,2729,0.0,0.0
2025-06-01 00:00:00+00:00,6.50194138529514e-08,6.50194138529514e-08,5.7900262362409194e-08,5.7900262362409194e-08,1856,0.0,0.0
