TIMESTAMP,BABYELON_OPEN_PRICE_USD,BABYELON_HIGH_PRICE_USD,BABYELON_LOW_PRICE_USD,BABYELON_CLOSE_PRICE_USD,BABYELON_VOLUME_USD,BABYELON_DIVIDENDS_USD,BABYELON_STOCK_SPLITS_USD
2024-01-09 00:00:00+00:00,,,,0.0,719143,0.0,0.0
2024-01-10 00:00:00+00:00,,,,0.0,2733163,0.0,0.0
2024-01-11 00:00:00+00:00,,,,0.0,2176552,0.0,0.0
2024-01-12 00:00:00+00:00,,,,0.0,1505020,0.0,0.0
2024-01-13 00:00:00+00:00,,,,0.0,2671967,0.0,0.0
2024-01-14 00:00:00+00:00,,,,0.0,3499318,0.0,0.0
2024-01-15 00:00:00+00:00,,,,0.0,3032418,0.0,0.0
2024-01-16 00:00:00+00:00,,,,0.0,8544188,0.0,0.0
2024-01-17 00:00:00+00:00,,,,0.0,5202693,0.0,0.0
2024-01-18 00:00:00+00:00,,,,0.0,5371472,0.0,0.0
2024-01-19 00:00:00+00:00,,,,0.0,5467729,0.0,0.0
2024-01-20 00:00:00+00:00,,,,0.0,4435033,0.0,0.0
2024-01-21 00:00:00+00:00,,,,0.0,3976452,0.0,0.0
2024-01-22 00:00:00+00:00,,,,0.0,3224573,0.0,0.0
2024-01-23 00:00:00+00:00,,,,0.0,4130581,0.0,0.0
2024-01-24 00:00:00+00:00,,,,0.0,3229070,0.0,0.0
2024-01-25 00:00:00+00:00,,,,0.0,1497040,0.0,0.0
2024-01-26 00:00:00+00:00,,,,0.0,1836512,0.0,0.0
2024-01-27 00:00:00+00:00,,,,0.0,1768044,0.0,0.0
2024-01-28 00:00:00+00:00,,,,0.0,1624029,0.0,0.0
2024-01-29 00:00:00+00:00,,,,0.0,2807119,0.0,0.0
2024-01-30 00:00:00+00:00,,,,0.0,2310460,0.0,0.0
2024-01-31 00:00:00+00:00,,,,0.0,1861106,0.0,0.0
2024-02-01 00:00:00+00:00,,,,0.0,1309533,0.0,0.0
2024-02-02 00:00:00+00:00,,,,0.0,1193960,0.0,0.0
2024-02-03 00:00:00+00:00,,,,0.0,282079,0.0,0.0
2024-02-04 00:00:00+00:00,,,,0.0,297520,0.0,0.0
2024-02-05 00:00:00+00:00,,,,0.0,235087,0.0,0.0
2024-02-06 00:00:00+00:00,,,,0.0,201926,0.0,0.0
2024-02-07 00:00:00+00:00,,,,0.0,245710,0.0,0.0
2024-02-08 00:00:00+00:00,,,,0.0,190621,0.0,0.0
2024-02-09 00:00:00+00:00,,,,0.0,150329,0.0,0.0
2024-02-10 00:00:00+00:00,,,,0.0,201666,0.0,0.0
2024-02-11 00:00:00+00:00,,,,0.0,305008,0.0,0.0
2024-02-12 00:00:00+00:00,,,,0.0,314335,0.0,0.0
2024-02-13 00:00:00+00:00,,,,0.0,131706,0.0,0.0
2024-02-14 00:00:00+00:00,,,,0.0,231534,0.0,0.0
2024-02-15 00:00:00+00:00,,,,0.0,192613,0.0,0.0
2024-02-16 00:00:00+00:00,,,,0.0,130248,0.0,0.0
2024-02-17 00:00:00+00:00,,,,0.0,159608,0.0,0.0
