TIMESTAMP,101M_OPEN_PRICE_USD,101M_HIGH_PRICE_USD,101M_LOW_PRICE_USD,101M_CLOSE_PRICE_USD,101M_VOLUME_USD,101M_DIVIDENDS_USD,101M_STOCK_SPLITS_USD
2025-05-12 00:00:00+00:00,,,,0.0,56,0.0,0.0
2025-06-01 00:00:00+00:00,8.262100313800869e-14,8.26211522158074e-14,8.262100313800869e-14,8.26211522158074e-14,7,0.0,0.0
