TIMESTAMP,XSOLVBTC_OPEN_PRICE_USD,XSOLVBTC_HIGH_PRICE_USD,XSOLVBTC_LOW_PRICE_USD,XSOLVBTC_CLOSE_PRICE_USD,XSOLVBTC_VOLUME_USD,XSOLVBTC_DIVIDENDS_USD,XSOLVBTC_STOCK_SPLITS_USD
2025-04-04 00:00:00+00:00,82299.1171875,84072.3359375,81652.5625,83146.71875,166,0.0,0.0
2025-04-05 00:00:00+00:00,83146.71875,83146.7265625,82281.359375,82794.3984375,490054,0.0,0.0
2025-04-06 00:00:00+00:00,82794.3984375,83112.2578125,81629.0703125,81938.328125,74544,0.0,0.0
2025-04-07 00:00:00+00:00,81938.328125,81976.078125,75557.984375,78291.8671875,0,0.0,0.0
2025-04-08 00:00:00+00:00,78291.8671875,79374.3125,76269.875,76269.875,115616,0.0,0.0
2025-04-09 00:00:00+00:00,76269.875,82668.1484375,75069.0234375,82668.046875,291053,0.0,0.0
2025-04-10 00:00:00+00:00,82668.046875,82668.046875,79141.390625,79387.8828125,515143,0.0,0.0
2025-04-11 00:00:00+00:00,79387.8828125,83392.8125,79052.828125,83147.9609375,901950,0.0,0.0
2025-04-12 00:00:00+00:00,83147.9609375,84696.65625,82669.484375,84593.5546875,684702,0.0,0.0
2025-04-13 00:00:00+00:00,84593.5546875,84716.71875,83409.84375,83807.3125,11269,0.0,0.0
2025-04-14 00:00:00+00:00,83807.3125,84453.796875,83750.8828125,84323.4921875,1620,0.0,0.0
2025-04-15 00:00:00+00:00,84323.4921875,85592.484375,84323.109375,84480.0859375,12,0.0,0.0
2025-04-16 00:00:00+00:00,84480.0859375,84689.6015625,82970.578125,84051.25,39889,0.0,0.0
2025-04-17 00:00:00+00:00,84051.25,84287.6171875,83733.203125,84259.4453125,345,0.0,0.0
2025-04-18 00:00:00+00:00,84259.4453125,84273.3828125,83344.6875,84033.2265625,0,0.0,0.0
2025-04-19 00:00:00+00:00,84033.2265625,84890.90625,84010.125,84876.0859375,141,0.0,0.0
2025-04-20 00:00:00+00:00,84876.0859375,84876.1796875,83985.625,84743.8515625,119301,0.0,0.0
2025-04-21 00:00:00+00:00,84743.8515625,87792.890625,84743.8203125,86841.078125,94776,0.0,0.0
2025-04-22 00:00:00+00:00,86841.078125,90887.1796875,86841.078125,90881.5546875,171833,0.0,0.0
2025-04-23 00:00:00+00:00,90881.5546875,93412.859375,90775.09375,92836.578125,693443,0.0,0.0
2025-04-24 00:00:00+00:00,92836.578125,93427.5859375,91642.25,93339.5234375,501657,0.0,0.0
2025-04-25 00:00:00+00:00,93339.5234375,94471.8515625,92645.96875,94424.609375,0,0.0,0.0
2025-04-26 00:00:00+00:00,94424.609375,94438.5859375,93572.4921875,94101.859375,0,0.0,0.0
2025-04-27 00:00:00+00:00,94101.859375,94388.3671875,92200.65625,92460.0,1343,0.0,0.0
