Lag,BAT,BTC,DASH,DCR,DOGE,ETC,GNO,IOTA,LTC,QTUM,USDT,XLM,XMR,XRP,ZEC
1,0.008987068720628504,4.2928229536355566e-05,0.008277900443998265,8.3505168654769e-09,0.028128039711702416,0.8301211873734877,0.9973382549606425,2.9256599764242606e-05,0.00012726294687144172,9.522031092005229e-07,0.26450873288646853,0.6427925324505881,0.5191608224388451,0.02680680108741467,0.8374376223062647
2,0.0014713422526031789,5.867481981724102e-05,0.014560214569596573,9.260181244759816e-09,0.029373862732564825,0.7218155204537636,0.7670182995087468,5.737862746924596e-05,0.00029822663050447894,2.965435811108095e-06,0.3867342705352618,0.028348480425003073,0.5120849175626593,0.058291962424355685,1.8246929212499034e-05
3,0.0016228153442515163,3.2668419168181386e-05,0.026137497525756996,1.7085055708143648e-12,0.057704427353667265,0.8244243560842258,0.10880462220140089,2.3356625727818265e-05,0.0005694151663836935,1.1761396898267554e-05,0.6047226408327935,0.053175784234285026,0.3711100134138737,0.04979505063654735,4.954528638074593e-05
4,7.774640720652165e-06,1.4476908770018698e-05,0.00010361977946961194,1.6896636847965555e-12,0.0161009327712537,0.001894104646205594,0.14933068923692658,4.983743844077796e-05,1.2586996050243931e-06,5.18288753100659e-05,0.5717990778209396,0.10852579745918606,0.07723404103092936,0.059262623389828226,2.640993331687745e-05
5,3.511062634145182e-06,2.4361770138629755e-05,0.0004599722000615665,6.899719075915462e-12,0.03705338512076355,0.004139467812386357,0.15016682520465993,4.0675101037598636e-07,4.832833037374086e-06,1.644828009420787e-05,0.5468709554366769,0.16395777499491418,0.13135344376708116,0.12571673957696272,2.9963840975054065e-05
6,8.826923313968707e-09,9.884369058628852e-06,1.258762449291743e-05,9.524372379508714e-14,0.08829811836440264,0.006515838920236214,0.01319202893929086,4.358621171695568e-07,6.715282895772765e-08,4.0491879123326046e-05,0.7143508842198258,0.2546189335737958,0.10193758295516202,0.1847169189331001,7.596700521639618e-05
7,1.2448469369368025e-08,2.1219197689084088e-05,3.763313080516864e-05,4.188942487243278e-13,0.1283999061236956,0.01076020808385596,0.019644667751642832,1.0697601919845913e-06,2.7018047550302113e-07,5.443884116520582e-05,0.6757081534538791,0.34467229173504216,0.08828208618708558,0.1663212816032174,6.68347525034831e-05
8,6.838337244645894e-08,2.9201881038973867e-05,5.159872555307703e-05,2.6895936974533906e-12,0.13393905133135578,0.00429726521630073,0.03787107255523725,5.796708903801845e-07,2.895128069199654e-07,6.371536818986196e-05,0.6264022168762273,0.25452468190048283,0.09022933427439223,0.08896111736749297,0.0001776672852814932
9,9.332221799676709e-08,4.988307406261572e-06,7.329564444933502e-05,2.2086105376587853e-12,0.12511232635930958,0.003366454075490632,0.058679202118475285,0.00394531108725645,4.165682047771261e-07,7.702630496570716e-06,0.2555989205981034,0.35236186476449405,0.1297989746217334,0.10970792260594377,0.0003682468806251738
10,4.710846477378636e-07,1.9121082766266932e-06,8.685502116041364e-05,6.005329382454619e-12,0.15802234894719258,0.0041614630152808346,0.06086356228939167,0.007205851787791654,5.754236140975403e-07,9.83028656789978e-06,0.21517977203254265,0.3512773547686109,0.1987745094189664,0.14698377253260442,0.0003252062745211602
11,8.615341299354672e-07,1.57725492647996e-06,0.0001862593309462092,2.4422963857976006e-12,0.15387599003019733,0.006206867594691774,0.031138720628892225,0.002852845030600881,2.068636862691528e-06,1.9436565997685835e-05,0.170562103653139,0.24505581591575798,0.14146962054881043,0.17851215232215778,0.00023724142729129709
