,XMR,Lag
PIVX,7.975288965426991e-43,30
DOGE,1.378226565137913e-07,23
STEEM,2.3377427191305275e-06,14
DGB,0.000286571642702,29
ETC,0.0008260509214583,30
XEM,0.000955374872039,25
LSK,0.0010906097844308,30
XRP,0.0013544554982256,9
ARK,0.001846998747349,30
DASH,0.0022400596034287,30
ZEN,0.0022476519595965,30
BTS,0.0026464107774039,30
QTUM,0.0028292341751528,25
ZEC,0.0042632547707322,30
RLC,0.0046955066372072,18
GAS,0.0048900751271326,30
ANT,0.0085130939217868,2
GNO,0.0235780133885391,30
MIOTA,0.028779898020991,30
SYS,0.0439331051778097,13
WAVES,0.0674368845408981,30
SC,0.0715760252204991,29
KMD,0.0722754279634373,30
LUNC,0.1037436512182103,16
DCR,0.1068893377663609,3
BAT,0.1229391402387547,29
FIRO,0.1777593507232086,24
ETH,0.2081212620987221,30
BTC,0.2128727852580621,30
XLM,0.2592430896564331,6
LTC,0.2937012713165265,5
