TIMESTAMP,BABYCAT_OPEN_PRICE_USD,BABYCAT_HIGH_PRICE_USD,BABYCAT_LOW_PRICE_USD,BABYCAT_CLOSE_PRICE_USD,BABYCAT_VOLUME_USD,BABYCAT_DIVIDENDS_USD,BABYCAT_STOCK_SPLITS_USD
2023-12-22 00:00:00+00:00,,,,0.0,44146,0.0,0.0
2023-12-23 00:00:00+00:00,,,,0.0,1984,0.0,0.0
2023-12-24 00:00:00+00:00,,,,0.0,485,0.0,0.0
2023-12-25 00:00:00+00:00,,,,0.0,455,0.0,0.0
2023-12-26 00:00:00+00:00,,,,0.0,396,0.0,0.0
2023-12-27 00:00:00+00:00,,,,0.0,3419,0.0,0.0
2023-12-28 00:00:00+00:00,,,,0.0,9022,0.0,0.0
2023-12-29 00:00:00+00:00,,,,0.0,9852,0.0,0.0
2023-12-30 00:00:00+00:00,,,,0.0,19561,0.0,0.0
2023-12-31 00:00:00+00:00,,,,0.0,17170,0.0,0.0
2024-01-01 00:00:00+00:00,,,,0.0,1202,0.0,0.0
2024-01-02 00:00:00+00:00,,,,0.0,1378,0.0,0.0
2024-01-03 00:00:00+00:00,,,,0.0,1131,0.0,0.0
2024-01-04 00:00:00+00:00,,,,0.0,350,0.0,0.0
2024-01-05 00:00:00+00:00,,,,0.0,287,0.0,0.0
2024-01-06 00:00:00+00:00,,,,0.0,1961,0.0,0.0
2024-01-07 00:00:00+00:00,,,,0.0,272,0.0,0.0
2024-01-08 00:00:00+00:00,,,,0.0,154,0.0,0.0
2024-01-09 00:00:00+00:00,,,,0.0,583,0.0,0.0
2024-01-10 00:00:00+00:00,,,,0.0,415,0.0,0.0
2024-01-11 00:00:00+00:00,,,,0.0,189,0.0,0.0
2024-01-12 00:00:00+00:00,,,,0.0,219,0.0,0.0
2024-01-13 00:00:00+00:00,,,,0.0,557,0.0,0.0
2024-01-14 00:00:00+00:00,,,,0.0,140,0.0,0.0
2024-01-15 00:00:00+00:00,,,,0.0,771,0.0,0.0
2024-01-16 00:00:00+00:00,,,,0.0,400,0.0,0.0
2024-01-17 00:00:00+00:00,,,,0.0,76,0.0,0.0
2024-01-18 00:00:00+00:00,,,,0.0,251,0.0,0.0
2024-01-19 00:00:00+00:00,,,,0.0,85,0.0,0.0
2024-01-20 00:00:00+00:00,,,,0.0,136,0.0,0.0
2024-01-21 00:00:00+00:00,,,,0.0,47,0.0,0.0
2024-01-22 00:00:00+00:00,,,,0.0,117,0.0,0.0
2024-01-23 00:00:00+00:00,,,,0.0,160,0.0,0.0
2024-01-24 00:00:00+00:00,,,,0.0,4,0.0,0.0
2024-01-25 00:00:00+00:00,,,,0.0,72,0.0,0.0
2024-01-26 00:00:00+00:00,,,,0.0,2210,0.0,0.0
2024-01-27 00:00:00+00:00,,,,0.0,69,0.0,0.0
2024-01-28 00:00:00+00:00,,,,0.0,240,0.0,0.0
2024-01-29 00:00:00+00:00,,,,0.0,101,0.0,0.0
2024-01-30 00:00:00+00:00,,,,0.0,42,0.0,0.0
2024-01-31 00:00:00+00:00,,,,0.0,98,0.0,0.0
2024-02-01 00:00:00+00:00,,,,0.0,110,0.0,0.0
2024-02-02 00:00:00+00:00,,,,0.0,4,0.0,0.0
2024-02-03 00:00:00+00:00,,,,0.0,16,0.0,0.0
2024-02-04 00:00:00+00:00,,,,0.0,126,0.0,0.0
2024-02-05 00:00:00+00:00,,,,0.0,2,0.0,0.0
2024-02-06 00:00:00+00:00,,,,0.0,161,0.0,0.0
2024-02-07 00:00:00+00:00,,,,0.0,1,0.0,0.0
2024-02-08 00:00:00+00:00,,,,0.0,72,0.0,0.0
2024-02-09 00:00:00+00:00,,,,0.0,122,0.0,0.0
2024-02-10 00:00:00+00:00,,,,0.0,67,0.0,0.0
2024-02-11 00:00:00+00:00,,,,0.0,161,0.0,0.0
2024-02-12 00:00:00+00:00,,,,0.0,185,0.0,0.0
2024-02-13 00:00:00+00:00,,,,0.0,1,0.0,0.0
2024-02-14 00:00:00+00:00,,,,0.0,151,0.0,0.0
2024-02-15 00:00:00+00:00,,,,0.0,139,0.0,0.0
2024-02-16 00:00:00+00:00,,,,0.0,133,0.0,0.0
2024-02-17 00:00:00+00:00,,,,0.0,294,0.0,0.0
2024-02-18 00:00:00+00:00,,,,0.0,138,0.0,0.0
2024-02-20 00:00:00+00:00,,,,0.0,3,0.0,0.0
