TIMESTAMP,BULL20156_OPEN_PRICE_USD,BULL20156_HIGH_PRICE_USD,BULL20156_LOW_PRICE_USD,BULL20156_CLOSE_PRICE_USD,BULL20156_VOLUME_USD,BULL20156_DIVIDENDS_USD,BULL20156_STOCK_SPLITS_USD
2022-05-18 00:00:00+00:00,1.4000000192027073e-05,1.4000000192027073e-05,4.999999873689376e-06,9.000000318337698e-06,1620795,0.0,0.0
2022-05-19 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,3.999999989900971e-06,4.999999873689376e-06,1431964,0.0,0.0
2022-05-20 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,3.999999989900971e-06,3.999999989900971e-06,1101822,0.0,0.0
2022-05-21 00:00:00+00:00,3.999999989900971e-06,9.000000318337698e-06,3.999999989900971e-06,6.000000212225132e-06,682607,0.0,0.0
2022-05-22 00:00:00+00:00,6.000000212225132e-06,7.000000096013537e-06,3.999999989900971e-06,4.999999873689376e-06,683271,0.0,0.0
2022-05-23 00:00:00+00:00,4.999999873689376e-06,7.000000096013537e-06,3.999999989900971e-06,4.999999873689376e-06,616538,0.0,0.0
2022-05-24 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,3.000000106112566e-06,3.999999989900971e-06,619937,0.0,0.0
2022-05-25 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.999999989900971e-06,690450,0.0,0.0
2022-05-26 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,634782,0.0,0.0
2022-05-27 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.999999989900971e-06,707050,0.0,0.0
2022-05-28 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,647031,0.0,0.0
2022-05-29 00:00:00+00:00,3.000000106112566e-06,4.999999873689376e-06,1.9999999949504854e-06,3.000000106112566e-06,600473,0.0,0.0
2022-05-30 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,559417,0.0,0.0
