TIMESTAMP,GROK3AI_OPEN_PRICE_USD,GROK3AI_HIGH_PRICE_USD,GROK3AI_LOW_PRICE_USD,GROK3AI_CLOSE_PRICE_USD,GROK3AI_VOLUME_USD,GROK3AI_DIVIDENDS_USD,GROK3AI_STOCK_SPLITS_USD
2025-04-08 00:00:00+00:00,,,,0.0,369,0.0,0.0
2025-04-09 00:00:00+00:00,,,,0.0,117,0.0,0.0
2025-04-11 00:00:00+00:00,,,,0.0,2814,0.0,0.0
2025-04-14 00:00:00+00:00,,,,0.0,287,0.0,0.0
2025-04-15 00:00:00+00:00,,,,0.0,1466,0.0,0.0
2025-04-23 00:00:00+00:00,,,,0.0,646,0.0,0.0
2025-04-24 00:00:00+00:00,,,,0.0,421,0.0,0.0
2025-04-26 00:00:00+00:00,,,,0.0,199,0.0,0.0
2025-04-27 00:00:00+00:00,,,,0.0,524,0.0,0.0
2025-04-28 00:00:00+00:00,,,,0.0,893,0.0,0.0
2025-04-30 00:00:00+00:00,,,,0.0,2291,0.0,0.0
2025-05-01 00:00:00+00:00,,,,0.0,21299,0.0,0.0
2025-05-02 00:00:00+00:00,,,,0.0,4463,0.0,0.0
2025-05-03 00:00:00+00:00,,,,0.0,1087,0.0,0.0
2025-05-08 00:00:00+00:00,,,,0.0,250,0.0,0.0
2025-05-09 00:00:00+00:00,,,,0.0,516,0.0,0.0
2025-05-11 00:00:00+00:00,,,,0.0,1408,0.0,0.0
2025-05-13 00:00:00+00:00,,,,0.0,135,0.0,0.0
2025-05-16 00:00:00+00:00,,,,0.0,376,0.0,0.0
2025-05-19 00:00:00+00:00,,,,0.0,365,0.0,0.0
2025-05-23 00:00:00+00:00,,,,0.0,393,0.0,0.0
2025-05-28 00:00:00+00:00,,,,0.0,474,0.0,0.0
2025-06-01 00:00:00+00:00,3.120240068925362e-13,3.360899883050883e-13,3.1063899282729457e-13,3.295462589879977e-13,276,0.0,0.0
