TIMESTAMP,FOCAI_OPEN_PRICE_USD,FOCAI_HIGH_PRICE_USD,FOCAI_LOW_PRICE_USD,FOCAI_CLOSE_PRICE_USD,FOCAI_VOLUME_USD,FOCAI_DIVIDENDS_USD,FOCAI_STOCK_SPLITS_USD
2025-03-03 00:00:00+00:00,0.001373999984934926,0.001373999984934926,0.0009059999720193446,0.00092299998505041,1249785,0.0,0.0
2025-03-04 00:00:00+00:00,0.00092299998505041,0.0009629999985918403,0.0007619999814778566,0.0008140000281855464,746642,0.0,0.0
2025-03-05 00:00:00+00:00,0.0008140000281855464,0.000910000002477318,0.0007880000048317015,0.0008829999715089798,834556,0.0,0.0
2025-03-06 00:00:00+00:00,0.0008829999715089798,0.0009299999801442027,0.0008200000156648457,0.0008200000156648457,850229,0.0,0.0
2025-03-07 00:00:00+00:00,0.0008200000156648457,0.0008479999960400164,0.0006070000235922635,0.0006150000263005495,825182,0.0,0.0
2025-03-08 00:00:00+00:00,0.0006150000263005495,0.0006220000213943422,0.0005450000171549618,0.0005549999768845737,722959,0.0,0.0
2025-03-09 00:00:00+00:00,0.0005549999768845737,0.0005579999997280538,0.000455000001238659,0.0004720000142697245,767780,0.0,0.0
2025-03-10 00:00:00+00:00,0.0004720000142697245,0.00047400000039488077,0.0003499999875202775,0.00042100000428035855,485323,0.0,0.0
2025-03-11 00:00:00+00:00,0.00042100000428035855,0.00042699999175965786,0.00031400000443682075,0.0003380000125616789,392069,0.0,0.0
2025-03-12 00:00:00+00:00,0.0003380000125616789,0.0004330000083427876,0.0002859999949578196,0.0002859999949578196,404331,0.0,0.0
2025-03-13 00:00:00+00:00,0.0002859999949578196,0.00028899998869746923,0.00018000000272877514,0.00019299999985378236,390269,0.0,0.0
2025-03-14 00:00:00+00:00,0.00019299999985378236,0.00019799999427050352,0.00018000000272877514,0.000195999993593432,385810,0.0,0.0
2025-03-15 00:00:00+00:00,0.000195999993593432,0.00021100000594742596,0.00018699999782256782,0.00020700000459328294,385204,0.0,0.0
