TIMESTAMP,SMIDGE31969_OPEN_PRICE_USD,SMIDGE31969_HIGH_PRICE_USD,SMIDGE31969_LOW_PRICE_USD,SMIDGE31969_CLOSE_PRICE_USD,SMIDGE31969_VOLUME_USD,SMIDGE31969_DIVIDENDS_USD,SMIDGE31969_STOCK_SPLITS_USD
2024-06-25 00:00:00+00:00,0.0007810000097379088,0.000881000014487654,0.00011600000289035961,0.00022000000171829015,1601936,0.0,0.0
2024-06-26 00:00:00+00:00,0.00021600000036414713,0.00044299999717622995,0.00012799999967683107,0.00044299999717622995,615960,0.0,0.0
2024-06-27 00:00:00+00:00,0.00043700000969693065,0.0009139999747276306,0.00036100001307204366,0.0004309999931138009,1062809,0.0,0.0
2024-06-28 00:00:00+00:00,0.0004309999931138009,0.0005109999910928309,0.00039900001138448715,0.00046999999904073775,536707,0.0,0.0
2024-06-29 00:00:00+00:00,0.00046999999904073775,0.00047400000039488077,0.0003650000144261867,0.0003650000144261867,488120,0.0,0.0
2024-06-30 00:00:00+00:00,0.0003650000144261867,0.00037799999699927866,0.00029399999766610563,0.00037799999699927866,457521,0.0,0.0
2024-07-01 00:00:00+00:00,0.00037799999699927866,0.0003800000122282654,3.400000059627928e-05,3.9999998989515007e-05,40991,0.0,0.0
2024-07-02 00:00:00+00:00,3.9999998989515007e-05,4.099999932805076e-05,3.199999991920777e-05,3.400000059627928e-05,11434,0.0,0.0
2024-07-03 00:00:00+00:00,3.400000059627928e-05,3.400000059627928e-05,2.8000000384054147e-05,3.199999991920777e-05,4695,0.0,0.0
2024-07-04 00:00:00+00:00,3.199999991920777e-05,3.600000127335079e-05,2.499999936844688e-05,2.499999936844688e-05,5623,0.0,0.0
2024-07-05 00:00:00+00:00,2.499999936844688e-05,2.499999936844688e-05,1.8999999156221747e-05,2.2000000171829015e-05,2994,0.0,0.0
2024-07-06 00:00:00+00:00,2.2000000171829015e-05,2.499999936844688e-05,2.099999983329326e-05,2.4000000848900527e-05,1891,0.0,0.0
2024-07-07 00:00:00+00:00,2.4000000848900527e-05,2.4000000848900527e-05,2.300000051036477e-05,2.300000051036477e-05,289,0.0,0.0
2024-07-08 00:00:00+00:00,2.300000051036477e-05,2.300000051036477e-05,1.9999999494757503e-05,1.9999999494757503e-05,1611,0.0,0.0
2024-07-09 00:00:00+00:00,1.9999999494757503e-05,2.099999983329326e-05,1.9999999494757503e-05,1.9999999494757503e-05,121,0.0,0.0
2024-07-10 00:00:00+00:00,1.9999999494757503e-05,2.099999983329326e-05,1.700000029813964e-05,2.099999983329326e-05,3143,0.0,0.0
2024-07-11 00:00:00+00:00,2.099999983329326e-05,2.499999936844688e-05,2.099999983329326e-05,2.2000000171829015e-05,3309,0.0,0.0
2024-07-12 00:00:00+00:00,2.2000000171829015e-05,2.2000000171829015e-05,2.2000000171829015e-05,2.2000000171829015e-05,110,0.0,0.0
2024-07-13 00:00:00+00:00,2.2000000171829015e-05,2.2000000171829015e-05,1.5999999959603883e-05,1.700000029813964e-05,2008,0.0,0.0
2024-07-14 00:00:00+00:00,1.700000029813964e-05,1.700000029813964e-05,3.999999989900971e-06,7.999999979801942e-06,8019,0.0,0.0
2024-07-15 00:00:00+00:00,7.999999979801942e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,738,0.0,0.0
2024-07-16 00:00:00+00:00,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,881,0.0,0.0
2024-07-17 00:00:00+00:00,7.999999979801942e-06,9.000000318337698e-06,7.999999979801942e-06,9.000000318337698e-06,758,0.0,0.0
2024-07-18 00:00:00+00:00,9.000000318337698e-06,1.9999999494757503e-05,9.000000318337698e-06,1.5999999959603883e-05,5564,0.0,0.0
2024-07-19 00:00:00+00:00,1.5999999959603883e-05,1.5999999959603883e-05,9.000000318337698e-06,9.000000318337698e-06,3240,0.0,0.0
2024-07-20 00:00:00+00:00,9.000000318337698e-06,9.999999747378752e-06,9.000000318337698e-06,9.000000318337698e-06,387,0.0,0.0
2024-07-21 00:00:00+00:00,9.000000318337698e-06,1.1000000085914508e-05,9.000000318337698e-06,9.000000318337698e-06,1367,0.0,0.0
2024-07-22 00:00:00+00:00,9.000000318337698e-06,9.999999747378752e-06,9.000000318337698e-06,9.999999747378752e-06,1301,0.0,0.0
