"Date","Price","Open","High","Low","Vol.","Change %"
"05/16/2025","5,109.07","5,102.86","5,135.73","5,102.86","790.79M","-0.01%"
"05/15/2025","5,109.59","5,164.56","5,164.56","5,108.46","909.25M","-1.29%"
"05/14/2025","5,176.13","5,182.84","5,203.22","5,151.62","1.06B","-0.42%"
"05/13/2025","5,198.18","5,226.54","5,230.40","5,186.71","1.09B","0.09%"
"05/12/2025","5,193.49","5,155.33","5,193.49","5,141.89","1.08B","1.15%"
"05/09/2025","5,134.22","5,168.53","5,170.64","5,114.83","1.02B","-0.81%"
"05/08/2025","5,176.15","5,152.89","5,191.88","5,138.99","1.17B","0.05%"
"05/07/2025","5,173.53","5,205.31","5,232.68","5,140.28","1.45B","0.20%"
"05/06/2025","5,163.46","5,102.24","5,163.47","5,100.56","1.26B","1.86%"
"04/30/2025","5,069.21","5,049.81","5,092.13","5,046.22","1.14B","0.29%"
"04/29/2025","5,054.37","5,052.03","5,073.43","5,041.55","934.65M","-0.20%"
"04/28/2025","5,064.75","5,092.21","5,093.86","5,060.46","1.11B","-0.79%"
"04/25/2025","5,105.20","5,115.92","5,138.06","5,083.29","1.08B","-0.02%"
"04/24/2025","5,106.21","5,138.98","5,157.44","5,093.04","958.98M","-0.59%"
"04/23/2025","5,136.77","5,162.11","5,189.13","5,119.02","1.33B","-0.47%"
"04/22/2025","5,160.92","5,170.52","5,192.58","5,152.84","1.16B","-0.17%"
"04/21/2025","5,169.83","5,061.95","5,171.52","5,048.81","1.14B","2.22%"
"04/18/2025","5,057.74","5,073.06","5,085.93","5,037.88","1.06B","-0.42%"
"04/17/2025","5,079.26","5,083.28","5,129.70","5,079.26","987.84M","-0.41%"
"04/16/2025","5,100.18","5,133.33","5,135.96","5,036.81","1.12B","-0.74%"
"04/15/2025","5,138.12","5,152.06","5,153.78","5,103.71","1.09B","-0.31%"
"04/14/2025","5,154.34","5,157.64","5,185.16","5,131.24","1.34B","0.44%"
"04/11/2025","5,131.97","5,051.92","5,167.19","5,049.20","1.36B","1.21%"
"04/10/2025","5,070.39","5,014.74","5,110.68","5,014.74","1.76B","2.98%"
"04/09/2025","4,923.43","4,776.49","4,955.69","4,682.12","1.91B","1.56%"
"04/08/2025","4,847.93","4,818.86","4,885.65","4,784.41","1.85B","0.24%"
"04/07/2025","4,836.31","4,965.62","5,049.33","4,746.79","1.67B","-8.27%"
"04/03/2025","5,272.43","5,312.33","5,348.87","5,259.98","1.27B","-1.65%"
"04/02/2025","5,360.77","5,342.57","5,398.00","5,342.42","970.36M","0.16%"
"04/01/2025","5,352.34","5,316.30","5,394.97","5,316.30","1.13B","0.87%"
"03/31/2025","5,306.05","5,311.79","5,354.79","5,271.03","1.31B","-0.43%"
"03/28/2025","5,328.88","5,366.70","5,387.25","5,325.63","1.00B","-0.63%"
"03/27/2025","5,362.74","5,326.96","5,394.08","5,297.91","876.30M","0.48%"
"03/26/2025","5,337.30","5,341.07","5,381.32","5,336.77","964.26M","-0.26%"
"03/25/2025","5,351.07","5,352.25","5,381.25","5,324.98","1.10B","-0.04%"
"03/24/2025","5,353.35","5,312.96","5,370.96","5,292.83","1.27B","0.55%"
"03/21/2025","5,324.27","5,388.15","5,395.49","5,296.91","1.18B","-1.34%"
"03/20/2025","5,396.61","5,423.38","5,432.90","5,391.51","1.16B","-0.49%"
"03/19/2025","5,423.36","5,406.93","5,447.88","5,393.73","1.28B","0.04%"
"03/18/2025","5,421.02","5,390.09","5,427.95","5,380.85","1.38B","0.76%"
"03/17/2025","5,379.96","5,385.14","5,406.72","5,370.28","1.37B","0.31%"
"03/14/2025","5,363.24","5,295.00","5,363.50","5,277.38","1.53B","1.59%"
"03/13/2025","5,279.27","5,326.05","5,339.00","5,249.90","1.37B","-0.90%"
"03/12/2025","5,327.31","5,355.11","5,363.92","5,315.21","1.56B","-0.15%"
"03/11/2025","5,335.51","5,261.57","5,335.51","5,260.38","1.49B","0.43%"
"03/10/2025","5,312.68","5,282.09","5,312.86","5,259.03","1.37B","0.44%"
"03/07/2025","5,289.66","5,263.02","5,322.18","5,250.60","1.79B","0.27%"
"03/06/2025","5,275.26","5,233.83","5,287.14","5,225.80","1.09B","1.39%"
"03/05/2025","5,202.73","5,184.90","5,205.30","5,153.02","873.38M","0.45%"
"03/04/2025","5,179.42","5,125.55","5,189.17","5,121.33","1.08B","0.63%"
"03/03/2025","5,147.07","5,146.22","5,224.26","5,127.13","1.17B","0.08%"
"02/28/2025","5,142.93","5,245.03","5,245.54","5,130.96","1.49B","-2.44%"
"02/27/2025","5,271.55","5,278.92","5,299.84","5,210.64","1.51B","-0.13%"
"02/26/2025","5,278.23","5,229.79","5,290.04","5,219.18","1.55B","1.10%"
"02/25/2025","5,220.81","5,211.91","5,277.05","5,203.32","1.37B","-0.92%"
"02/24/2025","5,269.26","5,274.20","5,282.75","5,231.79","1.73B","-0.16%"
"02/21/2025","5,277.88","5,241.81","5,290.31","5,230.36","1.48B","0.73%"
"02/20/2025","5,239.83","5,216.39","5,252.44","5,193.72","1.44B","0.28%"
"02/19/2025","5,225.03","5,149.80","5,227.27","5,137.96","1.58B","1.45%"
"02/18/2025","5,150.30","5,165.19","5,224.23","5,123.67","1.56B","-0.47%"
"02/17/2025","5,174.46","5,227.79","5,227.91","5,141.69","1.51B","-0.88%"
"02/14/2025","5,220.48","5,188.70","5,238.36","5,186.51","1.32B","0.49%"
"02/13/2025","5,195.21","5,247.42","5,268.45","5,194.62","1.52B","-0.96%"
"02/12/2025","5,245.78","5,205.26","5,246.10","5,176.61","1.54B","0.41%"
"02/11/2025","5,224.29","5,227.81","5,245.64","5,183.78","1.30B","0.03%"
"02/10/2025","5,222.55","5,222.73","5,229.33","5,179.12","971.49M","0.10%"
"02/07/2025","5,217.22","5,165.60","5,260.28","5,142.45","1.15B","1.25%"
"02/06/2025","5,152.69","5,043.05","5,154.35","5,042.10","1.12B","1.97%"
"02/05/2025","5,053.15","5,118.08","5,122.54","5,034.61","907.45M","-0.92%"
"01/27/2025","5,100.11","5,129.99","5,161.94","5,100.11","735.98M","-0.52%"
"01/24/2025","5,126.78","5,055.06","5,145.45","5,052.09","817.41M","1.30%"
"01/23/2025","5,061.19","5,133.45","5,150.13","5,061.19","830.21M","-0.73%"
"01/22/2025","5,098.19","5,127.58","5,137.72","5,059.36","790.12M","-0.63%"
"01/21/2025","5,130.62","5,123.50","5,131.67","5,055.68","824.04M","0.69%"
"01/20/2025","5,095.48","5,109.68","5,162.31","5,083.22","778.72M","0.39%"
"01/17/2025","5,075.61","4,984.79","5,103.15","4,983.11","813.47M","1.47%"
"01/16/2025","5,002.20","5,001.55","5,066.49","4,972.12","818.42M","0.49%"
"01/15/2025","4,977.80","5,012.43","5,018.54","4,967.33","756.65M","-0.89%"
"01/14/2025","5,022.50","4,871.99","5,028.02","4,854.38","944.66M","3.31%"
"01/13/2025","4,861.60","4,839.02","4,908.86","4,834.43","782.33M","-0.11%"
"01/10/2025","4,866.76","4,915.59","4,950.86","4,866.76","780.26M","-1.12%"
"01/09/2025","4,921.93","4,928.72","4,967.12","4,919.07","769.72M","-0.47%"
"01/08/2025","4,945.42","4,920.92","4,982.82","4,831.88","870.57M","0.10%"
"01/07/2025","4,940.30","4,897.13","4,942.80","4,873.50","785.76M","0.92%"
"01/06/2025","4,895.23","4,882.42","4,952.47","4,858.97","862.53M","0.41%"
"01/03/2025","4,875.09","4,931.15","4,989.72","4,865.26","938.36M","-1.10%"
"01/02/2025","4,929.49","5,045.44","5,061.00","4,892.29","1.01B","-2.38%"
"12/31/2024","5,049.48","5,144.93","5,148.06","5,047.08","939.31M","-1.81%"
"12/30/2024","5,142.41","5,135.64","5,192.87","5,125.75","887.57M","0.07%"
"12/27/2024","5,138.67","5,139.01","5,186.89","5,119.89","966.14M","0.02%"
"12/26/2024","5,137.42","5,126.89","5,153.83","5,121.99","835.08M","0.17%"
"12/25/2024","5,128.87","5,157.97","5,161.05","5,098.51","747.43M","-0.50%"
"12/24/2024","5,154.67","5,089.14","5,155.64","5,089.14","850.36M","1.41%"
"12/23/2024","5,083.23","5,151.00","5,178.58","5,082.66","918.30M","-1.24%"
"12/20/2024","5,147.00","5,121.30","5,188.74","5,121.30","899.80M","0.31%"
"12/19/2024","5,131.16","5,094.06","5,143.50","5,077.11","948.87M","-0.08%"
"12/18/2024","5,135.20","5,147.87","5,170.99","5,127.13","802.45M","0.00%"
"12/17/2024","5,135.32","5,145.54","5,192.50","5,126.57","899.04M","-0.31%"
"12/16/2024","5,151.31","5,221.91","5,230.28","5,131.77","1.06B","-1.50%"
"12/13/2024","5,229.99","5,308.89","5,319.37","5,229.15","1.54B","-1.96%"
"12/12/2024","5,334.70","5,292.77","5,340.47","5,275.71","1.24B","0.81%"
"12/11/2024","5,291.74","5,256.86","5,308.41","5,253.89","1.13B","0.49%"
"12/10/2024","5,265.69","5,381.52","5,391.04","5,258.72","1.42B","0.73%"
"12/09/2024","5,227.61","5,265.77","5,280.45","5,202.82","972.65M","-0.85%"
"12/06/2024","5,272.19","5,228.63","5,302.84","5,199.09","1.09B","0.99%"
"12/05/2024","5,220.42","5,213.14","5,247.24","5,187.42","1.05B","-0.15%"
"12/04/2024","5,228.28","5,273.21","5,280.34","5,205.07","1.07B","-0.83%"
"12/03/2024","5,272.06","5,298.55","5,299.74","5,231.34","1.15B","-0.46%"
"12/02/2024","5,296.22","5,247.38","5,312.96","5,216.80","1.38B","0.88%"
"11/29/2024","5,250.22","5,155.74","5,291.57","5,145.31","1.28B","1.63%"
"11/28/2024","5,166.04","5,209.39","5,226.41","5,158.27","1.15B","-0.87%"
"11/27/2024","5,211.63","5,101.28","5,214.23","5,048.40","1.04B","1.82%"
"11/26/2024","5,118.58","5,136.83","5,185.25","5,112.95","905.80M","-0.42%"
"11/25/2024","5,140.04","5,137.40","5,180.86","5,077.78","996.24M","0.14%"
"11/22/2024","5,133.07","5,325.58","5,328.65","5,133.07","1.27B","-3.84%"
"11/21/2024","5,338.20","5,344.67","5,363.79","5,301.61","1.20B","-0.20%"
"11/20/2024","5,348.83","5,296.51","5,358.55","5,270.65","1.17B","0.88%"
"11/19/2024","5,302.35","5,192.08","5,302.48","5,180.78","1.17B","2.36%"
"11/18/2024","5,180.15","5,247.66","5,291.49","5,152.73","1.27B","-1.26%"
"11/15/2024","5,245.99","5,340.27","5,369.31","5,245.99","1.21B","-2.07%"
"11/14/2024","5,356.99","5,477.25","5,492.00","5,348.01","1.30B","-2.41%"
"11/13/2024","5,489.17","5,469.61","5,509.21","5,419.53","1.38B","-0.14%"
"11/12/2024","5,496.98","5,555.90","5,625.20","5,447.89","1.78B","-0.88%"
"11/11/2024","5,545.96","5,439.45","5,549.46","5,422.38","1.73B","1.87%"
"11/08/2024","5,443.94","5,471.58","5,524.21","5,423.83","1.88B","0.34%"
"11/07/2024","5,425.67","5,284.85","5,427.92","5,274.05","1.99B","1.88%"
"11/06/2024","5,325.59","5,362.76","5,427.03","5,301.01","2.19B","-0.60%"
"11/05/2024","5,357.53","5,234.43","5,365.22","5,198.78","1.88B","2.22%"
"11/04/2024","5,241.10","5,144.35","5,241.10","5,144.35","1.53B","1.85%"
"11/01/2024","5,145.91","5,155.78","5,222.43","5,108.60","1.75B","-0.50%"
"10/31/2024","5,171.94","5,159.51","5,194.14","5,110.46","1.53B","0.21%"
"10/30/2024","5,161.22","5,170.99","5,226.20","5,113.77","1.62B","-0.73%"
"10/29/2024","5,198.99","5,299.79","5,312.35","5,194.69","1.54B","-1.50%"
"10/28/2024","5,278.11","5,255.83","5,291.59","5,196.04","1.52B","0.61%"
"10/25/2024","5,246.27","5,183.86","5,282.82","5,156.09","1.43B","1.59%"
"10/24/2024","5,164.06","5,184.60","5,196.35","5,145.64","1.19B","-0.65%"
"10/23/2024","5,198.01","5,189.18","5,264.04","5,156.59","1.50B","-0.09%"
"10/22/2024","5,202.87","5,167.61","5,227.87","5,120.88","1.37B","0.40%"
"10/21/2024","5,182.21","5,185.21","5,291.19","5,114.60","1.65B","0.55%"
"10/18/2024","5,153.64","4,919.49","5,274.26","4,915.69","1.69B","4.38%"
"10/17/2024","4,937.28","4,995.74","5,033.97","4,937.28","1.38B","-0.48%"
"10/16/2024","4,960.86","4,925.70","5,044.33","4,911.56","1.09B","-0.46%"
"10/15/2024","4,983.68","5,113.41","5,151.20","4,983.68","1.21B","-2.92%"
"10/14/2024","5,133.52","5,079.40","5,160.89","4,954.66","1.42B","1.53%"
"10/11/2024","5,056.24","5,238.20","5,238.20","5,000.20","1.31B","-3.94%"
"10/10/2024","5,263.58","5,293.94","5,436.47","5,177.51","1.74B","-0.40%"
"10/09/2024","5,284.68","5,546.77","5,619.91","5,249.56","2.25B","-6.86%"
"10/08/2024","5,673.93","5,965.94","5,965.94","5,404.47","3.01B","6.91%"
"09/30/2024","5,307.28","5,019.96","5,319.19","4,961.13","2.39B","10.86%"
"09/27/2024","4,787.48","4,619.15","4,796.31","4,619.15","1.05B","5.17%"
"09/26/2024","4,552.12","4,347.80","4,552.18","4,324.84","1.25B","4.50%"
"09/25/2024","4,356.16","4,390.43","4,463.02","4,354.07","1.22B","0.19%"
"09/24/2024","4,347.83","4,213.61","4,348.47","4,170.75","1.17B","3.89%"
"09/23/2024","4,184.87","4,201.93","4,244.95","4,182.17","676.23M","-0.52%"
"09/20/2024","4,206.69","4,229.93","4,229.93","4,177.91","720.86M","-0.55%"
"09/19/2024","4,229.93","4,191.81","4,287.06","4,166.35","841.96M","1.27%"
"09/18/2024","4,177.08","4,143.17","4,185.18","4,123.39","616.07M","0.85%"
"09/13/2024","4,141.93","4,208.32","4,214.55","4,141.80","698.43M","-1.60%"
"09/12/2024","4,209.39","4,241.29","4,287.92","4,209.39","665.90M","-0.76%"
"09/11/2024","4,241.52","4,195.36","4,247.15","4,185.28","694.74M","0.57%"
"09/10/2024","4,217.54","4,216.94","4,237.53","4,160.04","630.92M","-0.01%"
"09/09/2024","4,217.82","4,253.75","4,270.73","4,201.06","719.89M","-1.10%"
"09/06/2024","4,264.90","4,340.90","4,343.92","4,263.61","517.26M","-1.61%"
"09/05/2024","4,334.54","4,318.38","4,367.27","4,317.56","568.51M","0.63%"
"09/04/2024","4,307.44","4,280.40","4,345.55","4,253.69","632.31M","0.23%"
"09/03/2024","4,297.37","4,250.59","4,320.74","4,248.08","697.96M","0.95%"
"09/02/2024","4,256.99","4,349.64","4,349.64","4,255.24","1.06B","-2.21%"
"08/30/2024","4,353.37","4,271.40","4,411.67","4,247.45","975.01M","1.84%"
"08/29/2024","4,274.76","4,179.16","4,287.54","4,169.53","679.16M","2.05%"
"08/28/2024","4,189.09","4,173.85","4,211.94","4,173.85","497.66M","0.04%"
"08/27/2024","4,187.28","4,206.36","4,210.69","4,176.00","560.09M","-0.83%"
"08/26/2024","4,222.52","4,235.81","4,258.47","4,205.26","504.26M","-0.27%"
"08/23/2024","4,234.01","4,226.67","4,258.84","4,207.46","478.57M","0.21%"
"08/22/2024","4,225.13","4,255.02","4,264.46","4,217.53","474.59M","-0.54%"
"08/21/2024","4,248.00","4,277.24","4,284.45","4,243.40","462.58M","-0.98%"
"08/20/2024","4,290.00","4,370.47","4,371.85","4,270.68","536.73M","-1.88%"
"08/19/2024","4,372.40","4,374.31","4,434.47","4,370.92","485.44M","-0.13%"
"08/16/2024","4,378.28","4,407.35","4,413.61","4,372.25","524.49M","-0.67%"
