TIMESTAMP,FLUXB_OPEN_PRICE_USD,FLUXB_HIGH_PRICE_USD,FLUXB_LOW_PRICE_USD,FLUXB_CLOSE_PRICE_USD,FLUXB_VOLUME_USD,FLUXB_DIVIDENDS_USD,FLUXB_STOCK_SPLITS_USD
2023-11-12 00:00:00+00:00,0.03320100158452988,0.05241699889302254,0.03301500156521797,0.04446899890899658,2694961,0.0,0.0
2023-11-13 00:00:00+00:00,0.04456299915909767,0.05452800169587135,0.022314000874757767,0.0268350001424551,1660061,0.0,0.0
2023-11-14 00:00:00+00:00,0.026758000254631042,0.031245000660419464,0.018319999799132347,0.019650999456644058,888277,0.0,0.0
2023-11-15 00:00:00+00:00,0.01966400071978569,0.04045899957418442,0.019248999655246735,0.0377190001308918,574352,0.0,0.0
2023-11-16 00:00:00+00:00,0.03773999959230423,0.03782600164413452,0.022895999252796173,0.024167999625205994,458820,0.0,0.0
2023-11-17 00:00:00+00:00,0.024159999564290047,0.025839999318122864,0.02058500051498413,0.02230600081384182,731421,0.0,0.0
2023-11-18 00:00:00+00:00,0.02230899967253208,0.02346399985253811,0.01654900051653385,0.017565999180078506,392760,0.0,0.0
2023-11-19 00:00:00+00:00,0.017568999901413918,0.02196599915623665,0.016659999266266823,0.019115999341011047,406804,0.0,0.0
2023-11-20 00:00:00+00:00,0.019114000722765923,0.022317999973893166,0.01465499959886074,0.016367999836802483,496413,0.0,0.0
2023-11-21 00:00:00+00:00,0.016367999836802483,0.01715799979865551,0.012804999947547913,0.01280600018799305,309078,0.0,0.0
2023-11-22 00:00:00+00:00,0.01280600018799305,0.013760999776422977,0.010660000145435333,0.013035999611020088,382623,0.0,0.0
2023-11-23 00:00:00+00:00,0.013035000301897526,0.01384199969470501,0.011234000325202942,0.01129900012165308,281652,0.0,0.0
2023-11-24 00:00:00+00:00,0.011297999881207943,0.012161999940872192,0.010910999961197376,0.011090000160038471,123733,0.0,0.0
2023-11-25 00:00:00+00:00,0.011090000160038471,0.011703000403940678,0.01040400005877018,0.011115999892354012,154993,0.0,0.0
2023-11-26 00:00:00+00:00,0.011115999892354012,0.012897999957203865,0.010989000089466572,0.011427000164985657,111374,0.0,0.0
2023-11-27 00:00:00+00:00,0.011427000164985657,0.012257999740540981,0.010631999932229519,0.01140500046312809,89261,0.0,0.0
2023-11-28 00:00:00+00:00,0.011405999772250652,0.012083999812602997,0.010951999574899673,0.011473000049591064,86039,0.0,0.0
2023-11-29 00:00:00+00:00,0.011475999839603901,0.012633999809622765,0.011435000225901604,0.012524000369012356,153587,0.0,0.0
2023-11-30 00:00:00+00:00,0.012524999678134918,0.020397000014781952,0.012357999570667744,0.020395999774336815,603698,0.0,0.0
2023-12-01 00:00:00+00:00,0.020397000014781952,0.021014999598264694,0.016246000304818153,0.01956699974834919,597182,0.0,0.0
