TIMESTAMP,KANGAL_OPEN_PRICE_USD,KANGAL_HIGH_PRICE_USD,KANGAL_LOW_PRICE_USD,KANGAL_CLOSE_PRICE_USD,KANGAL_VOLUME_USD,KANGAL_DIVIDENDS_USD,KANGAL_STOCK_SPLITS_USD
2021-02-22 00:00:00+00:00,9.999999974752427e-07,6.000000212225132e-06,9.999999974752427e-07,3.000000106112566e-06,101143,0.0,0.0
2021-02-23 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,1.9999999949504854e-06,3.000000106112566e-06,21466,0.0,0.0
2021-02-24 00:00:00+00:00,3.000000106112566e-06,4.999999873689376e-06,3.000000106112566e-06,3.999999989900971e-06,17426,0.0,0.0
2021-02-25 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,2091,0.0,0.0
2021-02-26 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,9.999999974752427e-07,9.999999974752427e-07,9825,0.0,0.0
2021-02-27 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,2459,0.0,0.0
2021-02-28 00:00:00+00:00,1.9999999949504854e-06,7.000000096013537e-06,1.9999999949504854e-06,3.000000106112566e-06,29765,0.0,0.0
2021-03-01 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.999999989900971e-06,6794,0.0,0.0
2021-03-02 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,10470,0.0,0.0
2021-03-03 00:00:00+00:00,3.000000106112566e-06,4.999999873689376e-06,3.000000106112566e-06,3.999999989900971e-06,17304,0.0,0.0
2021-03-04 00:00:00+00:00,3.999999989900971e-06,4.999999873689376e-06,1.9999999949504854e-06,3.999999989900971e-06,41485,0.0,0.0
2021-03-05 00:00:00+00:00,3.999999989900971e-06,4.999999873689376e-06,3.000000106112566e-06,3.999999989900971e-06,21681,0.0,0.0
2021-03-06 00:00:00+00:00,3.999999989900971e-06,8.199999865610152e-05,3.999999989900971e-06,7.100000220816582e-05,2205651,0.0,0.0
2021-03-07 00:00:00+00:00,7.100000220816582e-05,7.899999764049426e-05,3.099999958067201e-05,3.899999865097925e-05,1329184,0.0,0.0
2021-03-08 00:00:00+00:00,3.899999865097925e-05,6.70000008540228e-05,2.499999936844688e-05,4.400000034365803e-05,1086577,0.0,0.0
