TIMESTAMP,DOGGO33297_OPEN_PRICE_USD,DOGGO33297_HIGH_PRICE_USD,DOGGO33297_LOW_PRICE_USD,DOGGO33297_CLOSE_PRICE_USD,DOGGO33297_VOLUME_USD,DOGGO33297_DIVIDENDS_USD,DOGGO33297_STOCK_SPLITS_USD
2024-10-03 00:00:00+00:00,4.600000102072954e-05,4.70000013592653e-05,4.400000034365803e-05,4.400000034365803e-05,5061293,0.0,0.0
2024-10-04 00:00:00+00:00,4.400000034365803e-05,4.5000000682193786e-05,3.199999991920777e-05,3.400000059627928e-05,4916081,0.0,0.0
2024-10-05 00:00:00+00:00,3.400000059627928e-05,4.3000000005122274e-05,2.9000000722589903e-05,3.5000000934815034e-05,5330464,0.0,0.0
2024-10-06 00:00:00+00:00,3.5000000934815034e-05,3.600000127335079e-05,2.099999983329326e-05,2.4000000848900527e-05,5674596,0.0,0.0
2024-10-07 00:00:00+00:00,2.4000000848900527e-05,3.5000000934815034e-05,2.300000051036477e-05,2.700000004551839e-05,5371784,0.0,0.0
2024-10-08 00:00:00+00:00,2.700000004551839e-05,3.600000127335079e-05,2.4000000848900527e-05,2.8000000384054147e-05,4628050,0.0,0.0
2024-10-09 00:00:00+00:00,2.8000000384054147e-05,2.9999999242136255e-05,2.4000000848900527e-05,2.5999999706982635e-05,3456343,0.0,0.0
2024-10-10 00:00:00+00:00,2.5999999706982635e-05,2.700000004551839e-05,1.8999999156221747e-05,1.9999999494757503e-05,3391937,0.0,0.0
2024-10-11 00:00:00+00:00,1.9999999494757503e-05,2.300000051036477e-05,1.5999999959603883e-05,1.9999999494757503e-05,4573981,0.0,0.0
2024-10-12 00:00:00+00:00,1.9999999494757503e-05,2.5999999706982635e-05,1.8999999156221747e-05,1.9999999494757503e-05,3534900,0.0,0.0
2024-10-13 00:00:00+00:00,1.9999999494757503e-05,2.099999983329326e-05,1.8000000636675395e-05,1.8999999156221747e-05,3025014,0.0,0.0
2024-10-14 00:00:00+00:00,1.8999999156221747e-05,1.8999999156221747e-05,1.4999999621068127e-05,1.5999999959603883e-05,3790698,0.0,0.0
2024-10-15 00:00:00+00:00,1.5999999959603883e-05,1.8999999156221747e-05,1.4000000192027073e-05,1.4999999621068127e-05,3271358,0.0,0.0
2024-10-16 00:00:00+00:00,1.4999999621068127e-05,1.8999999156221747e-05,1.2999999853491317e-05,1.700000029813964e-05,3755269,0.0,0.0
2024-10-17 00:00:00+00:00,1.700000029813964e-05,2.099999983329326e-05,1.4000000192027073e-05,1.4999999621068127e-05,3291527,0.0,0.0
2024-10-18 00:00:00+00:00,1.4999999621068127e-05,1.8000000636675395e-05,1.2999999853491317e-05,1.2999999853491317e-05,2897790,0.0,0.0
