TIMESTAMP,DOGGO_OPEN_PRICE_USD,DOGGO_HIGH_PRICE_USD,DOGGO_LOW_PRICE_USD,DOGGO_CLOSE_PRICE_USD,DOGGO_VOLUME_USD,DOGGO_DIVIDENDS_USD,DOGGO_STOCK_SPLITS_USD
2023-01-13 00:00:00+00:00,,,,0.0,567920,0.0,0.0
2023-01-14 00:00:00+00:00,,,,0.0,199384,0.0,0.0
2023-01-15 00:00:00+00:00,,,,0.0,1584229,0.0,0.0
2023-01-16 00:00:00+00:00,,,,0.0,661802,0.0,0.0
2023-01-17 00:00:00+00:00,,,,0.0,711087,0.0,0.0
2023-01-18 00:00:00+00:00,,,,0.0,563214,0.0,0.0
2023-01-19 00:00:00+00:00,,,,0.0,652024,0.0,0.0
2023-01-20 00:00:00+00:00,,,,0.0,261991,0.0,0.0
2023-01-21 00:00:00+00:00,,,,0.0,138545,0.0,0.0
2023-01-22 00:00:00+00:00,,,,0.0,153022,0.0,0.0
2023-01-23 00:00:00+00:00,,,,0.0,248283,0.0,0.0
2023-01-24 00:00:00+00:00,,,,0.0,1060291,0.0,0.0
2023-01-25 00:00:00+00:00,,,,0.0,1704354,0.0,0.0
2023-01-26 00:00:00+00:00,,,,0.0,2898215,0.0,0.0
2023-01-27 00:00:00+00:00,,,,0.0,437177,0.0,0.0
2023-01-28 00:00:00+00:00,,,,0.0,854454,0.0,0.0
2023-01-29 00:00:00+00:00,,,,0.0,332091,0.0,0.0
2023-01-30 00:00:00+00:00,,,,0.0,364036,0.0,0.0
2023-01-31 00:00:00+00:00,,,,0.0,499439,0.0,0.0
2023-02-01 00:00:00+00:00,,,,0.0,1282337,0.0,0.0
2023-02-02 00:00:00+00:00,,,,0.0,713812,0.0,0.0
2023-02-03 00:00:00+00:00,,,,0.0,461479,0.0,0.0
2023-02-04 00:00:00+00:00,,,,0.0,370801,0.0,0.0
2023-02-05 00:00:00+00:00,,,,0.0,609994,0.0,0.0
2023-02-06 00:00:00+00:00,,,,0.0,325431,0.0,0.0
2023-02-07 00:00:00+00:00,,,,0.0,398771,0.0,0.0
2023-02-08 00:00:00+00:00,,,,0.0,525423,0.0,0.0
2023-02-09 00:00:00+00:00,,,,0.0,582468,0.0,0.0
2023-02-10 00:00:00+00:00,,,,0.0,450984,0.0,0.0
2023-02-11 00:00:00+00:00,,,,0.0,547178,0.0,0.0
2023-02-12 00:00:00+00:00,,,,0.0,387412,0.0,0.0
2023-02-13 00:00:00+00:00,,,,0.0,511889,0.0,0.0
2023-02-14 00:00:00+00:00,,,,0.0,455686,0.0,0.0
2023-02-15 00:00:00+00:00,,,,0.0,614425,0.0,0.0
2023-02-16 00:00:00+00:00,,,,0.0,640920,0.0,0.0
2023-02-17 00:00:00+00:00,,,,0.0,482152,0.0,0.0
2023-02-18 00:00:00+00:00,,,,0.0,508125,0.0,0.0
2023-02-19 00:00:00+00:00,,,,0.0,429688,0.0,0.0
2023-02-20 00:00:00+00:00,,,,0.0,345422,0.0,0.0
2023-02-21 00:00:00+00:00,,,,0.0,429047,0.0,0.0
2023-02-22 00:00:00+00:00,,,,0.0,439040,0.0,0.0
2023-02-23 00:00:00+00:00,,,,0.0,442903,0.0,0.0
2023-02-24 00:00:00+00:00,,,,0.0,496311,0.0,0.0
2023-02-25 00:00:00+00:00,,,,0.0,259842,0.0,0.0
2023-02-26 00:00:00+00:00,,,,0.0,443875,0.0,0.0
2023-02-27 00:00:00+00:00,,,,0.0,466104,0.0,0.0
2023-02-28 00:00:00+00:00,,,,0.0,448696,0.0,0.0
2023-03-01 00:00:00+00:00,,,,0.0,504115,0.0,0.0
2023-03-02 00:00:00+00:00,,,,0.0,462136,0.0,0.0
2023-03-03 00:00:00+00:00,,,,0.0,476651,0.0,0.0
2023-03-04 00:00:00+00:00,,,,0.0,329609,0.0,0.0
2023-03-05 00:00:00+00:00,,,,0.0,314173,0.0,0.0
2023-03-06 00:00:00+00:00,,,,0.0,587351,0.0,0.0
2023-03-07 00:00:00+00:00,,,,0.0,637714,0.0,0.0
2023-03-08 00:00:00+00:00,,,,0.0,474101,0.0,0.0
2023-03-09 00:00:00+00:00,,,,0.0,268690,0.0,0.0
2023-03-10 00:00:00+00:00,,,,0.0,310089,0.0,0.0
2023-03-11 00:00:00+00:00,,,,0.0,237075,0.0,0.0
2023-03-12 00:00:00+00:00,,,,0.0,253938,0.0,0.0
2023-03-13 00:00:00+00:00,,,,0.0,223854,0.0,0.0
2023-03-14 00:00:00+00:00,,,,0.0,129047,0.0,0.0
2023-03-15 00:00:00+00:00,,,,0.0,229407,0.0,0.0
2023-03-16 00:00:00+00:00,,,,0.0,253908,0.0,0.0
