TIMESTAMP,MEMEME_OPEN_PRICE_USD,MEMEME_HIGH_PRICE_USD,MEMEME_LOW_PRICE_USD,MEMEME_CLOSE_PRICE_USD,MEMEME_VOLUME_USD,MEMEME_DIVIDENDS_USD,MEMEME_STOCK_SPLITS_USD
2023-04-20 00:00:00+00:00,8.600000001024455e-05,9.999999747378752e-05,1.1000000085914508e-05,1.9999999494757503e-05,42975825,0.0,0.0
2023-04-21 00:00:00+00:00,1.9999999494757503e-05,4.999999873689376e-05,1.4000000192027073e-05,2.5999999706982635e-05,35177883,0.0,0.0
2023-04-22 00:00:00+00:00,2.5999999706982635e-05,3.9999998989515007e-05,2.2000000171829015e-05,2.4000000848900527e-05,2699230,0.0,0.0
2023-04-23 00:00:00+00:00,2.4000000848900527e-05,2.9000000722589903e-05,1.4999999621068127e-05,1.8000000636675395e-05,2195103,0.0,0.0
2023-04-24 00:00:00+00:00,1.8000000636675395e-05,2.2000000171829015e-05,1.2000000424450263e-05,1.2999999853491317e-05,1094471,0.0,0.0
2023-04-25 00:00:00+00:00,1.2999999853491317e-05,1.4000000192027073e-05,1.2000000424450263e-05,1.2000000424450263e-05,785967,0.0,0.0
2023-04-26 00:00:00+00:00,1.2000000424450263e-05,1.4000000192027073e-05,9.000000318337698e-06,1.1000000085914508e-05,926361,0.0,0.0
2023-04-27 00:00:00+00:00,1.1000000085914508e-05,1.1000000085914508e-05,7.999999979801942e-06,7.999999979801942e-06,745784,0.0,0.0
2023-04-28 00:00:00+00:00,7.999999979801942e-06,9.000000318337698e-06,4.999999873689376e-06,4.999999873689376e-06,605857,0.0,0.0
2023-04-29 00:00:00+00:00,4.999999873689376e-06,9.000000318337698e-06,3.999999989900971e-06,7.000000096013537e-06,920072,0.0,0.0
2023-04-30 00:00:00+00:00,7.000000096013537e-06,1.2999999853491317e-05,7.000000096013537e-06,9.000000318337698e-06,1456072,0.0,0.0
2023-05-01 00:00:00+00:00,9.000000318337698e-06,1.5999999959603883e-05,9.000000318337698e-06,1.4999999621068127e-05,2189387,0.0,0.0
2023-05-02 00:00:00+00:00,1.4999999621068127e-05,4.400000034365803e-05,1.4000000192027073e-05,3.7000001611886546e-05,5888789,0.0,0.0
2023-05-03 00:00:00+00:00,3.7000001611886546e-05,5.500000042957254e-05,1.9999999494757503e-05,2.099999983329326e-05,3715029,0.0,0.0
2023-05-04 00:00:00+00:00,2.099999983329326e-05,3.300000025774352e-05,1.4999999621068127e-05,2.700000004551839e-05,3186572,0.0,0.0
2023-05-05 00:00:00+00:00,2.700000004551839e-05,3.899999865097925e-05,2.099999983329326e-05,2.300000051036477e-05,2871446,0.0,0.0
2023-05-06 00:00:00+00:00,2.300000051036477e-05,3.400000059627928e-05,1.700000029813964e-05,2.8000000384054147e-05,3286322,0.0,0.0
2023-05-07 00:00:00+00:00,2.8000000384054147e-05,3.400000059627928e-05,1.8999999156221747e-05,1.8999999156221747e-05,2285458,0.0,0.0
2023-05-08 00:00:00+00:00,1.8999999156221747e-05,1.9999999494757503e-05,1.2000000424450263e-05,1.2999999853491317e-05,1498126,0.0,0.0
2023-05-09 00:00:00+00:00,1.2999999853491317e-05,1.9999999494757503e-05,1.2000000424450263e-05,1.2999999853491317e-05,1643780,0.0,0.0
2023-05-10 00:00:00+00:00,1.2999999853491317e-05,6.500000017695129e-05,1.2999999853491317e-05,5.0999999075429514e-05,13982834,0.0,0.0
2023-05-11 00:00:00+00:00,5.0999999075429514e-05,0.00010699999984353781,2.700000004551839e-05,3.199999991920777e-05,16780302,0.0,0.0
2023-05-12 00:00:00+00:00,3.199999991920777e-05,3.300000025774352e-05,1.5999999959603883e-05,2.5999999706982635e-05,3750737,0.0,0.0
2023-05-13 00:00:00+00:00,2.5999999706982635e-05,2.9000000722589903e-05,2.099999983329326e-05,2.300000051036477e-05,2478276,0.0,0.0
2023-05-14 00:00:00+00:00,2.300000051036477e-05,2.8000000384054147e-05,2.2000000171829015e-05,2.300000051036477e-05,2266003,0.0,0.0
2023-05-15 00:00:00+00:00,2.300000051036477e-05,3.7000001611886546e-05,2.2000000171829015e-05,2.300000051036477e-05,2634702,0.0,0.0
2023-05-16 00:00:00+00:00,2.300000051036477e-05,2.700000004551839e-05,2.2000000171829015e-05,2.2000000171829015e-05,2178821,0.0,0.0
