TIMESTAMP,AFC28979_OPEN_PRICE_USD,AFC28979_HIGH_PRICE_USD,AFC28979_LOW_PRICE_USD,AFC28979_CLOSE_PRICE_USD,AFC28979_VOLUME_USD,AFC28979_DIVIDENDS_USD,AFC28979_STOCK_SPLITS_USD
2024-01-09 00:00:00+00:00,5.2999999752501026e-05,5.2999999752501026e-05,5.0999999075429514e-05,5.0999999075429514e-05,6336,0.0,0.0
2024-01-10 00:00:00+00:00,5.0999999075429514e-05,5.500000042957254e-05,5.0999999075429514e-05,5.500000042957254e-05,41750,0.0,0.0
2024-01-11 00:00:00+00:00,5.500000042957254e-05,5.700000110664405e-05,5.400000009103678e-05,5.500000042957254e-05,39845,0.0,0.0
2024-01-12 00:00:00+00:00,5.500000042957254e-05,5.6000000768108293e-05,5.2999999752501026e-05,5.2999999752501026e-05,38541,0.0,0.0
2024-01-13 00:00:00+00:00,5.2999999752501026e-05,5.400000009103678e-05,5.2999999752501026e-05,5.400000009103678e-05,15472,0.0,0.0
2024-01-14 00:00:00+00:00,5.400000009103678e-05,5.400000009103678e-05,5.2999999752501026e-05,5.2999999752501026e-05,5644,0.0,0.0
2024-01-15 00:00:00+00:00,5.2999999752501026e-05,5.8000001445179805e-05,5.2999999752501026e-05,5.700000110664405e-05,49457,0.0,0.0
2024-01-16 00:00:00+00:00,5.700000110664405e-05,5.700000110664405e-05,5.500000042957254e-05,5.500000042957254e-05,36746,0.0,0.0
2024-01-17 00:00:00+00:00,5.500000042957254e-05,5.500000042957254e-05,5.400000009103678e-05,5.500000042957254e-05,22690,0.0,0.0
2024-01-18 00:00:00+00:00,5.500000042957254e-05,5.6000000768108293e-05,5.199999941396527e-05,5.2999999752501026e-05,58777,0.0,0.0
2024-01-19 00:00:00+00:00,5.2999999752501026e-05,5.700000110664405e-05,5.199999941396527e-05,5.6000000768108293e-05,63249,0.0,0.0
2024-01-20 00:00:00+00:00,5.6000000768108293e-05,5.8000001445179805e-05,5.500000042957254e-05,5.8000001445179805e-05,31129,0.0,0.0
2024-01-21 00:00:00+00:00,5.8000001445179805e-05,6.500000017695129e-05,5.8000001445179805e-05,6.399999983841553e-05,177238,0.0,0.0
2024-01-22 00:00:00+00:00,6.399999983841553e-05,6.399999983841553e-05,5.999999848427251e-05,6.0999998822808266e-05,24084,0.0,0.0
2024-01-23 00:00:00+00:00,6.0999998822808266e-05,6.199999916134402e-05,5.8000001445179805e-05,5.8000001445179805e-05,15057,0.0,0.0
2024-01-24 00:00:00+00:00,5.8000001445179805e-05,5.999999848427251e-05,5.8000001445179805e-05,5.900000178371556e-05,32279,0.0,0.0
2024-01-25 00:00:00+00:00,5.900000178371556e-05,5.900000178371556e-05,5.500000042957254e-05,5.500000042957254e-05,49296,0.0,0.0
2024-01-26 00:00:00+00:00,5.500000042957254e-05,5.6000000768108293e-05,4.600000102072954e-05,4.600000102072954e-05,89365,0.0,0.0
2024-01-27 00:00:00+00:00,4.600000102072954e-05,4.600000102072954e-05,2.8000000384054147e-05,3.300000025774352e-05,290301,0.0,0.0
