TIMESTAMP,AR_OPEN_PRICE_USD,AR_HIGH_PRICE_USD,AR_LOW_PRICE_USD,AR_CLOSE_PRICE_USD
2020-06-16,1.256,1.334,1.256,1.329
2020-06-17,1.329,1.343,1.32,1.343
2020-06-18,1.343,1.343,1.281,1.282
2020-06-19,1.282,1.843,1.173,1.569
2020-06-20,1.569,1.593,1.413,1.424
2020-06-21,1.424,1.84,1.404,1.745
2020-06-22,1.745,1.935,1.745,1.771
2020-06-23,1.771,1.838,1.649,1.744
2020-06-24,1.744,1.744,1.597,1.645
2020-06-25,1.645,1.696,1.636,1.695
2020-06-26,1.695,1.695,1.564,1.564
2020-06-27,1.564,1.592,1.461,1.581
2020-06-28,1.581,1.601,1.473,1.497
2020-06-29,1.497,1.527,1.446,1.446
2020-06-30,1.446,1.636,1.412,1.446
2020-07-01,1.446,1.478,1.386,1.391
2020-07-02,1.391,1.601,1.366,1.51
2020-07-03,1.51,1.705,1.506,1.628
2020-07-04,1.628,1.719,1.628,1.688
2020-07-05,1.688,1.707,1.66,1.666
2020-07-06,1.666,1.757,1.666,1.748
2020-07-07,1.748,1.748,1.602,1.639
2020-07-08,1.639,1.672,1.548,1.549
2020-07-09,1.549,1.549,1.432,1.469
2020-07-10,1.469,1.673,1.469,1.641
2020-07-11,1.641,1.729,1.566,1.58
2020-07-12,1.58,1.59,1.442,1.492
2020-07-13,1.492,1.64,1.46,1.548
2020-07-14,1.548,1.569,1.512,1.562
2020-07-15,1.562,1.676,1.552,1.631
2020-07-16,1.631,1.665,1.552,1.607
2020-07-17,1.607,1.655,1.557,1.615
2020-07-18,1.615,1.678,1.608,1.671
2020-07-19,1.671,1.687,1.661,1.687
2020-07-20,1.687,1.769,1.677,1.761
2020-07-21,1.761,1.805,1.597,1.665
2020-07-22,1.665,1.691,1.584,1.609
2020-07-23,1.609,1.673,1.569,1.652
2020-07-24,1.652,1.798,1.639,1.721
2020-07-25,1.721,1.796,1.686,1.712
2020-07-26,1.712,1.799,1.651,1.727
2020-07-27,1.727,1.918,1.639,1.641
2020-07-28,1.641,1.651,1.546,1.613
2020-07-29,1.613,1.659,1.389,1.518
2020-07-30,1.518,1.649,1.518,1.599
2020-07-31,1.599,1.634,1.419,1.451
2020-08-01,1.451,1.636,1.451,1.557
2020-08-02,1.557,1.572,1.45,1.554
2020-08-03,1.554,1.578,1.502,1.513
2020-08-04,1.513,1.541,1.508,1.534
2020-08-05,1.534,1.622,1.534,1.55
2020-08-06,1.55,1.667,1.55,1.661
2020-08-07,1.661,2.173,1.623,1.745
2020-08-08,1.745,1.836,1.702,1.769
2020-08-09,1.769,2.303,1.756,2.252
2020-08-10,2.252,2.312,1.823,2.228
2020-08-11,2.228,2.274,2.108,2.168
2020-08-12,2.168,2.311,2.168,2.264
2020-08-13,2.264,2.541,2.231,2.541
2020-08-14,2.541,3.264,2.484,3.085
2020-08-15,3.085,3.288,2.784,3.045
2020-08-16,3.045,3.554,3.045,3.429
2020-08-17,3.429,3.934,3.429,3.54
2020-08-18,3.54,3.624,3.348,3.548
2020-08-19,3.548,3.558,2.931,3.238
2020-08-20,3.238,3.355,3.2,3.213
2020-08-21,3.213,3.213,2.575,2.79
2020-08-22,2.79,3.863,2.744,3.36
2020-08-23,3.36,3.414,3.186,3.414
2020-08-24,3.414,4.336,3.414,4.336
2020-08-25,4.336,4.336,2.743,3.958
2020-08-26,3.958,5.096,3.922,4.978
2020-08-27,4.978,5.584,4.75,5.169
2020-08-28,5.169,5.768,5.169,5.621
2020-08-29,5.621,7.59,5.594,7.141
2020-08-30,7.141,7.48,6.444,6.548
2020-08-31,6.548,6.686,5.36,5.748
2020-09-01,5.748,7.687,5.748,6.798
2020-09-02,6.798,6.839,4.98,6.491
2020-09-03,6.491,6.491,4.959,4.959
2020-09-04,4.959,6.49,4.959,6.28
2020-09-05,6.28,6.355,4.466,4.644
2020-09-06,4.644,5.715,3.547,5.002
2020-09-07,5.002,5.679,4.348,4.733
2020-09-08,4.733,4.742,4.232,4.478
2020-09-09,4.478,5.467,4.306,4.84
2020-09-10,4.84,4.935,4.586,4.605
2020-09-11,4.605,4.628,4.169,4.471
2020-09-12,4.471,4.597,4.2,4.44
2020-09-13,4.44,4.96,4.185,4.319
2020-09-14,4.319,5.126,4.27,4.407
2020-09-15,4.407,4.681,3.865,3.865
2020-09-16,3.865,4.072,3.508,3.725
2020-09-17,3.725,3.785,3.349,3.552
2020-09-18,3.552,3.632,3.549,3.566
2020-09-19,3.566,3.651,3.566,3.642
2020-09-20,3.642,3.648,3.561,3.561
2020-09-21,3.561,3.561,2.921,2.949
2020-09-22,2.949,3.048,2.651,2.929
2020-09-23,2.929,3.153,2.846,3.057
2020-09-24,3.057,3.208,2.826,2.876
2020-09-25,2.876,2.876,2.863,2.863
2020-09-26,2.863,2.874,2.863,2.874
2020-09-27,2.874,2.886,2.874,2.886
2020-09-28,2.886,5.05,2.815,3.731
2020-09-29,3.731,5.204,3.731,4.756
2020-09-30,4.756,5.913,3.927,4.809
2020-10-01,4.809,4.809,4.145,4.181
2020-10-02,4.181,4.432,3.702,4.428
2020-10-03,4.428,4.465,4.149,4.172
2020-10-04,4.172,4.224,4.153,4.167
2020-10-05,4.167,4.31,4.118,4.133
