,LTC,Lag
KOBO,1.2527397269179251e-13,13
VEC2,3.784254843849187e-11,29
OPAL,2.9228105887821624e-10,1
XEM,7.45247991495126e-10,14
LTCR,2.0209579119689368e-09,29
WC,2.158104822209161e-09,23
IBANK,2.265191267580742e-09,14
CETI,5.612875091578165e-09,30
NOBL,8.394688810675853e-09,26
MONA,6.95642232477148e-08,23
UNIT,1.3350730953609833e-06,14
RRT,1.930018795095639e-06,30
WYZ,2.239957885499272e-06,30
GAS,5.559139361687148e-06,3
ZEN,6.4899530364401785e-06,27
QTUM,8.24319343801872e-06,20
ACES,1.1505477215669226e-05,26
ARK,1.2441005220628283e-05,8
PIVX,2.659488084767302e-05,1
OZO,3.0056837398500255e-05,26
XTO,3.266244110330072e-05,23
ZCL,7.32068101578626e-05,1
GNO,9.972697334729468e-05,18
XMR,0.0001058875403349,14
DOGE,0.0001159088024445,20
LSK,0.0001350984176858,7
KMD,0.0001476920469805,8
USDT,0.0001496361178869,14
C2,0.0001711304150029,21
RBT,0.0001855180569022,24
EVIL,0.000200876623725,22
ICON,0.0002179166067034,4
QBC,0.0002248953619383,9
ETH,0.0002300866740116,29
XWC,0.0003135416880781,20
PPC,0.0003208235664684,13
WBB,0.0003403995288912,30
ENT,0.0003868378323296,29
HBD,0.0004083424539883,30
IMS,0.0005004606867006,22
SC,0.0005236705451719,29
XMS,0.0005367816438952,25
BTB,0.0005656919972529,28
DCR,0.0005936998805588,17
TAJ,0.0005976263983174,6
ZUR,0.0006848685130992,30
SPR,0.0009254593254247,6
PXI,0.0010641131248757,29
VTC,0.0011753225841997,20
DEM,0.0012639561506781,2
VLT,0.0014272623681529,28
XRP,0.0015867289248932,1
BTC,0.0018351193603461,12
SWIFT,0.0022371923659788,1
ZEC,0.0023663848800528,1
FRC,0.0025907092422424,12
SWING,0.0027090886005956,12
PHR,0.0027189649829542,28
ARGUS,0.0030410846023198,9
IOTA,0.0030651575578749,25
SKULL,0.0030890425493124,26
CJ,0.0032604100231105,17
FRN,0.003287555588866,3
MAID,0.0034998176624791,1
BLK,0.0036387308935578,23
DCT,0.0038477696522859,3
XHI,0.0041136485694385,24
ADC,0.004582987714999,4
JLP,0.0046336480757792,29
BITS,0.0052549220047354,20
ETC,0.0054173165076093,2
STEEM,0.00695888978088,5
FIRO,0.0074765274198287,1
EUC,0.0077542676985765,1
SKR,0.0077830924248872,27
ZOOM,0.0082178919094776,28
WAVES,0.0085984091400763,9
MOTO,0.00954334488952,15
XLM,0.0100339954927709,7
NMC,0.0102453402676461,19
DASH,0.011324881054569,30
ZET,0.0119844277778623,29
NXS,0.012593811268124,25
GRS,0.0129332262059785,28
FOREX,0.0133893301698914,24
IRL,0.0138703200469224,30
CARBON,0.0145987331113121,3
TRST,0.0155960139331627,26
SILK,0.0158957769678878,3
SYS,0.0163436480617956,17
XPY,0.0168724897824467,3
IFC,0.0171145370897161,30
LOG,0.0176474567701622,3
VIDZ,0.0177778356648126,18
POST,0.0182680884255874,11
MAY,0.0183279621973685,20
PZM,0.0192335261748588,3
TECH,0.0196883565155843,18
AMBER,0.0203423885722971,29
PXC,0.020884290112706,25
BLU,0.0241005090943768,11
VAL,0.0242916649145275,23
2GIVE,0.0267688846650038,4
BCDN,0.0295401635407894,6
BTS,0.0299937512030987,9
RLC,0.0305376351309159,3
MST,0.0312443323667423,1
DCY,0.0322383901805741,2
LMC,0.0333642119543135,26
CAB,0.0342655638081849,30
MCN,0.0362709183969495,7
PLU,0.0383100387594672,10
CREVA,0.0403057475243909,10
KURT,0.0430030929235449,30
AE,0.0448501773526735,21
WGR,0.0455827426924271,26
ALIAS,0.0465747514767247,30
ACOIN,0.0475146322498348,5
SNRG,0.0475634198506738,19
LAMB,0.0515297420076937,1
BCN,0.0533321579383115,7
CNT,0.0539785520186637,30
POT,0.0541841537295646,3
NETKO,0.0565253579084253,14
COOL,0.0578968850941483,30
ZYD,0.0594123790476072,16
AV,0.0596103023553439,28
CLUB,0.0640434984987016,21
BLAZR,0.0673167093441223,3
XPX,0.0690114910687502,4
MNTC,0.0696778762617292,2
NEWB,0.0706108536913268,28
PKB,0.0733497035952495,2
NXT,0.0752586027358444,1
START,0.0781014601159,30
AXIOM,0.0824504565441419,29
ANT,0.0826317528022917,8
TAB,0.0858100893910055,2
ZENI,0.0910365007271603,5
BTCS,0.0918746148279145,25
LUNC,0.0940848237168047,5
BAT,0.0942970193003555,1
42,0.0991471817028822,1
EQB,0.1007812241309279,19
BSTY,0.1046638137682349,11
AGRS,0.106090280101084,15
CLAM,0.1077963368154623,2
EFL,0.1126581267713173,26
CSC,0.1161260913268602,20
KIN,0.118442817515129,12
GLC,0.1190537890223103,1
BS,0.119099171394054,1
ILC,0.1225515579729907,21
GBYTE,0.1265334414579682,6
XDN,0.1281096136352457,3
NAV,0.128398149906335,6
PAK,0.1297100589656366,28
BERN,0.1310068462262763,9
ADZ,0.1322561031271614,20
CYT,0.1347372084221005,3
FTC,0.1349464850869669,1
CF,0.1367046950108914,2
QTZ,0.137089380306743,1
