TIMESTAMP,DRAGGY_OPEN_PRICE_USD,DRAGGY_HIGH_PRICE_USD,DRAGGY_LOW_PRICE_USD,DRAGGY_CLOSE_PRICE_USD,DRAGGY_VOLUME_USD,DRAGGY_DIVIDENDS_USD,DRAGGY_STOCK_SPLITS_USD
2024-06-25 00:00:00+00:00,,,,0.0,411443,0.0,0.0
2024-06-26 00:00:00+00:00,,,,0.0,697002,0.0,0.0
2024-06-27 00:00:00+00:00,,,,0.0,866133,0.0,0.0
2024-06-28 00:00:00+00:00,,,,0.0,552717,0.0,0.0
2024-06-29 00:00:00+00:00,,,,0.0,318491,0.0,0.0
2024-06-30 00:00:00+00:00,,,,0.0,525221,0.0,0.0
2024-07-01 00:00:00+00:00,,,,0.0,379383,0.0,0.0
2024-07-02 00:00:00+00:00,,,,0.0,5213907,0.0,0.0
2024-07-03 00:00:00+00:00,,,,0.0,2946357,0.0,0.0
2024-07-04 00:00:00+00:00,,,,0.0,1912550,0.0,0.0
2024-07-05 00:00:00+00:00,,,,0.0,992280,0.0,0.0
2024-07-06 00:00:00+00:00,,,,0.0,1671831,0.0,0.0
2024-07-07 00:00:00+00:00,,,,0.0,1392323,0.0,0.0
2024-07-08 00:00:00+00:00,,,,0.0,1237841,0.0,0.0
2024-07-09 00:00:00+00:00,,,,0.0,2261439,0.0,0.0
2024-07-10 00:00:00+00:00,,,,0.0,1970123,0.0,0.0
2024-07-11 00:00:00+00:00,,,,0.0,1205567,0.0,0.0
2024-07-12 00:00:00+00:00,,,,0.0,2881064,0.0,0.0
2024-07-13 00:00:00+00:00,,,,0.0,2610843,0.0,0.0
2024-07-14 00:00:00+00:00,,,,0.0,1146723,0.0,0.0
2024-07-15 00:00:00+00:00,,,,0.0,1096828,0.0,0.0
2024-07-16 00:00:00+00:00,,,,0.0,1497547,0.0,0.0
2024-07-17 00:00:00+00:00,,,,0.0,1194506,0.0,0.0
2024-07-18 00:00:00+00:00,,,,0.0,727960,0.0,0.0
2024-07-19 00:00:00+00:00,,,,0.0,677802,0.0,0.0
2024-07-20 00:00:00+00:00,,,,0.0,551775,0.0,0.0
2024-07-21 00:00:00+00:00,,,,0.0,664844,0.0,0.0
2024-07-22 00:00:00+00:00,,,,0.0,604394,0.0,0.0
2024-07-23 00:00:00+00:00,,,,0.0,837992,0.0,0.0
2024-07-24 00:00:00+00:00,,,,0.0,439874,0.0,0.0
2024-07-25 00:00:00+00:00,,,,0.0,681180,0.0,0.0
2024-07-26 00:00:00+00:00,,,,0.0,734798,0.0,0.0
2024-07-27 00:00:00+00:00,,,,0.0,562662,0.0,0.0
2024-07-28 00:00:00+00:00,,,,0.0,761743,0.0,0.0
2024-07-29 00:00:00+00:00,,,,0.0,564926,0.0,0.0
2024-07-30 00:00:00+00:00,,,,0.0,719989,0.0,0.0
2024-07-31 00:00:00+00:00,,,,0.0,671645,0.0,0.0
2024-08-01 00:00:00+00:00,,,,0.0,374512,0.0,0.0
2024-08-02 00:00:00+00:00,,,,0.0,407023,0.0,0.0
2024-08-03 00:00:00+00:00,,,,0.0,405670,0.0,0.0
2024-08-04 00:00:00+00:00,,,,0.0,373222,0.0,0.0
2024-08-05 00:00:00+00:00,,,,0.0,439449,0.0,0.0
2024-08-06 00:00:00+00:00,,,,0.0,595802,0.0,0.0
