,K,Alpha,Tau,MSE
0,9,500,0.3,0.2335110941670487
1,9,500,0.25,0.23351628645877046
2,7,250,0.3,0.23352242302632534
3,9,250,0.3,0.23352280479338935
4,10,500,0.3,0.2335243672208042
5,8,250,0.3,0.23352477410956707
6,7,250,0.25,0.23352837095703333
7,9,250,0.25,0.23352899889397938
8,10,500,0.25,0.23353058508465088
9,8,250,0.25,0.2335312379328634
10,10,500,0.2,0.23353632465335397
11,7,250,0.2,0.23353924477646135
12,9,250,0.2,0.23354021010310377
13,8,250,0.2,0.23354287196266554
14,6,250,0.3,0.2335570955675772
15,7,250,0.15,0.2335628430655307
16,9,250,0.15,0.23356412503801002
17,8,250,0.15,0.23356767751966695
18,10,250,0.3,0.23360161788953826
19,12,750,0.3,0.23362618370426733
20,7,250,0.1,0.23363317955000776
21,9,250,0.1,0.23363592813667045
22,12,750,0.25,0.23363656492782722
23,10,250,0.25,0.2336387978958495
24,8,250,0.1,0.23363895419631586
25,10,250,0.2,0.23370461805124176
26,12,750,0.2,0.23382648628602457
27,10,250,0.15,0.23384096439574298
28,11,250,0.3,0.23389477103253256
29,12,1000,0.3,0.23393167142880691
30,11,250,0.25,0.23405987558669974
31,10,250,0.1,0.2342138001226579
32,11,250,0.2,0.23436314747343734
33,9,250,0.05,0.23451263103713865
34,13,1000,0.3,0.23484862635561962
35,11,250,0.15,0.2350237944264248
36,13,1000,0.25,0.23511952572430242
37,13,1000,0.2,0.23608540987468313
38,13,750,0.3,0.23608997818643665
39,14,250,0.3,0.23619295696676068
40,10,250,0.05,0.23622820391214247
41,6,250,0.25,0.23630528080462568
42,15,250,0.3,0.23680361733385014
43,13,750,0.25,0.23690605671227738
44,11,250,0.1,0.23697755040409765
45,8,250,0.05,0.23718755785887938
46,12,250,0.3,0.2372902785256467
47,14,250,0.25,0.2373891981071706
48,13,1250,0.3,0.23764592854076486
49,14,750,0.3,0.23808684412315168
50,13,750,0.2,0.23830717873501722
51,15,250,0.25,0.23836930987423452
52,12,250,0.25,0.23875802232716703
53,15,1250,0.3,0.23916396292742045
54,14,250,0.2,0.23963558297025084
55,7,250,0.05,0.23967454933436344
56,14,750,0.25,0.2400225068470842
57,13,250,0.3,0.24027089441570107
58,13,750,0.15,0.24112139198585097
59,12,250,0.2,0.24137002252321213
60,15,250,0.2,0.24139177923660013
61,15,1250,0.25,0.24337165276606834
62,15,1000,0.15,0.24345579255807562
63,13,250,0.25,0.2435377016723241
64,14,750,0.2,0.2437827596721679
65,15,1000,0.1,0.2441099103350086
66,14,250,0.15,0.2446877823786881
67,15,750,0.3,0.24612630737693217
68,14,1000,0.3,0.24628391204642783
69,12,750,0.15,0.24664783020970418
70,12,250,0.15,0.2468784634435733
71,15,500,0.3,0.2479239765062975
72,15,250,0.15,0.24838919783087574
73,13,250,0.2,0.24980765200453733
74,11,250,0.05,0.25092925931730536
75,13,500,0.3,0.2510143851920023
76,13,750,0.1,0.25194244888646067
77,12,500,0.3,0.25269854192800495
78,15,500,0.25,0.25311353111095564
79,14,750,0.15,0.2536394799826173
80,15,1250,0.2,0.25603806348674224
81,15,1000,0.2,0.25656073590455725
82,13,1000,0.15,0.25658452403348714
83,13,500,0.25,0.2587094553496234
84,12,500,0.25,0.25954743197684427
85,14,250,0.1,0.26044247557722044
86,14,500,0.3,0.26099320344668275
87,14,500,0.25,0.26187425609728315
88,15,500,0.2,0.2618885708345902
89,12,250,0.1,0.26300071836313016
90,13,250,0.15,0.2641120610946273
91,15,750,0.25,0.2670148169015361
92,9,500,0.2,0.26997082238892023
93,15,250,0.1,0.2703224446114355
94,11,500,0.2,0.27067110202949807
95,12,500,0.2,0.2715947540780997
96,14,500,0.2,0.2716552423188772
97,13,500,0.2,0.2730945086185302
98,11,500,0.3,0.2756513259720664
99,15,500,0.15,0.2795290185945571
100,15,1000,0.25,0.2868872222447155
101,14,500,0.15,0.2933807929125242
102,15,1500,0.3,0.2974340621877958
103,12,500,0.15,0.29804157767409223
104,10,500,0.15,0.2997597661146247
105,13,500,0.15,0.3040382144236033
106,13,250,0.1,0.306508182606337
107,11,500,0.25,0.3109337453505558
108,14,1250,0.3,0.3129447077206351
109,14,750,0.1,0.3292294674951075
110,15,500,0.1,0.33071827652325547
111,8,500,0.3,0.33082898017552603
112,14,250,0.05,0.3539553166443052
113,14,500,0.1,0.35398432445751854
114,12,1000,0.25,0.3553314866567937
115,12,250,0.05,0.3667966731758132
116,14,1000,0.25,0.38029177313336504
117,15,250,0.05,0.3809961079473898
118,13,500,0.1,0.38966421901932907
119,12,500,0.1,0.3897525153413643
120,13,750,0.05,0.3938403252474308
121,14,1000,0.15,0.40679972359862
122,15,1000,0.3,0.42245185981503297
123,15,1000,0.05,0.43477490885101483
124,14,1250,0.25,0.45228364156353956
125,13,250,0.05,0.4829822413400821
126,11,500,0.15,0.559545387079214
127,15,750,0.2,0.5743621191047386
128,15,1500,0.2,0.6108749420625988
129,13,1250,0.25,0.6332926398601173
130,14,1500,0.25,0.6429778690848986
131,15,500,0.05,0.6730070530353822
