,K,Alpha,Tau,MSE
0,9,500,0.3,0.23351030077481463
1,9,500,0.25,0.23351212924337744
2,10,500,0.3,0.23352024572117425
3,7,250,0.3,0.23352042707486023
4,9,250,0.3,0.23352119837621688
5,8,250,0.3,0.233522824158595
6,10,500,0.25,0.23352525957401613
7,7,250,0.25,0.23352552624757808
8,9,250,0.25,0.23352671898850236
9,8,250,0.25,0.23352854130845108
10,7,250,0.2,0.23353477878646642
11,9,250,0.2,0.23353668890716506
12,8,250,0.2,0.23353878732067151
13,12,750,0.3,0.2335506760599118
14,7,250,0.15,0.23355464362839354
15,9,250,0.15,0.23355788340516265
16,6,250,0.3,0.23355795800293877
17,10,500,0.2,0.23355988441670503
18,8,250,0.15,0.23356048038048913
19,12,750,0.25,0.23356545182095695
20,10,250,0.3,0.23358531846299932
21,7,250,0.1,0.23361290274364505
22,10,250,0.25,0.23361556135243128
23,9,250,0.1,0.23362100206589034
24,8,250,0.1,0.23362379254414176
25,10,250,0.2,0.23366899362839838
26,12,750,0.2,0.23372651388948484
27,10,250,0.15,0.23377869630208917
28,11,250,0.3,0.23385953848451285
29,11,250,0.25,0.23400994168299125
30,10,250,0.1,0.23407205952386206
31,13,1000,0.3,0.23411340687213883
32,13,1000,0.25,0.23426680233366212
33,11,250,0.2,0.23428655280413727
34,14,1000,0.3,0.2343754204851182
35,15,750,0.3,0.23449668937076174
36,13,750,0.3,0.23454904672770058
37,9,250,0.05,0.2346004657611775
38,13,1000,0.2,0.23463520132296162
39,14,1000,0.25,0.23475926138031472
40,15,750,0.25,0.234864682956243
41,11,250,0.15,0.2348899715847672
42,13,750,0.25,0.23491330750853626
43,6,250,0.25,0.2349406441133215
44,15,750,0.2,0.23516265065947078
45,8,250,0.05,0.23522286480719726
46,14,750,0.2,0.2353366567798373
47,7,250,0.05,0.23544434310743967
48,10,250,0.05,0.2354881447182026
49,13,750,0.2,0.23552106375007403
50,14,1000,0.2,0.2357060227275411
51,13,1250,0.3,0.23588915986092338
52,14,250,0.3,0.23604520342788216
53,15,750,0.15,0.23621794546629465
54,12,250,0.3,0.23621817789399913
55,14,750,0.3,0.23624169481083887
56,14,750,0.15,0.23646993855362294
57,13,750,0.15,0.23661911508089767
58,11,250,0.1,0.23669133888396324
59,15,500,0.3,0.23693843343606652
60,15,250,0.3,0.2370296526790584
61,14,250,0.25,0.23720106159597165
62,12,250,0.25,0.23726446857714303
63,15,1000,0.15,0.23736334490009248
64,12,500,0.3,0.23739514184181593
65,14,750,0.25,0.2375425397445229
66,13,750,0.1,0.2382537413844985
67,12,500,0.25,0.2383329189497155
68,15,500,0.25,0.23833924412100474
69,15,250,0.25,0.23880501100720902
70,15,750,0.1,0.23893822133539777
71,12,250,0.2,0.23911557017687252
72,14,250,0.2,0.2393924931407355
73,14,750,0.1,0.23987805218913744
74,12,500,0.2,0.23992790577180445
75,15,500,0.2,0.24090191078736034
76,14,500,0.2,0.24094327319683187
