TIMESTAMP,FLASH8627_OPEN_PRICE_USD,FLASH8627_HIGH_PRICE_USD,FLASH8627_LOW_PRICE_USD,FLASH8627_CLOSE_PRICE_USD,FLASH8627_VOLUME_USD,FLASH8627_DIVIDENDS_USD,FLASH8627_STOCK_SPLITS_USD
2023-02-16 00:00:00+00:00,0.14594799280166626,0.14712700247764587,0.1242540031671524,0.12465199828147888,96110,0.0,0.0
2023-02-17 00:00:00+00:00,0.12486399710178375,0.12626999616622925,0.11062200367450714,0.11541000008583069,38309,0.0,0.0
2023-02-18 00:00:00+00:00,0.11541000008583069,0.12500399351119995,0.08713000267744064,0.09425099939107895,198370,0.0,0.0
2023-02-19 00:00:00+00:00,0.09429699927568436,0.09453900158405304,0.08463200181722641,0.08591700345277786,18294,0.0,0.0
2023-02-20 00:00:00+00:00,0.0859759971499443,0.10630500316619873,0.0844929963350296,0.10055200010538101,82530,0.0,0.0
2023-02-21 00:00:00+00:00,0.1005449965596199,0.12018000334501266,0.099481001496315,0.10462799668312073,55402,0.0,0.0
2023-02-22 00:00:00+00:00,0.10457299649715424,0.10505899786949158,0.09848300367593765,0.09966599941253662,9905,0.0,0.0
2023-02-23 00:00:00+00:00,0.0997140035033226,0.10053499788045883,0.09681899845600128,0.09734100103378296,11587,0.0,0.0
2023-02-24 00:00:00+00:00,0.09734100103378296,0.09858699887990952,0.08644100278615952,0.0896809995174408,26321,0.0,0.0
2023-02-25 00:00:00+00:00,0.08968300372362137,0.09201200306415558,0.0886939987540245,0.0906049981713295,6388,0.0,0.0
2023-02-26 00:00:00+00:00,0.09060099720954895,0.09363900125026703,0.09023799747228622,0.09228099882602692,8419,0.0,0.0
2023-02-27 00:00:00+00:00,0.09224200248718262,0.09400100260972977,0.08914600312709808,0.09020700305700302,3738,0.0,0.0
2023-02-28 00:00:00+00:00,0.09025199711322784,0.10198800265789032,0.0899140015244484,0.1003979966044426,31244,0.0,0.0
2023-03-01 00:00:00+00:00,0.10040400177240372,0.10515300184488297,0.09467799961566925,0.10098899900913239,31140,0.0,0.0
