TIMESTAMP,GAS_OPEN_PRICE_USDT,GAS_HIGH_PRICE_USDT,GAS_LOW_PRICE_USDT,GAS_CLOSE_PRICE_USDT,GAS_FIRST_TRADE_PRICE_USDT,GAS_HIGH_TRADE_PRICE_USDT,GAS_LOW_TRADE_PRICE_USDT,GAS_LAST_TRADE_PRICE_USDT,GAS_TOTAL_TRADE_COUNT,GAS_TOTAL_TRADES_BUY,GAS_TOTAL_TRADES_SELL,GAS_VOLUME_USDT,GAS_QUOTE_VOLUME,GAS_VOLUME_BUY,GAS_QUOTE_VOLUME_BUY,GAS_VOLUME_SELL,GAS_QUOTE_VOLUME_SELL
2023-03-17,3.901,4.41,3.25,3.759,3.901,4.41,3.25,3.759,2847,1289,1558,113820.5,425931.2294,48693.3,183219.041,65127.2,242712.1884
2023-03-18,3.759,3.795,3.521,3.553,3.756,3.795,3.521,3.553,2589,978,1611,129957.8,474235.3553,53906.6,196985.1238,76051.2,277250.2315
2023-03-19,3.553,3.701,3.408,3.643,3.551,3.701,3.408,3.643,2915,1127,1788,136707.7,487129.5724,61922.9,220583.0205,74784.8,266546.5519
2023-03-20,3.643,3.88,3.38,3.397,3.652,3.88,3.38,3.397,3797,1793,2004,296929.0,1072832.3303,162940.6,589844.085,133988.4,482988.2453
2023-03-21,3.397,3.552,3.273,3.439,3.405,3.552,3.273,3.439,3215,1531,1684,235575.7,805405.6524,123009.7,420154.3445,112566.0,385251.3079
2023-03-22,3.439,3.439,3.244,3.351,3.42,3.422,3.244,3.351,1805,748,1057,63480.0,212848.6987,29943.8,100572.1525,33536.2,112276.5462
2023-03-23,3.351,3.487,3.327,3.478,3.351,3.487,3.327,3.478,1572,667,905,55990.8,190782.5992,26065.0,88786.3024,29925.8,101996.2968
2023-03-24,3.478,3.765,3.396,3.488,3.484,3.765,3.396,3.488,3529,1308,2221,208648.9,747178.4311,84660.7,304214.046,123988.2,442964.3851
2023-03-25,3.488,3.489,3.321,3.368,3.489,3.489,3.321,3.368,1919,1019,900,38398.7,130322.597,18132.7,61620.2399,20266.0,68702.3571
2023-03-26,3.368,3.611,3.35,3.44,3.355,3.611,3.35,3.44,1722,900,822,53072.0,182049.9367,30826.9,105903.9613,22245.1,76145.9754
2023-03-27,3.44,3.477,3.157,3.299,3.413,3.477,3.157,3.299,2628,1523,1105,72115.5,241458.1455,43731.5,146784.0053,28384.0,94674.1402
2023-03-28,3.299,3.356,3.141,3.321,3.296,3.356,3.141,3.321,1898,955,943,55245.2,179035.3514,30652.1,99451.6937,24593.1,79583.6577
2023-03-29,3.321,3.428,3.268,3.427,3.315,3.428,3.268,3.427,1323,679,644,40439.6,136297.0786,20010.8,67363.6367,20428.8,68933.4419
2023-03-30,3.427,3.427,3.284,3.335,3.42,3.424,3.284,3.335,1595,672,923,66238.4,220343.1466,22854.9,76178.905,43383.5,144164.2416
2023-03-31,3.335,3.391,3.235,3.358,3.332,3.391,3.235,3.358,1777,866,911,63079.9,208846.5274,30213.7,100276.527,32866.2,108570.0004
2023-04-01,3.358,3.41,3.327,3.396,3.364,3.41,3.327,3.396,1357,560,797,44495.3,149724.3179,15063.1,50767.2004,29432.2,98957.1175
2023-04-02,3.396,3.526,3.28,3.314,3.399,3.526,3.28,3.314,2246,961,1285,71482.6,241677.9536,31354.8,106111.5005,40127.8,135566.4531
2023-04-03,3.314,3.32,3.215,3.281,3.307,3.32,3.215,3.281,1760,736,1024,79909.9,261499.069,33564.3,109927.8891,46345.6,151571.1799
2023-04-04,3.281,3.334,3.232,3.328,3.277,3.334,3.232,3.328,1161,566,595,36608.6,120395.8052,16079.7,52887.8332,20528.9,67507.972
2023-04-05,3.328,3.538,3.291,3.379,3.326,3.538,3.291,3.379,2198,894,1304,86292.4,289042.6899,39006.6,131111.6433,47285.8,157931.0466
2023-04-06,3.379,3.74,3.368,3.502,3.39,3.74,3.368,3.502,13417,6019,7398,639431.0,2276764.5272,305928.7,1089741.5929,333502.3,1187022.9343
2023-04-07,3.502,3.508,3.311,3.376,3.508,3.508,3.311,3.376,2401,1121,1280,106722.7,360108.8892,48836.5,164769.6459,57886.2,195339.2433
2023-04-08,3.376,3.422,3.353,3.377,3.373,3.422,3.353,3.377,2338,1189,1149,90717.1,306973.9331,45541.8,154223.5674,45175.3,152750.3657
2023-04-09,3.377,3.579,3.352,3.457,3.388,3.579,3.352,3.457,6461,3152,3309,280632.8,964357.227,121675.9,419050.458,158956.9,545306.769
2023-04-10,3.457,3.537,3.322,3.464,3.462,3.537,3.322,3.464,7390,3871,3519,288784.5,978101.4657,120812.3,410515.0145,167972.2,567586.4512
2023-04-11,3.464,3.468,3.405,3.443,3.468,3.468,3.405,3.443,4316,1842,2474,69268.2,237657.5528,34096.3,117009.1291,35171.9,120648.4237
2023-04-12,3.443,3.443,3.322,3.372,3.438,3.438,3.322,3.372,2544,1282,1262,56402.8,189414.6941,24468.2,82196.3057,31934.6,107218.3884
2023-04-13,3.372,3.442,3.347,3.434,3.373,3.442,3.347,3.434,1841,977,864,42488.5,144359.0059,22110.9,75144.8739,20377.6,69214.132
2023-04-14,3.434,3.49,3.384,3.469,3.438,3.49,3.384,3.469,2641,1356,1285,76765.4,264616.579,43123.9,148791.4296,33641.5,115825.1494
2023-04-15,3.469,3.522,3.412,3.447,3.466,3.522,3.412,3.447,1560,898,662,50928.3,175275.2128,23454.8,80838.3751,27473.5,94436.8377
2023-04-16,3.447,3.892,3.437,3.524,3.451,3.892,3.437,3.524,13222,6056,7166,554177.9,1996915.0167,244563.2,879804.4293,309614.7,1117110.5874
2023-04-17,3.524,3.8,3.469,3.515,3.524,3.8,3.469,3.515,10774,5225,5549,425796.2,1547991.8322,205334.0,748039.1609,220462.2,799952.6713
2023-04-18,3.515,3.549,3.429,3.521,3.515,3.549,3.429,3.521,4310,2184,2126,170116.5,593187.5039,86318.5,301158.2507,83798.0,292029.2532
2023-04-19,3.521,3.594,3.24,3.26,3.518,3.594,3.24,3.26,4632,2150,2482,102783.6,346045.5255,48500.1,163171.7569,54283.5,182873.7686
2023-04-20,3.26,3.319,3.173,3.25,3.26,3.319,3.173,3.25,2200,1096,1104,65454.3,213343.7231,29805.2,97264.4829,35649.1,116079.2402
2023-04-21,3.25,3.266,3.11,3.156,3.251,3.266,3.11,3.156,2297,1084,1213,74969.8,239188.4903,33272.7,106185.6359,41697.1,133002.8544
2023-04-22,3.156,3.3,3.092,3.228,3.161,3.3,3.092,3.228,2650,1467,1183,101425.4,325123.0688,62202.7,199889.3495,39222.7,125233.7193
2023-04-23,3.228,3.29,3.07,3.167,3.232,3.29,3.07,3.167,1928,1045,883,58726.2,186438.3566,28289.0,89931.6814,30437.2,96506.6752
2023-04-24,3.167,3.28,3.065,3.109,3.162,3.28,3.065,3.109,2136,1193,943,59402.1,187162.2523,29098.7,91860.1771,30303.4,95302.0752
2023-04-25,3.109,3.172,2.995,3.128,3.106,3.172,2.995,3.128,3100,1544,1556,115371.2,353516.9174,41097.2,126321.6656,74274.0,227195.2518
2023-04-26,3.128,3.219,3.003,3.116,3.125,3.219,3.003,3.116,4124,1945,2179,115241.6,361768.4068,51972.1,163405.8538,63269.5,198362.553
2023-04-27,3.116,3.179,3.087,3.149,3.111,3.179,3.087,3.149,3563,1812,1751,88217.8,276454.1383,50424.9,158018.7926,37792.9,118435.3457
2023-04-28,3.149,3.23,3.108,3.168,3.154,3.23,3.108,3.168,2270,1062,1208,56457.7,178387.0654,26636.4,84259.5478,29821.3,94127.5176
2023-04-29,3.168,3.253,3.136,3.225,3.164,3.253,3.136,3.225,1728,870,858,56607.6,181315.9468,28804.6,92241.8725,27803.0,89074.0743
