TIMESTAMP,RUTH_OPEN_PRICE_USD,RUTH_HIGH_PRICE_USD,RUTH_LOW_PRICE_USD,RUTH_CLOSE_PRICE_USD,RUTH_VOLUME_USD,RUTH_DIVIDENDS_USD,RUTH_STOCK_SPLITS_USD
2024-07-03 00:00:00+00:00,0.0001939999929163605,0.00024500000290572643,8.70000003487803e-05,9.300000237999484e-05,268338,0.0,0.0
2024-07-04 00:00:00+00:00,9.300000237999484e-05,9.500000305706635e-05,6.399999983841553e-05,6.399999983841553e-05,36545,0.0,0.0
2024-07-05 00:00:00+00:00,6.399999983841553e-05,6.500000017695129e-05,5.8000001445179805e-05,6.0999998822808266e-05,28991,0.0,0.0
2024-07-06 00:00:00+00:00,6.0999998822808266e-05,6.70000008540228e-05,5.900000178371556e-05,6.299999949987978e-05,45646,0.0,0.0
2024-07-07 00:00:00+00:00,6.299999949987978e-05,6.500000017695129e-05,5.6000000768108293e-05,5.8000001445179805e-05,44046,0.0,0.0
2024-07-08 00:00:00+00:00,5.700000110664405e-05,5.8000001445179805e-05,4.5000000682193786e-05,4.70000013592653e-05,36583,0.0,0.0
2024-07-09 00:00:00+00:00,4.70000013592653e-05,4.999999873689376e-05,4.600000102072954e-05,4.8999998398358e-05,34413,0.0,0.0
2024-07-10 00:00:00+00:00,4.8999998398358e-05,4.999999873689376e-05,4.5000000682193786e-05,4.600000102072954e-05,33858,0.0,0.0
2024-07-11 00:00:00+00:00,4.600000102072954e-05,4.600000102072954e-05,4.3000000005122274e-05,4.400000034365803e-05,31679,0.0,0.0
2024-07-12 00:00:00+00:00,4.400000034365803e-05,4.5000000682193786e-05,4.199999966658652e-05,4.3000000005122274e-05,30316,0.0,0.0
2024-07-13 00:00:00+00:00,4.3000000005122274e-05,4.8999998398358e-05,4.199999966658652e-05,4.400000034365803e-05,31915,0.0,0.0
2024-07-14 00:00:00+00:00,4.400000034365803e-05,4.600000102072954e-05,4.3000000005122274e-05,4.5000000682193786e-05,30049,0.0,0.0
2024-07-15 00:00:00+00:00,4.5000000682193786e-05,4.999999873689376e-05,4.400000034365803e-05,4.999999873689376e-05,32128,0.0,0.0
2024-07-16 00:00:00+00:00,4.999999873689376e-05,6.299999949987978e-05,4.70000013592653e-05,5.400000009103678e-05,38810,0.0,0.0
2024-07-17 00:00:00+00:00,5.500000042957254e-05,5.900000178371556e-05,4.999999873689376e-05,4.999999873689376e-05,8024,0.0,0.0
2024-07-18 00:00:00+00:00,4.999999873689376e-05,5.0999999075429514e-05,4.999999873689376e-05,4.999999873689376e-05,132,0.0,0.0
2024-07-19 00:00:00+00:00,4.999999873689376e-05,5.0999999075429514e-05,4.999999873689376e-05,5.0999999075429514e-05,201,0.0,0.0
2024-07-20 00:00:00+00:00,5.0999999075429514e-05,5.0999999075429514e-05,4.999999873689376e-05,4.999999873689376e-05,21,0.0,0.0
2024-07-21 00:00:00+00:00,4.999999873689376e-05,4.999999873689376e-05,4.999999873689376e-05,4.999999873689376e-05,47,0.0,0.0
2024-07-22 00:00:00+00:00,4.999999873689376e-05,4.999999873689376e-05,4.999999873689376e-05,4.999999873689376e-05,61,0.0,0.0
2024-07-23 00:00:00+00:00,4.999999873689376e-05,4.999999873689376e-05,4.999999873689376e-05,4.999999873689376e-05,17,0.0,0.0
2024-07-24 00:00:00+00:00,4.999999873689376e-05,6.0999998822808266e-05,4.999999873689376e-05,6.0999998822808266e-05,1158,0.0,0.0
2024-07-25 00:00:00+00:00,6.0999998822808266e-05,6.0999998822808266e-05,5.8000001445179805e-05,5.8000001445179805e-05,14,0.0,0.0
2024-07-26 00:00:00+00:00,5.8000001445179805e-05,6.299999949987978e-05,5.8000001445179805e-05,6.299999949987978e-05,276,0.0,0.0
2024-07-27 00:00:00+00:00,6.299999949987978e-05,6.299999949987978e-05,6.299999949987978e-05,6.299999949987978e-05,6,0.0,0.0
2024-07-28 00:00:00+00:00,6.299999949987978e-05,6.500000017695129e-05,6.299999949987978e-05,6.399999983841553e-05,204,0.0,0.0
2024-07-29 00:00:00+00:00,6.399999983841553e-05,6.70000008540228e-05,6.299999949987978e-05,6.299999949987978e-05,418,0.0,0.0
2024-07-30 00:00:00+00:00,6.299999949987978e-05,6.299999949987978e-05,5.999999848427251e-05,5.999999848427251e-05,13,0.0,0.0
2024-07-31 00:00:00+00:00,5.999999848427251e-05,5.999999848427251e-05,5.999999848427251e-05,5.999999848427251e-05,166,0.0,0.0
2024-08-01 00:00:00+00:00,5.999999848427251e-05,5.999999848427251e-05,5.999999848427251e-05,5.999999848427251e-05,0,0.0,0.0
2024-08-02 00:00:00+00:00,5.999999848427251e-05,5.999999848427251e-05,4.8999998398358e-05,4.8999998398358e-05,98,0.0,0.0
2024-08-03 00:00:00+00:00,4.8999998398358e-05,4.8999998398358e-05,4.5000000682193786e-05,4.5000000682193786e-05,60,0.0,0.0
2024-08-04 00:00:00+00:00,4.5000000682193786e-05,4.5000000682193786e-05,4.5000000682193786e-05,4.5000000682193786e-05,19,0.0,0.0
2024-08-05 00:00:00+00:00,4.5000000682193786e-05,4.5000000682193786e-05,3.9999998989515007e-05,3.9999998989515007e-05,88,0.0,0.0
2024-08-06 00:00:00+00:00,3.9999998989515007e-05,4.199999966658652e-05,3.9999998989515007e-05,4.199999966658652e-05,629,0.0,0.0
2024-08-07 00:00:00+00:00,4.199999966658652e-05,4.199999966658652e-05,4.099999932805076e-05,4.099999932805076e-05,4,0.0,0.0
