,XRP,Lag
WC,2.7003889104765988e-95,30
EDRC,4.85288163703111e-53,29
UNIT,1.025550040501377e-50,30
PUT,2.1838851886688284e-27,30
RRT,6.015908387038677e-25,22
VEC2,4.0260916125384263e-23,30
NETKO,5.707289230732206e-23,30
RBT,3.688032180921558e-22,13
XPY,2.082834340909584e-21,28
KOBO,4.619509735559119e-19,14
IRL,1.95603759805952e-18,30
MOTO,2.400125655294776e-18,30
CSC,5.641954993333089e-16,26
XEM,6.999860319393884e-16,26
XLM,1.2919293826203742e-14,28
TAJ,1.2538224929550662e-13,29
DOGE,3.351483538089124e-13,6
IFC,3.575595691811299e-13,19
CARBON,1.354011402155825e-12,28
BTS,1.768384016546154e-11,10
SKR,1.8322231227042964e-11,30
LTCR,9.688546234574073e-11,12
USDT,1.375853915092541e-10,29
EUC,3.299116193973768e-10,30
PHR,3.8967376647488684e-10,11
LTC,4.2416245937041884e-10,27
OPAL,4.889951919689437e-10,28
BLU,9.096434694258867e-10,30
BTB,1.119472050643346e-09,6
SWT,1.192756842232821e-09,27
CAB,1.291246637654521e-09,10
VIDZ,1.4746102465342843e-09,8
ARGUS,2.637000745764687e-09,12
ACES,3.535697596792777e-09,30
WGR,5.722374190096e-09,30
BTC,7.330958556648751e-09,28
HMQ,8.098215646722083e-09,20
BCDN,8.761860550626509e-09,6
QTUM,9.844323667625014e-09,12
QBC,1.0664913861162417e-08,7
SC,1.533719421818452e-07,13
WBB,1.767596007701581e-07,11
FRN,1.804245139253479e-07,14
SWING,5.91822935755041e-07,9
IMS,6.342593687053241e-07,27
MONA,1.0000193339874364e-06,29
IBANK,1.0552548381419618e-06,22
DIME,1.1987653031428651e-06,11
CREVA,1.340852740962611e-06,30
NXT,2.482420414617392e-06,15
EVIL,3.2637059539647808e-06,30
ETH,4.909588389492238e-06,6
SIGNA,8.100047161903821e-06,5
ZET,1.648084275966594e-05,28
LDOGE,1.6824572050101658e-05,26
ENT,1.7070620956120535e-05,27
ANT,3.102977828694505e-05,4
POST,3.3390331444346006e-05,28
BAT,3.5909696510383296e-05,6
SPR,4.207422578997004e-05,28
DGB,5.649915023775415e-05,12
JLP,5.6821092982978e-05,1
BITS,0.0001054374302063,3
DASH,0.0001259020075997,30
EQB,0.0001303174596352,23
START,0.0001470076272526,29
ICOB,0.0001711587257456,3
PXC,0.0003601715493129,30
NOBL,0.0003759000905778,14
ZCL,0.0004035615778036,7
BOLI,0.0004840312703663,26
ALIAS,0.0007947114752717,29
GBYTE,0.0007965029672508,5
PIVX,0.0008801702763565,19
ZEC,0.0010764697444023,1
PKB,0.0011938415280637,30
TECH,0.0014162537885102,3
XMR,0.0016682397887027,28
RLC,0.0020453196917709,1
SXC,0.002125226661961,30
XMS,0.0021947157767581,1
DEM,0.0022059380980045,29
XDN,0.0030554863604339,1
PTOY,0.003695188030271,1
NAV,0.0037037373542961,14
WAVES,0.0040573493683385,3
ICON,0.0051452594221365,15
GNO,0.0053812253244408,20
WDC,0.005573791702585,8
DCT,0.0056779980516786,2
ADZ,0.0073113523238646,26
NXS,0.0075330151291376,3
GRS,0.0087307688155661,24
CF,0.0090460839100784,2
VLT,0.0092078564298058,27
LSK,0.0108278989176923,12
VTC,0.0117845796325377,29
MST,0.0124009209664696,1
WYZ,0.0155695430350226,30
MAID,0.0166703278685392,1
XTO,0.0184016370765989,19
XCP,0.0191158218295566,7
CJ,0.0193558279802813,13
AMS,0.0196465348960444,9
ZUR,0.0231779756786439,15
PXI,0.0241629235379873,30
XBC,0.0278835960290785,17
HBD,0.029754964897011,6
NMC,0.0309358966036084,1
C2,0.0328103813306925,5
KMD,0.0345402225739879,1
BLK,0.0348305132080341,1
GAS,0.0359690502680502,14
ZOOM,0.0373826690314563,29
ARK,0.0387884315654717,11
KURT,0.0399511063441151,12
DCR,0.0414086916552475,1
2GIVE,0.0435612876701288,5
SANDG,0.0475388594776293,9
ZYD,0.0483278336941038,23
TAB,0.048343407825732,1
MAY,0.0489231541348069,25
EFL,0.0540806306543925,7
RBY,0.0557493215304067,4
BERN,0.0558179954163419,14
ETC,0.0594413072669339,28
COOL,0.0608246709287963,1
TRST,0.0610023514771077,5
CRW,0.0629403352572315,2
PPC,0.0687138425480786,1
AV,0.0702147300095886,7
NEWB,0.0809532996663142,8
FIRO,0.0873842896567941,1
ACOIN,0.0910689014278769,4
LUNC,0.0940081995809814,7
ZEN,0.0959756586629738,20
STEEM,0.0996574627215148,30
XQN,0.1026373138463858,2
ZENI,0.1031808551598764,1
CLOAK,0.1032063609950641,1
IOTA,0.110816009359059,5
SYS,0.1168753299888898,3
AXIOM,0.1263645802536736,1
CKC,0.1304606671367789,27
XPM,0.1320560847756833,1
LAMB,0.1351362685635835,9
SILK,0.1577200888308487,2
OZO,0.1583673727374666,7
PZM,0.1727461644622615,15
SNRG,0.1755597371634351,4
SKULL,0.1758908039233845,26
LANA,0.177324287200794,1
AMBER,0.1928498260630791,3
VAL,0.2063037881365326,1
LBC,0.2196065310755086,28
AE,0.2378765062027638,3
TES,0.2512990313463661,3
PLU,0.2668967302161851,1
XHI,0.2748687878438773,22
VERI,0.2763014332356148,1
NEVA,0.2785958959144088,1
MCN,0.2915392170277351,15
DCY,0.2917055233691186,1
FOREX,0.3151471854416611,12
BTCS,0.3322685637753271,24
CANN,0.360097000184337,6
BCN,0.3701881742622072,8
XPTX,0.3813495467717097,1
HBN,0.3815762622729831,1
FTC,0.3897768729888252,8
BLAZR,0.3913690438185482,4
XWC,0.4150426001471282,2
HVCO,0.4199473617697447,1
IXC,0.4344139732700842,1
QTZ,0.4407628540516357,1
LOOK,0.4412743012039831,30
ILC,0.4517438704715444,2
CYT,0.4633757418227752,1
ADC,0.4665633139822224,3
FRC,0.4765021022461425,14
WINGS,0.4882100841173038,9
XST,0.4909995380673475,1
NVC,0.4983341546751973,3
RBIES,0.5088678377747038,1
NYC,0.5177486583122695,1
HUSH,0.5178021825034763,2
BSTY,0.5225141440803033,1
LMC,0.5401908481707565,12
KIN,0.5411572362154462,6
GLC,0.5508961945469195,25
MNTC,0.5525946148820334,1
PAK,0.571966929641114,4
SWIFT,0.5733250131656139,1
XPX,0.5791916157282881,2
HNC,0.5811437949444855,1
RDD,0.583350754597385,1
CNT,0.5852494835790205,1
SONG,0.5884173120414224,1
BS,0.6064449314216176,11
SLS,0.6182863305127588,13
42,0.6195567759386895,1
CLUB,0.6324958563760672,1
SHND,0.6487854491100877,1
DGC,0.6515398369126559,2
SIB,0.6813270457399874,1
INF,0.7028155276108676,2
CLAM,0.7126155999851641,8
LUN,0.7207564013500414,3
GCC,0.7216517876316583,1
PASC,0.7555152362616858,1
BTA,0.7613039871933142,1
POT,0.7698726111311993,10
AGRS,0.8201033978064943,1
BIS,0.8204303151269393,1
PIE,0.8403638186968142,1
LOG,0.8408266253096954,1
OK,0.8509984022000388,1
XBY,0.8605534346266891,1
ZER,0.8627548053246141,5
CETI,0.9155203818389428,1
BRIT,0.9269405087796848,1
