TIMESTAMP,SPEED36130_OPEN_PRICE_USD,SPEED36130_HIGH_PRICE_USD,SPEED36130_LOW_PRICE_USD,SPEED36130_CLOSE_PRICE_USD,SPEED36130_VOLUME_USD,SPEED36130_DIVIDENDS_USD,SPEED36130_STOCK_SPLITS_USD
2025-04-01 00:00:00+00:00,,,,0.0,1160,0.0,0.0
2025-04-02 00:00:00+00:00,,,,0.0,836,0.0,0.0
2025-04-04 00:00:00+00:00,,,,0.0,660,0.0,0.0
2025-04-05 00:00:00+00:00,,,,0.0,2194,0.0,0.0
2025-04-07 00:00:00+00:00,,,,0.0,422,0.0,0.0
2025-04-21 00:00:00+00:00,,,,0.0,29,0.0,0.0
2025-04-22 00:00:00+00:00,,,,0.0,28,0.0,0.0
2025-05-09 00:00:00+00:00,,,,0.0,49,0.0,0.0
2025-05-10 00:00:00+00:00,,,,0.0,13,0.0,0.0
2025-06-01 00:00:00+00:00,1.793769939441997e-13,1.81222997220655e-13,1.793769939441997e-13,1.8122294301054637e-13,30,0.0,0.0
