TIMESTAMP,FROGCEO_OPEN_PRICE_USD,FROGCEO_HIGH_PRICE_USD,FROGCEO_LOW_PRICE_USD,FROGCEO_CLOSE_PRICE_USD,FROGCEO_VOLUME_USD,FROGCEO_DIVIDENDS_USD,FROGCEO_STOCK_SPLITS_USD
2023-03-20 00:00:00+00:00,,,,0.0,211761,0.0,0.0
2023-03-21 00:00:00+00:00,,,,0.0,58751,0.0,0.0
2023-03-22 00:00:00+00:00,,,,0.0,19066,0.0,0.0
2023-03-23 00:00:00+00:00,,,,0.0,6118,0.0,0.0
2023-03-24 00:00:00+00:00,,,,0.0,13461,0.0,0.0
2023-03-25 00:00:00+00:00,,,,0.0,4406,0.0,0.0
2023-03-26 00:00:00+00:00,,,,0.0,80558,0.0,0.0
2023-03-27 00:00:00+00:00,,,,0.0,46406,0.0,0.0
2023-03-28 00:00:00+00:00,,,,0.0,21438,0.0,0.0
2023-03-29 00:00:00+00:00,,,,0.0,60210,0.0,0.0
2023-03-30 00:00:00+00:00,,,,0.0,15982,0.0,0.0
2023-03-31 00:00:00+00:00,,,,0.0,53753,0.0,0.0
2023-04-01 00:00:00+00:00,,,,0.0,5708,0.0,0.0
2023-04-02 00:00:00+00:00,,,,0.0,56506,0.0,0.0
2023-04-03 00:00:00+00:00,,,,0.0,27876,0.0,0.0
2023-04-04 00:00:00+00:00,,,,0.0,13695,0.0,0.0
2023-04-05 00:00:00+00:00,,,,0.0,7891,0.0,0.0
2023-04-06 00:00:00+00:00,,,,0.0,3935,0.0,0.0
2023-04-07 00:00:00+00:00,,,,0.0,3853,0.0,0.0
2023-04-08 00:00:00+00:00,,,,0.0,2554,0.0,0.0
2023-04-09 00:00:00+00:00,,,,0.0,1954,0.0,0.0
2023-04-10 00:00:00+00:00,,,,0.0,3736,0.0,0.0
2023-04-11 00:00:00+00:00,,,,0.0,2548,0.0,0.0
2023-04-12 00:00:00+00:00,,,,0.0,15083,0.0,0.0
2023-04-13 00:00:00+00:00,,,,0.0,21060,0.0,0.0
2023-04-14 00:00:00+00:00,,,,0.0,6127,0.0,0.0
2023-04-15 00:00:00+00:00,,,,0.0,9041,0.0,0.0
2023-04-16 00:00:00+00:00,,,,0.0,4114,0.0,0.0
2023-04-17 00:00:00+00:00,,,,0.0,1624,0.0,0.0
2023-04-18 00:00:00+00:00,,,,0.0,12335,0.0,0.0
2023-04-19 00:00:00+00:00,,,,0.0,6230,0.0,0.0
2023-04-20 00:00:00+00:00,,,,0.0,4947,0.0,0.0
2023-04-21 00:00:00+00:00,,,,0.0,2459,0.0,0.0
2023-04-22 00:00:00+00:00,,,,0.0,2266,0.0,0.0
2023-04-23 00:00:00+00:00,,,,0.0,1555,0.0,0.0
2023-04-24 00:00:00+00:00,,,,0.0,3135,0.0,0.0
2023-04-25 00:00:00+00:00,,,,0.0,2857,0.0,0.0
2023-04-26 00:00:00+00:00,,,,0.0,2299,0.0,0.0
2023-04-27 00:00:00+00:00,,,,0.0,710,0.0,0.0
2023-04-28 00:00:00+00:00,,,,0.0,549,0.0,0.0
2023-04-29 00:00:00+00:00,,,,0.0,8743,0.0,0.0
2023-04-30 00:00:00+00:00,,,,0.0,1007,0.0,0.0
2023-05-01 00:00:00+00:00,,,,0.0,1554,0.0,0.0
2023-05-02 00:00:00+00:00,,,,0.0,1222,0.0,0.0
2023-05-03 00:00:00+00:00,,,,0.0,1009,0.0,0.0
2023-05-04 00:00:00+00:00,,,,0.0,2532,0.0,0.0
2023-05-05 00:00:00+00:00,,,,0.0,3018,0.0,0.0
2023-05-06 00:00:00+00:00,,,,0.0,8006,0.0,0.0
2023-05-07 00:00:00+00:00,,,,0.0,2851,0.0,0.0
2023-05-08 00:00:00+00:00,,,,0.0,1542,0.0,0.0
2023-05-09 00:00:00+00:00,,,,0.0,364,0.0,0.0
2023-05-10 00:00:00+00:00,,,,0.0,1384,0.0,0.0
2023-05-11 00:00:00+00:00,,,,0.0,676,0.0,0.0
2023-05-12 00:00:00+00:00,,,,0.0,457,0.0,0.0
2023-05-13 00:00:00+00:00,,,,0.0,437,0.0,0.0
2023-05-14 00:00:00+00:00,,,,0.0,1173,0.0,0.0
2023-05-15 00:00:00+00:00,,,,0.0,411,0.0,0.0
2023-05-16 00:00:00+00:00,,,,0.0,758,0.0,0.0
2023-05-17 00:00:00+00:00,,,,0.0,1434,0.0,0.0
2023-05-18 00:00:00+00:00,,,,0.0,128,0.0,0.0
2023-05-19 00:00:00+00:00,,,,0.0,186,0.0,0.0
2023-05-20 00:00:00+00:00,,,,0.0,52,0.0,0.0
2023-05-21 00:00:00+00:00,,,,0.0,115,0.0,0.0
2023-05-22 00:00:00+00:00,,,,0.0,19,0.0,0.0
2023-05-23 00:00:00+00:00,,,,0.0,116,0.0,0.0
2023-05-24 00:00:00+00:00,,,,0.0,59,0.0,0.0
2023-05-25 00:00:00+00:00,,,,0.0,509,0.0,0.0
2023-05-26 00:00:00+00:00,,,,0.0,655,0.0,0.0
2023-05-27 00:00:00+00:00,,,,0.0,42,0.0,0.0
2023-05-28 00:00:00+00:00,,,,0.0,198,0.0,0.0
2023-05-29 00:00:00+00:00,,,,0.0,261,0.0,0.0
2023-05-30 00:00:00+00:00,,,,0.0,506,0.0,0.0
2023-05-31 00:00:00+00:00,,,,0.0,4,0.0,0.0
2023-06-01 00:00:00+00:00,,,,0.0,75,0.0,0.0
2023-06-02 00:00:00+00:00,,,,0.0,78,0.0,0.0
2023-06-03 00:00:00+00:00,,,,0.0,115,0.0,0.0
2023-06-04 00:00:00+00:00,,,,0.0,61,0.0,0.0
2023-06-05 00:00:00+00:00,,,,0.0,102,0.0,0.0
2023-06-06 00:00:00+00:00,,,,0.0,68,0.0,0.0
2023-06-07 00:00:00+00:00,,,,0.0,8,0.0,0.0
2023-06-08 00:00:00+00:00,,,,0.0,27,0.0,0.0
