TIMESTAMP,WASSIE_OPEN_PRICE_USD,WASSIE_HIGH_PRICE_USD,WASSIE_LOW_PRICE_USD,WASSIE_CLOSE_PRICE_USD,WASSIE_VOLUME_USD,WASSIE_DIVIDENDS_USD,WASSIE_STOCK_SPLITS_USD
2023-05-05 00:00:00+00:00,1.2000000424450263e-05,2.099999983329326e-05,9.000000318337698e-06,1.4000000192027073e-05,13194114,0.0,0.0
2023-05-06 00:00:00+00:00,1.4000000192027073e-05,3.7999998312443495e-05,1.1000000085914508e-05,2.2000000171829015e-05,23600727,0.0,0.0
2023-05-07 00:00:00+00:00,2.2000000171829015e-05,2.8000000384054147e-05,1.1000000085914508e-05,1.700000029813964e-05,11407467,0.0,0.0
2023-05-08 00:00:00+00:00,1.700000029813964e-05,2.2000000171829015e-05,3.999999989900971e-06,7.999999979801942e-06,7651998,0.0,0.0
2023-05-09 00:00:00+00:00,7.999999979801942e-06,9.999999747378752e-06,1.9999999949504854e-06,3.000000106112566e-06,3364586,0.0,0.0
2023-05-10 00:00:00+00:00,3.000000106112566e-06,6.000000212225132e-06,1.9999999949504854e-06,3.999999989900971e-06,2067272,0.0,0.0
2023-05-11 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,9.999999974752427e-07,9.999999974752427e-07,1008693,0.0,0.0
2023-05-12 00:00:00+00:00,9.999999974752427e-07,3.000000106112566e-06,9.999999974752427e-07,1.9999999949504854e-06,403723,0.0,0.0
2023-05-13 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,335705,0.0,0.0
2023-05-14 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,256354,0.0,0.0
2023-05-15 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,149078,0.0,0.0
2023-05-16 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,113734,0.0,0.0
2023-05-17 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,116154,0.0,0.0
2023-05-18 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,117707,0.0,0.0
2023-05-19 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,45416,0.0,0.0
2023-05-20 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,45503,0.0,0.0
2023-05-21 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,21890,0.0,0.0
2023-05-22 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,18429,0.0,0.0
2023-05-23 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,66245,0.0,0.0
2023-05-24 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,17284,0.0,0.0
2023-05-25 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,34846,0.0,0.0
2023-05-26 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,17466,0.0,0.0
2023-05-27 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,13254,0.0,0.0
2023-05-28 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,31444,0.0,0.0
2023-05-29 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,36078,0.0,0.0
2023-05-30 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,8275,0.0,0.0
2023-05-31 00:00:00+00:00,,,,0.0,23763,0.0,0.0
2023-06-01 00:00:00+00:00,,,,0.0,1824,0.0,0.0
2023-06-02 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,7612,0.0,0.0
2023-06-03 00:00:00+00:00,,,,0.0,6914,0.0,0.0
2023-06-04 00:00:00+00:00,,,,0.0,15253,0.0,0.0
2023-06-05 00:00:00+00:00,,,,0.0,7827,0.0,0.0
2023-06-06 00:00:00+00:00,0.0,1.9999999949504854e-06,0.0,9.999999974752427e-07,1413764,0.0,0.0
2023-06-07 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,160803,0.0,0.0
2023-06-08 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,1261290,0.0,0.0
2023-06-09 00:00:00+00:00,9.999999974752427e-07,3.000000106112566e-06,9.999999974752427e-07,1.9999999949504854e-06,1569659,0.0,0.0
2023-06-10 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,377011,0.0,0.0
2023-06-11 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,379410,0.0,0.0
2023-06-12 00:00:00+00:00,9.999999974752427e-07,3.000000106112566e-06,9.999999974752427e-07,3.000000106112566e-06,817225,0.0,0.0
2023-06-13 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,666496,0.0,0.0
