TIMESTAMP,CATGIRL_OPEN_PRICE_USD,CATGIRL_HIGH_PRICE_USD,CATGIRL_LOW_PRICE_USD,CATGIRL_CLOSE_PRICE_USD,CATGIRL_VOLUME_USD,CATGIRL_DIVIDENDS_USD,CATGIRL_STOCK_SPLITS_USD
2021-06-03 00:00:00+00:00,,,,0.0,722554,0.0,0.0
2021-06-04 00:00:00+00:00,,,,0.0,1724469,0.0,0.0
2021-06-05 00:00:00+00:00,,,,0.0,3840065,0.0,0.0
2021-06-06 00:00:00+00:00,,,,0.0,3714244,0.0,0.0
2021-06-07 00:00:00+00:00,,,,0.0,1326260,0.0,0.0
2021-06-08 00:00:00+00:00,,,,0.0,973516,0.0,0.0
2021-06-09 00:00:00+00:00,,,,0.0,943543,0.0,0.0
2021-06-10 00:00:00+00:00,,,,0.0,798268,0.0,0.0
2021-06-11 00:00:00+00:00,,,,0.0,614481,0.0,0.0
2021-06-12 00:00:00+00:00,,,,0.0,425015,0.0,0.0
2021-06-13 00:00:00+00:00,,,,0.0,357971,0.0,0.0
2021-06-14 00:00:00+00:00,,,,0.0,137001,0.0,0.0
2021-06-15 00:00:00+00:00,,,,0.0,94790,0.0,0.0
2021-06-16 00:00:00+00:00,,,,0.0,134653,0.0,0.0
2021-06-17 00:00:00+00:00,,,,0.0,196490,0.0,0.0
2021-06-18 00:00:00+00:00,,,,0.0,192848,0.0,0.0
2021-06-19 00:00:00+00:00,,,,0.0,100854,0.0,0.0
2021-06-20 00:00:00+00:00,,,,0.0,106348,0.0,0.0
2021-06-21 00:00:00+00:00,,,,0.0,240721,0.0,0.0
2021-06-22 00:00:00+00:00,,,,0.0,226910,0.0,0.0
2021-06-23 00:00:00+00:00,,,,0.0,107418,0.0,0.0
2021-06-24 00:00:00+00:00,,,,0.0,97626,0.0,0.0
2021-06-25 00:00:00+00:00,,,,0.0,153536,0.0,0.0
2021-06-26 00:00:00+00:00,,,,0.0,105870,0.0,0.0
2021-06-27 00:00:00+00:00,,,,0.0,112765,0.0,0.0
2021-06-28 00:00:00+00:00,,,,0.0,82332,0.0,0.0
2021-06-29 00:00:00+00:00,,,,0.0,56465,0.0,0.0
2021-06-30 00:00:00+00:00,,,,0.0,60959,0.0,0.0
2021-07-01 00:00:00+00:00,,,,0.0,45527,0.0,0.0
2021-07-02 00:00:00+00:00,,,,0.0,42530,0.0,0.0
2021-07-03 00:00:00+00:00,,,,0.0,37568,0.0,0.0
2021-07-04 00:00:00+00:00,,,,0.0,49151,0.0,0.0
2021-07-05 00:00:00+00:00,,,,0.0,88718,0.0,0.0
2021-07-06 00:00:00+00:00,,,,0.0,87060,0.0,0.0
2021-07-07 00:00:00+00:00,,,,0.0,47221,0.0,0.0
2021-07-08 00:00:00+00:00,,,,0.0,37118,0.0,0.0
2021-07-09 00:00:00+00:00,,,,0.0,39605,0.0,0.0
2021-07-10 00:00:00+00:00,,,,0.0,37091,0.0,0.0
2021-07-11 00:00:00+00:00,,,,0.0,120681,0.0,0.0
2021-07-12 00:00:00+00:00,,,,0.0,132970,0.0,0.0
2021-07-13 00:00:00+00:00,,,,0.0,45359,0.0,0.0
2021-07-14 00:00:00+00:00,,,,0.0,30899,0.0,0.0
2021-07-15 00:00:00+00:00,,,,0.0,42052,0.0,0.0
2021-07-16 00:00:00+00:00,,,,0.0,73215,0.0,0.0
2021-07-17 00:00:00+00:00,,,,0.0,63746,0.0,0.0
2021-07-18 00:00:00+00:00,,,,0.0,24794,0.0,0.0
2021-07-19 00:00:00+00:00,,,,0.0,16190,0.0,0.0
2021-07-20 00:00:00+00:00,,,,0.0,28573,0.0,0.0
2021-07-21 00:00:00+00:00,,,,0.0,32270,0.0,0.0
2021-07-22 00:00:00+00:00,,,,0.0,17016,0.0,0.0
2021-07-23 00:00:00+00:00,,,,0.0,45924,0.0,0.0
2021-07-24 00:00:00+00:00,,,,0.0,51041,0.0,0.0
2021-07-25 00:00:00+00:00,,,,0.0,26467,0.0,0.0
2021-07-26 00:00:00+00:00,,,,0.0,15408,0.0,0.0
2021-07-27 00:00:00+00:00,,,,0.0,16595,0.0,0.0
2021-07-28 00:00:00+00:00,,,,0.0,15858,0.0,0.0
2021-07-29 00:00:00+00:00,,,,0.0,12551,0.0,0.0
2021-07-30 00:00:00+00:00,,,,0.0,21988,0.0,0.0
2021-07-31 00:00:00+00:00,,,,0.0,24520,0.0,0.0
