TIMESTAMP,GORTH_OPEN_PRICE_USD,GORTH_HIGH_PRICE_USD,GORTH_LOW_PRICE_USD,GORTH_CLOSE_PRICE_USD,GORTH_VOLUME_USD,GORTH_DIVIDENDS_USD,GORTH_STOCK_SPLITS_USD
2025-05-13 00:00:00+00:00,,,,0.0,570473,0.0,0.0
2025-05-14 00:00:00+00:00,,,,0.0,524221,0.0,0.0
2025-05-15 00:00:00+00:00,,,,0.0,385256,0.0,0.0
2025-05-16 00:00:00+00:00,,,,0.0,229800,0.0,0.0
2025-05-17 00:00:00+00:00,,,,0.0,84626,0.0,0.0
2025-05-18 00:00:00+00:00,,,,0.0,170259,0.0,0.0
2025-05-19 00:00:00+00:00,,,,0.0,564113,0.0,0.0
2025-05-20 00:00:00+00:00,,,,0.0,478495,0.0,0.0
2025-05-21 00:00:00+00:00,,,,0.0,327356,0.0,0.0
2025-05-22 00:00:00+00:00,,,,0.0,1615483,0.0,0.0
2025-05-23 00:00:00+00:00,,,,0.0,560777,0.0,0.0
2025-05-24 00:00:00+00:00,,,,0.0,398383,0.0,0.0
2025-05-25 00:00:00+00:00,,,,0.0,319431,0.0,0.0
2025-05-26 00:00:00+00:00,,,,0.0,231272,0.0,0.0
2025-05-27 00:00:00+00:00,,,,0.0,202608,0.0,0.0
2025-05-28 00:00:00+00:00,,,,0.0,120115,0.0,0.0
2025-05-29 00:00:00+00:00,,,,0.0,128887,0.0,0.0
2025-05-30 00:00:00+00:00,,,,0.0,65645,0.0,0.0
2025-05-31 00:00:00+00:00,,,,0.0,69482,0.0,0.0
2025-06-01 00:00:00+00:00,1.0879929179807846e-09,2.3228239331984923e-09,1.0376199899297944e-09,1.8285766234527046e-09,273605,0.0,0.0
