TIMESTAMP,KBTC33513_OPEN_PRICE_USD,KBTC33513_HIGH_PRICE_USD,KBTC33513_LOW_PRICE_USD,KBTC33513_CLOSE_PRICE_USD,KBTC33513_VOLUME_USD,KBTC33513_DIVIDENDS_USD,KBTC33513_STOCK_SPLITS_USD
2025-05-22 00:00:00+00:00,106848.390625,120772.0234375,106848.390625,111015.875,0,0.0,0.0
2025-05-23 00:00:00+00:00,111015.875,118081.09375,107315.0,107315.0,723,0.0,0.0
2025-05-24 00:00:00+00:00,107315.0,120475.3984375,107075.3359375,108233.203125,428,0.0,0.0
2025-05-25 00:00:00+00:00,108233.203125,115101.1015625,105895.4140625,112733.0,0,0.0,0.0
2025-05-26 00:00:00+00:00,112733.0,115522.7265625,106341.65625,107713.9140625,226,0.0,0.0
2025-05-27 00:00:00+00:00,107713.9140625,117013.4765625,107480.796875,114755.25,0,0.0,0.0
2025-05-28 00:00:00+00:00,114755.25,115410.5625,107113.6953125,114148.875,0,0.0,0.0
2025-05-29 00:00:00+00:00,114148.875,114402.078125,105835.4609375,112566.515625,0,0.0,0.0
2025-05-30 00:00:00+00:00,112566.515625,112602.9921875,103001.4921875,103001.4921875,402,0.0,0.0
2025-05-31 00:00:00+00:00,103001.4921875,109098.21875,101842.4765625,109098.21875,0,0.0,0.0
2025-06-01 00:00:00+00:00,109098.21875,126078.53125,102830.75,103523.5078125,133,0.0,0.0
