TIMESTAMP,DOGETF_OPEN_PRICE_USD,DOGETF_HIGH_PRICE_USD,DOGETF_LOW_PRICE_USD,DOGETF_CLOSE_PRICE_USD,DOGETF_VOLUME_USD,DOGETF_DIVIDENDS_USD,DOGETF_STOCK_SPLITS_USD
2025-03-13 00:00:00+00:00,,,,0.0,34,0.0,0.0
2025-03-16 00:00:00+00:00,,,,0.0,15,0.0,0.0
2025-03-17 00:00:00+00:00,,,,0.0,119,0.0,0.0
2025-03-18 00:00:00+00:00,,,,0.0,625,0.0,0.0
2025-03-20 00:00:00+00:00,,,,0.0,162,0.0,0.0
2025-03-21 00:00:00+00:00,,,,0.0,69,0.0,0.0
2025-03-22 00:00:00+00:00,,,,0.0,177,0.0,0.0
2025-03-23 00:00:00+00:00,,,,0.0,125,0.0,0.0
2025-03-25 00:00:00+00:00,,,,0.0,60,0.0,0.0
2025-03-27 00:00:00+00:00,,,,0.0,444,0.0,0.0
2025-03-28 00:00:00+00:00,,,,0.0,39,0.0,0.0
2025-03-29 00:00:00+00:00,,,,0.0,1483,0.0,0.0
2025-04-01 00:00:00+00:00,,,,0.0,24,0.0,0.0
2025-04-14 00:00:00+00:00,,,,0.0,511,0.0,0.0
2025-04-17 00:00:00+00:00,,,,0.0,504,0.0,0.0
2025-04-21 00:00:00+00:00,,,,0.0,34,0.0,0.0
2025-04-23 00:00:00+00:00,,,,0.0,275,0.0,0.0
2025-04-24 00:00:00+00:00,,,,0.0,711,0.0,0.0
2025-04-25 00:00:00+00:00,,,,0.0,727,0.0,0.0
2025-04-28 00:00:00+00:00,,,,0.0,42,0.0,0.0
2025-05-03 00:00:00+00:00,,,,0.0,15,0.0,0.0
2025-05-16 00:00:00+00:00,,,,0.0,104,0.0,0.0
2025-06-01 00:00:00+00:00,2.368259939284495e-13,2.378800823855942e-13,2.302760033438128e-13,2.378800823855942e-13,1,0.0,0.0
