TIMESTAMP,ALF36381_OPEN_PRICE_USD,ALF36381_HIGH_PRICE_USD,ALF36381_LOW_PRICE_USD,ALF36381_CLOSE_PRICE_USD,ALF36381_VOLUME_USD,ALF36381_DIVIDENDS_USD,ALF36381_STOCK_SPLITS_USD
2025-04-30 00:00:00+00:00,,,,0.0,24182,0.0,0.0
2025-05-01 00:00:00+00:00,,,,0.0,42022,0.0,0.0
2025-05-02 00:00:00+00:00,,,,0.0,28693,0.0,0.0
2025-05-03 00:00:00+00:00,,,,0.0,74351,0.0,0.0
2025-05-04 00:00:00+00:00,,,,0.0,36002,0.0,0.0
2025-05-05 00:00:00+00:00,,,,0.0,26142,0.0,0.0
2025-05-07 00:00:00+00:00,,,,0.0,27584,0.0,0.0
2025-05-08 00:00:00+00:00,,,,0.0,60293,0.0,0.0
2025-05-09 00:00:00+00:00,,,,0.0,44340,0.0,0.0
2025-05-10 00:00:00+00:00,,,,0.0,53621,0.0,0.0
2025-05-11 00:00:00+00:00,,,,0.0,65152,0.0,0.0
2025-05-13 00:00:00+00:00,,,,0.0,51324,0.0,0.0
2025-05-14 00:00:00+00:00,,,,0.0,118712,0.0,0.0
2025-05-15 00:00:00+00:00,,,,0.0,96217,0.0,0.0
2025-05-16 00:00:00+00:00,,,,0.0,107891,0.0,0.0
2025-05-17 00:00:00+00:00,,,,0.0,107750,0.0,0.0
2025-05-18 00:00:00+00:00,,,,0.0,86256,0.0,0.0
2025-05-19 00:00:00+00:00,,,,0.0,38759,0.0,0.0
2025-05-20 00:00:00+00:00,,,,0.0,82907,0.0,0.0
2025-05-21 00:00:00+00:00,,,,0.0,49609,0.0,0.0
2025-05-22 00:00:00+00:00,,,,0.0,52675,0.0,0.0
2025-05-23 00:00:00+00:00,,,,0.0,138564,0.0,0.0
2025-05-25 00:00:00+00:00,,,,0.0,24146,0.0,0.0
2025-05-27 00:00:00+00:00,,,,0.0,47570,0.0,0.0
2025-05-28 00:00:00+00:00,,,,0.0,29634,0.0,0.0
2025-05-29 00:00:00+00:00,,,,0.0,30581,0.0,0.0
2025-05-30 00:00:00+00:00,,,,0.0,25982,0.0,0.0
2025-05-31 00:00:00+00:00,,,,0.0,13044,0.0,0.0
2025-06-01 00:00:00+00:00,3.380127822083523e-08,3.405549620083548e-08,3.2610632416663066e-08,3.405549620083548e-08,24063,0.0,0.0
