TIMESTAMP,ORD_OPEN_PRICE_USD,ORD_HIGH_PRICE_USD,ORD_LOW_PRICE_USD,ORD_CLOSE_PRICE_USD,ORD_VOLUME_USD,ORD_DIVIDENDS_USD,ORD_STOCK_SPLITS_USD
2023-02-16 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,246148,0.0,0.0
2023-02-17 00:00:00+00:00,1.9999999949504854e-06,9.999999747378752e-06,1.9999999949504854e-06,7.999999979801942e-06,1542985,0.0,0.0
2023-02-18 00:00:00+00:00,7.999999979801942e-06,1.4000000192027073e-05,6.000000212225132e-06,1.2000000424450263e-05,1691821,0.0,0.0
2023-02-19 00:00:00+00:00,1.2000000424450263e-05,1.2999999853491317e-05,7.000000096013537e-06,7.000000096013537e-06,1262416,0.0,0.0
2023-02-20 00:00:00+00:00,7.000000096013537e-06,9.000000318337698e-06,4.999999873689376e-06,7.000000096013537e-06,743731,0.0,0.0
2023-02-21 00:00:00+00:00,7.000000096013537e-06,7.999999979801942e-06,3.999999989900971e-06,4.999999873689376e-06,431287,0.0,0.0
2023-02-22 00:00:00+00:00,4.999999873689376e-06,7.000000096013537e-06,3.000000106112566e-06,6.000000212225132e-06,633427,0.0,0.0
2023-02-23 00:00:00+00:00,6.000000212225132e-06,6.000000212225132e-06,3.000000106112566e-06,3.999999989900971e-06,220739,0.0,0.0
2023-02-24 00:00:00+00:00,3.999999989900971e-06,4.999999873689376e-06,3.000000106112566e-06,4.999999873689376e-06,331941,0.0,0.0
2023-02-25 00:00:00+00:00,4.999999873689376e-06,7.000000096013537e-06,3.999999989900971e-06,6.000000212225132e-06,837343,0.0,0.0
2023-02-26 00:00:00+00:00,6.000000212225132e-06,7.000000096013537e-06,4.999999873689376e-06,6.000000212225132e-06,917610,0.0,0.0
2023-02-27 00:00:00+00:00,6.000000212225132e-06,7.000000096013537e-06,3.999999989900971e-06,6.000000212225132e-06,406127,0.0,0.0
2023-02-28 00:00:00+00:00,6.000000212225132e-06,7.400000322377309e-05,3.999999989900971e-06,3.999999989900971e-06,6975399,0.0,0.0
2023-03-01 00:00:00+00:00,3.999999989900971e-06,4.999999873689376e-06,3.999999989900971e-06,3.999999989900971e-06,539702,0.0,0.0
2023-03-02 00:00:00+00:00,3.999999989900971e-06,4.999999873689376e-06,3.000000106112566e-06,3.999999989900971e-06,381708,0.0,0.0
2023-03-03 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.999999989900971e-06,159419,0.0,0.0
2023-03-04 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,149891,0.0,0.0
2023-03-05 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.999999989900971e-06,194033,0.0,0.0
2023-03-06 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,138900,0.0,0.0
2023-03-07 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,61197,0.0,0.0
2023-03-08 00:00:00+00:00,3.000000106112566e-06,4.999999873689376e-06,3.000000106112566e-06,3.000000106112566e-06,244673,0.0,0.0
2023-03-09 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,155318,0.0,0.0
2023-03-10 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,3.000000106112566e-06,107508,0.0,0.0
2023-03-11 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,1.9999999949504854e-06,3.000000106112566e-06,96449,0.0,0.0
2023-03-12 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,64504,0.0,0.0
2023-03-13 00:00:00+00:00,3.000000106112566e-06,4.999999873689376e-06,3.000000106112566e-06,3.999999989900971e-06,204235,0.0,0.0
2023-03-14 00:00:00+00:00,3.999999989900971e-06,4.999999873689376e-06,3.999999989900971e-06,3.999999989900971e-06,255960,0.0,0.0
2023-03-15 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.999999989900971e-06,129750,0.0,0.0
2023-03-16 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,101000,0.0,0.0
2023-03-17 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.999999989900971e-06,77035,0.0,0.0
2023-03-18 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,64478,0.0,0.0
2023-03-19 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.999999989900971e-06,169525,0.0,0.0
2023-03-20 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,63377,0.0,0.0
2023-03-21 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,119733,0.0,0.0
