,params_Conv_input_activation,params_Dense_activation_l1,params_Dense_activation_l2,params_Dense_activation_l3,params_Dense_dim_l1,params_Dense_dim_l2,params_Dense_dim_l3,params_Dense_n_layers,params_MSR_Block_Conv1d_out_channels,params_MSR_Block_Conv2d_out_channels,params_MSR_Block_activation,params_MSR_Block_cross_channel_fusion,params_MSR_Block_scales,params_MSR_Conv1d_activation,params_RNN_activation,params_RNN_dim_l1,params_RNN_dim_l2,params_RNN_dim_l3,params_RNN_n_layers,params_TRAIN_batch_size,params_TRAIN_learning_rate,params_TRAIN_momentum,params_TRAIN_n_epochs,params_TRAIN_optimizer,params_TRAIN_weight_decay,user_attrs_mean_train_mae,user_attrs_mean_train_mse,user_attrs_mean_val_mae,user_attrs_mean_val_mse,user_attrs_median_train_mae,user_attrs_median_train_mse,user_attrs_median_val_mae,user_attrs_median_val_mse,Mean_Train_MSE,Median_Train_MSE,Mean_Train_MAE,Median_Train_MAE,Mean_Val_MSE,Median_Val_MSE,Mean_Val_MAE,Median_Val_MAE
0,linear,linear,relu,elu,256,16,240,3,40,88,elu,True,"[7, 11, 15]",linear,gelu,256,128,512,1,56,0.00011588528365572336,0.848943854343858,64,Adagrad,0.001,0.03359684315789039,0.0036154336141198487,0.16707539301062427,0.0598933881957471,0.03676208735120236,0.003880514291378391,0.18204935949759385,0.07276120853177373,0.0036154336141198487,0.003880514291378391,0.03359684315789039,0.03676208735120236,0.0598933881957471,0.07276120853177373,0.16707539301062427,0.18204935949759385
1,selu,linear,linear,sigmoid,256,48,144,2,44,32,elu,True,"[1, 2, 3, 4, 5, 6, 7]",relu,relu,128,112,112,2,80,0.00022026359950320394,0.8551594171565611,44,Adamax,0.0,0.03391206433158729,0.0036402703974555313,0.16719207936604072,0.06000300768575089,0.03688683693090175,0.003912729444921765,0.18218252330332238,0.0729686326593259,0.0036402703974555313,0.003912729444921765,0.03391206433158729,0.03688683693090175,0.06000300768575089,0.0729686326593259,0.16719207936604072,0.18218252330332238
2,relu,relu,leaky_relu,tanh,64,192,16,1,48,92,gelu,True,"[2, 4, 6, 8, 10, 12, 14]",tanh,relu,496,368,16,2,192,0.00018874024842145806,0.9895234897956027,42,Adam,0.0,0.03368327696640478,0.0036261275635008894,0.16721651540934654,0.06002283983204915,0.036834290487936086,0.003912978632853179,0.182239089644327,0.07293629407238911,0.0036261275635008894,0.003912978632853179,0.03368327696640478,0.036834290487936086,0.06002283983204915,0.07293629407238911,0.16721651540934654,0.182239089644327
3,sigmoid,tanh,elu,linear,160,224,32,1,64,20,leaky_relu,True,"[1, 2, 5]",sigmoid,tanh,144,288,64,2,112,0.005778648112043935,0.898815137387838,154,Adamax,0.0001,0.036426042454030236,0.0038065097910737213,0.1673513909577291,0.06011112595286223,0.038012559238825676,0.003977740922378884,0.18237652157953688,0.07306748558528488,0.0038065097910737213,0.003977740922378884,0.036426042454030236,0.038012559238825676,0.06011112595286223,0.07306748558528488,0.1673513909577291,0.18237652157953688
4,tanh,sigmoid,elu,gelu,160,32,144,3,32,96,sigmoid,False,"[2, 5, 7, 14]",leaky_relu,relu,224,416,512,3,48,0.0006275884242766273,0.9120545860435035,194,RMSprop,0.01,0.03415258975726622,0.003659438309160637,0.16738966925846507,0.06011322299742225,0.037240255220429806,0.00394747931245578,0.18223444996937188,0.07307432902129232,0.003659438309160637,0.00394747931245578,0.03415258975726622,0.037240255220429806,0.06011322299742225,0.07307432902129232,0.16738966925846507,0.18223444996937188
5,relu,elu,linear,linear,160,16,240,3,44,44,elu,True,"[1, 3, 5, 7, 14]",sigmoid,selu,288,112,336,3,56,8.055382025225051e-05,0.8759915313868822,112,RMSprop,0.01,0.03410729581902622,0.0036702611833091306,0.16746375312378373,0.06015470809036908,0.03721991231821918,0.003943971945328769,0.18246342514836209,0.07318595645812566,0.0036702611833091306,0.003943971945328769,0.03410729581902622,0.03721991231821918,0.06015470809036908,0.07318595645812566,0.16746375312378373,0.18246342514836209
6,tanh,selu,gelu,sigmoid,208,128,64,2,28,64,leaky_relu,False,"[5, 10, 15]",linear,tanh,336,304,464,3,72,1.1029903158262693e-05,0.8501416930994733,46,Adagrad,1e-06,0.3195557961830069,0.11196443186967865,0.35037396453516534,0.1714209172020299,0.32223832573281086,0.10707442190044789,0.36545167959429103,0.18546166884703336,0.11196443186967865,0.10707442190044789,0.3195557961830069,0.32223832573281086,0.1714209172020299,0.18546166884703336,0.35037396453516534,0.36545167959429103
7,sigmoid,linear,leaky_relu,gelu,192,32,192,3,12,128,relu,False,"[7, 11, 15]",leaky_relu,sigmoid,272,400,128,2,112,3.153741450359435e-05,0.9185831681381408,30,SGD,0.001,0.3379971140472138,0.11936273687792141,0.3645737402349998,0.17823325121302122,0.34195951884732234,0.12052643045014519,0.3843134182418344,0.20434575238990865,0.11936273687792141,0.12052643045014519,0.3379971140472138,0.34195951884732234,0.17823325121302122,0.20434575238990865,0.3645737402349998,0.3843134182418344
8,tanh,leaky_relu,leaky_relu,linear,256,192,48,2,36,76,elu,False,"[7, 9, 12, 14]",linear,selu,80,224,64,3,80,2.2538434179012967e-05,0.8955839663197185,60,Adadelta,0.001,0.4866574944899534,0.2464441209622175,0.5038465864938212,0.30901718974937586,0.4866482447266327,0.24085958941368896,0.5197498396636291,0.32059841143978857,0.2464441209622175,0.24085958941368896,0.4866574944899534,0.4866482447266327,0.30901718974937586,0.32059841143978857,0.5038465864938212,0.5197498396636291
9,linear,sigmoid,selu,linear,160,160,80,3,8,72,linear,False,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 14]",sigmoid,leaky_relu,352,368,384,1,168,1.0503463397256161e-05,0.9503137243938012,96,Adadelta,0.01,0.4929562715843981,0.2724717771530674,0.5117044573883438,0.3358486419487663,0.5170488267899623,0.2718863211251741,0.5438213412836715,0.3468820894411604,0.2724717771530674,0.2718863211251741,0.4929562715843981,0.5170488267899623,0.3358486419487663,0.3468820894411604,0.5117044573883438,0.5438213412836715
