TIMESTAMP,MONKEY_OPEN_PRICE_USD,MONKEY_HIGH_PRICE_USD,MONKEY_LOW_PRICE_USD,MONKEY_CLOSE_PRICE_USD,MONKEY_VOLUME_USD,MONKEY_DIVIDENDS_USD,MONKEY_STOCK_SPLITS_USD
2024-03-19 00:00:00+00:00,,,,0.0,335102,0.0,0.0
2024-03-20 00:00:00+00:00,,,,0.0,425675,0.0,0.0
2024-03-21 00:00:00+00:00,,,,0.0,324215,0.0,0.0
2024-03-22 00:00:00+00:00,,,,0.0,484764,0.0,0.0
2024-03-23 00:00:00+00:00,,,,0.0,999226,0.0,0.0
2024-03-24 00:00:00+00:00,,,,0.0,2218226,0.0,0.0
2024-03-25 00:00:00+00:00,,,,0.0,1171821,0.0,0.0
2024-03-26 00:00:00+00:00,,,,0.0,641220,0.0,0.0
2024-03-27 00:00:00+00:00,,,,0.0,695397,0.0,0.0
2024-03-28 00:00:00+00:00,,,,0.0,563928,0.0,0.0
2024-03-29 00:00:00+00:00,,,,0.0,650619,0.0,0.0
2024-03-30 00:00:00+00:00,,,,0.0,647217,0.0,0.0
2024-03-31 00:00:00+00:00,,,,0.0,1007636,0.0,0.0
2024-04-01 00:00:00+00:00,,,,0.0,1577461,0.0,0.0
2024-04-02 00:00:00+00:00,,,,0.0,1590636,0.0,0.0
2024-04-03 00:00:00+00:00,,,,0.0,835084,0.0,0.0
2024-04-04 00:00:00+00:00,,,,0.0,200745,0.0,0.0
2024-04-05 00:00:00+00:00,,,,0.0,221122,0.0,0.0
2024-04-06 00:00:00+00:00,,,,0.0,261329,0.0,0.0
2024-04-07 00:00:00+00:00,,,,0.0,76961,0.0,0.0
2024-04-08 00:00:00+00:00,,,,0.0,94600,0.0,0.0
2024-04-09 00:00:00+00:00,,,,0.0,39248,0.0,0.0
2024-04-10 00:00:00+00:00,,,,0.0,104733,0.0,0.0
2024-04-11 00:00:00+00:00,,,,0.0,777230,0.0,0.0
2024-04-12 00:00:00+00:00,,,,0.0,820342,0.0,0.0
2024-04-13 00:00:00+00:00,,,,0.0,828271,0.0,0.0
2024-04-14 00:00:00+00:00,,,,0.0,1013519,0.0,0.0
2024-04-15 00:00:00+00:00,,,,0.0,838928,0.0,0.0
2024-04-16 00:00:00+00:00,,,,0.0,540597,0.0,0.0
2024-04-17 00:00:00+00:00,,,,0.0,428732,0.0,0.0
2024-04-18 00:00:00+00:00,,,,0.0,464212,0.0,0.0
2024-04-19 00:00:00+00:00,,,,0.0,418680,0.0,0.0
2024-04-20 00:00:00+00:00,,,,0.0,782960,0.0,0.0
2024-04-21 00:00:00+00:00,,,,0.0,963583,0.0,0.0
2024-04-22 00:00:00+00:00,,,,0.0,1168829,0.0,0.0
2024-04-23 00:00:00+00:00,,,,0.0,845994,0.0,0.0
2024-04-24 00:00:00+00:00,,,,0.0,910864,0.0,0.0
2024-04-25 00:00:00+00:00,,,,0.0,823191,0.0,0.0
2024-04-26 00:00:00+00:00,,,,0.0,837864,0.0,0.0
2024-04-27 00:00:00+00:00,,,,0.0,1436831,0.0,0.0
2024-04-28 00:00:00+00:00,,,,0.0,509188,0.0,0.0
2024-04-29 00:00:00+00:00,,,,0.0,283018,0.0,0.0
2024-04-30 00:00:00+00:00,,,,0.0,197229,0.0,0.0
2024-05-01 00:00:00+00:00,,,,0.0,332544,0.0,0.0
2024-05-02 00:00:00+00:00,,,,0.0,349977,0.0,0.0
2024-05-03 00:00:00+00:00,,,,0.0,389042,0.0,0.0
