TIMESTAMP,ELMO36259_OPEN_PRICE_USD,ELMO36259_HIGH_PRICE_USD,ELMO36259_LOW_PRICE_USD,ELMO36259_CLOSE_PRICE_USD,ELMO36259_VOLUME_USD,ELMO36259_DIVIDENDS_USD,ELMO36259_STOCK_SPLITS_USD
2025-04-12 00:00:00+00:00,,,,0.0,1439,0.0,0.0
2025-04-13 00:00:00+00:00,,,,0.0,6,0.0,0.0
2025-04-14 00:00:00+00:00,,,,0.0,89,0.0,0.0
2025-04-15 00:00:00+00:00,,,,0.0,330779,0.0,0.0
2025-04-16 00:00:00+00:00,,,,0.0,129025,0.0,0.0
2025-04-18 00:00:00+00:00,,,,0.0,5342,0.0,0.0
2025-04-19 00:00:00+00:00,,,,0.0,2734,0.0,0.0
2025-04-21 00:00:00+00:00,,,,0.0,1104,0.0,0.0
2025-04-23 00:00:00+00:00,,,,0.0,769,0.0,0.0
2025-04-24 00:00:00+00:00,,,,0.0,781,0.0,0.0
2025-05-01 00:00:00+00:00,,,,0.0,67,0.0,0.0
2025-05-04 00:00:00+00:00,,,,0.0,700,0.0,0.0
2025-05-13 00:00:00+00:00,,,,0.0,53,0.0,0.0
2025-05-14 00:00:00+00:00,,,,0.0,56,0.0,0.0
2025-05-16 00:00:00+00:00,,,,0.0,11,0.0,0.0
2025-06-01 00:00:00+00:00,4.637100078919154e-11,4.639538406236987e-11,4.637100078919154e-11,4.639538406236987e-11,42,0.0,0.0
