TIMESTAMP,FLOOF_OPEN_PRICE_USD,FLOOF_HIGH_PRICE_USD,FLOOF_LOW_PRICE_USD,FLOOF_CLOSE_PRICE_USD,FLOOF_VOLUME_USD,FLOOF_DIVIDENDS_USD,FLOOF_STOCK_SPLITS_USD
2021-11-03 00:00:00+00:00,5.199999941396527e-05,0.00010199999815085903,5.0999999075429514e-05,8.600000001024455e-05,174199,0.0,0.0
2021-11-04 00:00:00+00:00,8.600000001024455e-05,9.999999747378752e-05,6.600000051548705e-05,8.70000003487803e-05,101418,0.0,0.0
2021-11-05 00:00:00+00:00,8.70000003487803e-05,0.00014699999883305281,7.699999696342275e-05,0.0001320000010309741,90066,0.0,0.0
2021-11-06 00:00:00+00:00,0.0001320000010309741,0.00040099999750964344,0.00011899999663000926,0.00033000000985339284,388010,0.0,0.0
2021-11-07 00:00:00+00:00,0.00033000000985339284,0.0004250000056345016,0.00022899999748915434,0.0002770000137388706,419878,0.0,0.0
2021-11-08 00:00:00+00:00,0.00027799999224953353,0.0003440000000409782,0.00014000000373926014,0.00014899999951012433,183120,0.0,0.0
2021-11-09 00:00:00+00:00,0.00014899999951012433,0.00021800000104121864,0.00014899999951012433,0.00018899999849963933,82211,0.0,0.0
2021-11-10 00:00:00+00:00,0.00018899999849963933,0.0001900000061141327,0.00011100000119768083,0.00013800000306218863,67106,0.0,0.0
2021-11-11 00:00:00+00:00,0.00013800000306218863,0.00014099999680183828,9.699999645818025e-05,0.00013600000238511711,44127,0.0,0.0
2021-11-12 00:00:00+00:00,0.00013600000238511711,0.00014099999680183828,6.500000017695129e-05,9.7999996796716e-05,44129,0.0,0.0
2021-11-13 00:00:00+00:00,9.7999996796716e-05,0.00010299999848939478,6.299999949987978e-05,9.40000027185306e-05,35501,0.0,0.0
2021-11-14 00:00:00+00:00,9.40000027185306e-05,9.999999747378752e-05,6.299999949987978e-05,6.399999983841553e-05,22597,0.0,0.0
2021-11-15 00:00:00+00:00,6.399999983841553e-05,7.699999696342275e-05,4.8000001697801054e-05,7.500000356230885e-05,23787,0.0,0.0
2021-11-16 00:00:00+00:00,7.500000356230885e-05,0.00010299999848939478,5.0999999075429514e-05,5.199999941396527e-05,13143,0.0,0.0
2021-11-17 00:00:00+00:00,5.199999941396527e-05,6.900000153109431e-05,4.999999873689376e-05,6.199999916134402e-05,11401,0.0,0.0
2021-11-18 00:00:00+00:00,6.199999916134402e-05,9.500000305706635e-05,6.199999916134402e-05,7.999999797903001e-05,20051,0.0,0.0
2021-11-19 00:00:00+00:00,7.999999797903001e-05,9.999999747378752e-05,7.100000220816582e-05,7.999999797903001e-05,15858,0.0,0.0
2021-11-20 00:00:00+00:00,7.999999797903001e-05,0.00013800000306218863,7.899999764049426e-05,9.100000170292333e-05,20971,0.0,0.0
2021-11-21 00:00:00+00:00,9.100000170292333e-05,0.00010699999984353781,7.999999797903001e-05,9.7999996796716e-05,15415,0.0,0.0
2021-11-22 00:00:00+00:00,9.7999996796716e-05,0.0001049999991664663,7.599999662488699e-05,7.599999662488699e-05,18889,0.0,0.0
2021-11-23 00:00:00+00:00,7.599999662488699e-05,8.299999899463728e-05,5.6000000768108293e-05,6.800000119255856e-05,11772,0.0,0.0
2021-11-24 00:00:00+00:00,6.800000119255856e-05,7.599999662488699e-05,5.500000042957254e-05,6.399999983841553e-05,10672,0.0,0.0
2021-11-25 00:00:00+00:00,6.399999983841553e-05,8.600000001024455e-05,5.8000001445179805e-05,5.999999848427251e-05,9351,0.0,0.0
2021-11-26 00:00:00+00:00,7.400000322377309e-05,9.300000237999484e-05,5.999999848427251e-05,6.500000017695129e-05,14978,0.0,0.0
2021-11-27 00:00:00+00:00,6.500000017695129e-05,6.900000153109431e-05,5.199999941396527e-05,5.400000009103678e-05,5631,0.0,0.0
2021-11-28 00:00:00+00:00,5.400000009103678e-05,6.500000017695129e-05,4.600000102072954e-05,5.999999848427251e-05,27628,0.0,0.0
2021-11-29 00:00:00+00:00,5.999999848427251e-05,7.000000186963007e-05,5.700000110664405e-05,6.70000008540228e-05,8128,0.0,0.0
2021-11-30 00:00:00+00:00,6.800000119255856e-05,6.800000119255856e-05,5.500000042957254e-05,5.500000042957254e-05,7953,0.0,0.0
2021-12-01 00:00:00+00:00,5.500000042957254e-05,6.600000051548705e-05,5.400000009103678e-05,6.0999998822808266e-05,9010,0.0,0.0
2021-12-02 00:00:00+00:00,6.0999998822808266e-05,6.900000153109431e-05,5.900000178371556e-05,6.199999916134402e-05,8976,0.0,0.0
2021-12-03 00:00:00+00:00,6.199999916134402e-05,6.900000153109431e-05,5.900000178371556e-05,5.999999848427251e-05,9566,0.0,0.0
2021-12-04 00:00:00+00:00,5.999999848427251e-05,6.0999998822808266e-05,4.3000000005122274e-05,4.600000102072954e-05,9702,0.0,0.0
2021-12-05 00:00:00+00:00,4.600000102072954e-05,4.999999873689376e-05,4.3000000005122274e-05,4.5000000682193786e-05,5604,0.0,0.0
2021-12-06 00:00:00+00:00,4.5000000682193786e-05,4.8999998398358e-05,3.199999991920777e-05,3.400000059627928e-05,7458,0.0,0.0
2021-12-07 00:00:00+00:00,3.400000059627928e-05,4.8999998398358e-05,3.400000059627928e-05,3.7000001611886546e-05,8100,0.0,0.0
2021-12-08 00:00:00+00:00,3.7000001611886546e-05,4.199999966658652e-05,3.7000001611886546e-05,3.9999998989515007e-05,3274,0.0,0.0
2021-12-09 00:00:00+00:00,3.9999998989515007e-05,4.3000000005122274e-05,3.600000127335079e-05,3.600000127335079e-05,2200,0.0,0.0
2021-12-10 00:00:00+00:00,3.600000127335079e-05,4.099999932805076e-05,3.199999991920777e-05,3.199999991920777e-05,4112,0.0,0.0
2021-12-11 00:00:00+00:00,3.199999991920777e-05,3.400000059627928e-05,3.199999991920777e-05,3.199999991920777e-05,1033,0.0,0.0
2021-12-12 00:00:00+00:00,3.199999991920777e-05,3.400000059627928e-05,3.099999958067201e-05,3.300000025774352e-05,893,0.0,0.0
2021-12-13 00:00:00+00:00,3.300000025774352e-05,3.5000000934815034e-05,3.199999991920777e-05,3.300000025774352e-05,1324,0.0,0.0
2021-12-14 00:00:00+00:00,3.300000025774352e-05,3.400000059627928e-05,2.5999999706982635e-05,2.8000000384054147e-05,1091,0.0,0.0
2021-12-15 00:00:00+00:00,2.8000000384054147e-05,2.8000000384054147e-05,2.5999999706982635e-05,2.5999999706982635e-05,1001,0.0,0.0
2021-12-16 00:00:00+00:00,2.5999999706982635e-05,2.8000000384054147e-05,2.5999999706982635e-05,2.700000004551839e-05,1463,0.0,0.0
2021-12-17 00:00:00+00:00,2.700000004551839e-05,3.099999958067201e-05,2.700000004551839e-05,3.099999958067201e-05,1343,0.0,0.0
2021-12-18 00:00:00+00:00,3.099999958067201e-05,3.300000025774352e-05,2.9000000722589903e-05,2.9000000722589903e-05,2852,0.0,0.0
2021-12-19 00:00:00+00:00,2.9000000722589903e-05,2.9999999242136255e-05,2.8000000384054147e-05,2.9000000722589903e-05,858,0.0,0.0
